# CREATED BY GENE DIAGNOSTICS TOOL on Mon Feb 21 16:43:42 2022
# diag: nrgsummary, run(s): 1-dat, time window: 0-1760.9161(1 steps), species: i
# original data path: /marconi_scratch/userexternal/pmulholl/p02/
# normalization: L_ref=1.65m
#
#  t          G_tot       Q_tot       P_tot     
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  8.0828E-01  3.6152E-03  7.5181E-02 -2.6570E-04
  1.6778E+00 -6.4259E-03  4.0418E-02 -4.2362E-04
  2.5541E+00  4.7916E-03  1.3491E-01 -7.0000E-04
  3.4303E+00 -5.8830E-03  1.2053E-01 -1.2796E-03
  4.3065E+00 -2.2966E-02  1.0775E-01 -6.7008E-04
  5.1828E+00  3.6817E-03  2.1305E-01  8.9499E-04
  6.0590E+00 -3.4954E-02  8.2482E-02  3.9587E-04
  6.9352E+00  7.0543E-03  2.6285E-01 -4.3100E-05
  7.8114E+00 -1.7336E-02  1.4221E-01 -1.0224E-03
  8.7245E+00 -1.0093E-03  2.1720E-01  1.2505E-03
  9.6445E+00  2.6119E-02  2.9356E-01  2.1733E-03
  1.0565E+01 -1.5112E-02  1.4756E-01 -3.6570E-04
  1.1485E+01  4.2452E-02  3.5694E-01 -8.7380E-04
  1.2405E+01  1.0031E-02  2.2994E-01  1.1653E-04
  1.3325E+01  1.9799E-02  2.7995E-01 -4.5232E-04
  1.4245E+01  4.3312E-02  3.7100E-01 -1.0814E-03
  1.5165E+01 -3.0031E-03  2.0068E-01 -2.2183E-03
  1.6085E+01  3.8803E-02  3.7072E-01 -3.2491E-03
  1.7005E+01  5.3411E-03  2.4137E-01 -1.4736E-04
  1.7925E+01  4.1306E-03  2.3504E-01 -2.9479E-03
  1.8845E+01  2.8156E-02  3.2336E-01  8.3394E-04
  1.9765E+01 -1.6060E-02  1.5816E-01 -2.4464E-03
  2.0685E+01  2.3642E-02  3.0836E-01  1.9951E-04
  2.1605E+01  4.2203E-03  2.3454E-01 -1.2564E-04
  2.2525E+01  1.6971E-03  2.3114E-01 -1.9420E-03
  2.3445E+01  2.6888E-02  3.2094E-01  7.5354E-04
  2.4365E+01 -3.0273E-03  2.2378E-01 -3.4536E-03
  2.5285E+01  2.2268E-02  3.2080E-01  2.8016E-03
  2.6205E+01  1.3333E-02  2.8611E-01  7.9425E-04
  2.7125E+01  9.8470E-03  2.7782E-01 -2.8036E-03
  2.8045E+01  2.6167E-02  3.2948E-01  4.0613E-03
  2.8965E+01  9.3878E-03  2.7598E-01  1.8776E-04
  2.9885E+01  2.2830E-02  3.2068E-01  1.6367E-03
  3.0805E+01  1.7657E-02  3.0873E-01  7.8531E-04
  3.1726E+01  1.5337E-02  3.0298E-01  1.1816E-03
