# CREATED BY GENE DIAGNOSTICS TOOL on Mon Feb 21 16:56:08 2022
# diag: fluxspectra, run(s): 1-dat, time window: 800-1468.5478(43 steps), species: i
# original data path: /marconi_scratch/userexternal/pmulholl/p42/
# normalization: L_ref=1.65m
#
# Q*dVdx =   2.0694E+00 MW
# G*dVdx =   2.5504E-01 MW/keV
#  kx         G_es,p      Q_es,p      G_em,p      Q_em,p    
  0.0000E+00  1.2149E-03  1.7319E-01  8.1430E-03  2.2646E-02
  2.8668E-02  5.2735E-03  3.7642E-01  1.0346E-02  2.9099E-02
  5.7336E-02  4.6275E-03  3.4817E-01  7.4019E-03  2.2059E-02
  8.6005E-02  5.5595E-03  2.3864E-01  5.4794E-03  1.6246E-02
  1.1467E-01  4.9928E-03  2.0114E-01  4.1569E-03  1.3689E-02
  1.4334E-01  4.0258E-03  1.6786E-01  2.8399E-03  9.2932E-03
  1.7201E-01  3.4721E-03  1.2909E-01  1.8805E-03  5.9471E-03
  2.0068E-01  3.0676E-03  1.0955E-01  1.7467E-03  5.3693E-03
  2.2935E-01  2.8619E-03  8.2045E-02  1.0291E-03  3.2127E-03
  2.5801E-01  2.9271E-03  6.8766E-02  8.4476E-04  2.6297E-03
  2.8668E-01  2.3849E-03  5.4794E-02  6.2787E-04  2.0147E-03
  3.1535E-01  1.8343E-03  4.4572E-02  4.3537E-04  1.3549E-03
  3.4402E-01  1.4418E-03  3.5021E-02  3.4124E-04  1.0680E-03
  3.7269E-01  1.6527E-03  3.0479E-02  2.6863E-04  8.2098E-04
  4.0136E-01  1.3276E-03  2.4984E-02  2.0809E-04  6.2121E-04
  4.3002E-01  1.0919E-03  2.1019E-02  1.6216E-04  4.7848E-04
  4.5869E-01  1.0586E-03  1.8651E-02  1.3280E-04  3.9922E-04
  4.8736E-01  8.4321E-04  1.5624E-02  1.0682E-04  3.0756E-04
  5.1603E-01  7.6939E-04  1.4246E-02  9.0521E-05  2.6312E-04
  5.4470E-01  7.5614E-04  1.2076E-02  7.4920E-05  1.9116E-04
  5.7336E-01  7.2811E-04  1.0715E-02  6.3518E-05  1.9090E-04
  6.0203E-01  6.0223E-04  9.4190E-03  5.2599E-05  1.5319E-04
  6.3070E-01  5.3385E-04  8.2991E-03  4.8283E-05  1.3724E-04
  6.5937E-01  3.9885E-04  7.2463E-03  4.1412E-05  1.1269E-04
  6.8804E-01  4.3802E-04  6.5997E-03  3.8032E-05  1.0609E-04
  7.1671E-01  4.1996E-04  5.8992E-03  3.6721E-05  8.8508E-05
  7.4537E-01  3.1002E-04  5.4137E-03  2.2237E-05  5.4087E-05
  7.7404E-01  2.8018E-04  4.7193E-03  2.1010E-05  5.0630E-05
  8.0271E-01  2.8373E-04  4.2050E-03  1.7902E-05  5.0012E-05
  8.3138E-01  2.2684E-04  3.9558E-03  1.7692E-05  4.5104E-05
  8.6005E-01  2.1246E-04  3.5794E-03  1.4366E-05  3.2162E-05
  8.8871E-01  2.0263E-04  3.2095E-03  1.5809E-05  3.7234E-05
  9.1738E-01  1.5011E-04  2.9064E-03  1.1021E-05  2.4113E-05
  9.4605E-01  1.9537E-04  2.6745E-03  9.9129E-06  1.8457E-05
  9.7472E-01  1.5424E-04  2.4575E-03  7.4429E-06  1.5834E-05
  1.0034E+00  1.2020E-04  2.2551E-03  8.7315E-06  1.8481E-05
