# CREATED BY GENE DIAGNOSTICS TOOL on Tue Apr 26 14:49:30 2022
# diag: zprofile, run(s): 0005, time window: 0-2000(1 steps), species: i
# original data path: /marconi_scratch/userexternal/pmulholl/p39/scanfiles0006/
# normalization: L_ref=1.65m
#
# variable A = phi
#  z/qR       <|A|>       <|A|²>^½    <|A²|-|A|²
 -3.1416E+00  0.0000E+00  2.4049E+03  2.4049E+03
 -3.0925E+00  0.0000E+00  2.3690E+03  2.3690E+03
 -3.0434E+00  0.0000E+00  2.4128E+03  2.4128E+03
 -2.9943E+00  0.0000E+00  2.5928E+03  2.5928E+03
 -2.9452E+00  0.0000E+00  2.7581E+03  2.7581E+03
 -2.8962E+00  0.0000E+00  2.9677E+03  2.9677E+03
 -2.8471E+00  0.0000E+00  3.1956E+03  3.1956E+03
 -2.7980E+00  0.0000E+00  3.2721E+03  3.2721E+03
 -2.7489E+00  0.0000E+00  3.2350E+03  3.2350E+03
 -2.6998E+00  0.0000E+00  3.1436E+03  3.1436E+03
 -2.6507E+00  0.0000E+00  2.9395E+03  2.9395E+03
 -2.6016E+00  0.0000E+00  2.7692E+03  2.7692E+03
 -2.5525E+00  0.0000E+00  2.5882E+03  2.5882E+03
 -2.5035E+00  0.0000E+00  2.2617E+03  2.2617E+03
 -2.4544E+00  0.0000E+00  2.0166E+03  2.0166E+03
 -2.4053E+00  0.0000E+00  1.7502E+03  1.7502E+03
 -2.3562E+00  0.0000E+00  1.5500E+03  1.5500E+03
 -2.3071E+00  0.0000E+00  1.4392E+03  1.4392E+03
 -2.2580E+00  0.0000E+00  1.4539E+03  1.4539E+03
 -2.2089E+00  0.0000E+00  1.5780E+03  1.5780E+03
 -2.1598E+00  0.0000E+00  1.7365E+03  1.7365E+03
 -2.1108E+00  0.0000E+00  1.9953E+03  1.9953E+03
 -2.0617E+00  0.0000E+00  2.2569E+03  2.2569E+03
 -2.0126E+00  0.0000E+00  2.5531E+03  2.5531E+03
 -1.9635E+00  0.0000E+00  2.8362E+03  2.8362E+03
 -1.9144E+00  0.0000E+00  3.0816E+03  3.0816E+03
 -1.8653E+00  0.0000E+00  3.3310E+03  3.3310E+03
 -1.8162E+00  0.0000E+00  3.5911E+03  3.5911E+03
 -1.7671E+00  0.0000E+00  3.9664E+03  3.9664E+03
 -1.7181E+00  0.0000E+00  4.4376E+03  4.4376E+03
 -1.6690E+00  0.0000E+00  4.7038E+03  4.7038E+03
 -1.6199E+00  0.0000E+00  5.0625E+03  5.0625E+03
 -1.5708E+00  0.0000E+00  5.3936E+03  5.3936E+03
 -1.5217E+00  0.0000E+00  5.3753E+03  5.3753E+03
 -1.4726E+00  0.0000E+00  5.5487E+03  5.5487E+03
 -1.4235E+00  0.0000E+00  5.3446E+03  5.3446E+03
 -1.3744E+00  0.0000E+00  5.1631E+03  5.1631E+03
 -1.3254E+00  0.0000E+00  5.0817E+03  5.0817E+03
 -1.2763E+00  0.0000E+00  4.7048E+03  4.7048E+03
 -1.2272E+00  0.0000E+00  4.6257E+03  4.6257E+03
 -1.1781E+00  0.0000E+00  4.2495E+03  4.2495E+03
 -1.1290E+00  0.0000E+00  4.0670E+03  4.0670E+03
 -1.0799E+00  0.0000E+00  3.9485E+03  3.9485E+03
 -1.0308E+00  0.0000E+00  3.8748E+03  3.8748E+03
 -9.8175E-01  0.0000E+00  3.8306E+03  3.8306E+03
 -9.3266E-01  0.0000E+00  3.8139E+03  3.8139E+03
 -8.8357E-01  0.0000E+00  3.8270E+03  3.8270E+03
 -8.3449E-01  0.0000E+00  3.9013E+03  3.9013E+03
 -7.8540E-01  0.0000E+00  4.0282E+03  4.0282E+03
 -7.3631E-01  0.0000E+00  4.2155E+03  4.2155E+03
 -6.8722E-01  0.0000E+00  4.3294E+03  4.3294E+03
 -6.3814E-01  0.0000E+00  4.5658E+03  4.5658E+03
 -5.8905E-01  0.0000E+00  4.7371E+03  4.7371E+03
 -5.3996E-01  0.0000E+00  5.0004E+03  5.0004E+03
 -4.9087E-01  0.0000E+00  5.2487E+03  5.2487E+03
 -4.4179E-01  0.0000E+00  5.5449E+03  5.5449E+03
 -3.9270E-01  0.0000E+00  5.8052E+03  5.8052E+03
 -3.4361E-01  0.0000E+00  6.1701E+03  6.1701E+03
 -2.9452E-01  0.0000E+00  6.3689E+03  6.3689E+03
 -2.4544E-01  0.0000E+00  6.7437E+03  6.7437E+03
 -1.9635E-01  0.0000E+00  6.9546E+03  6.9546E+03
 -1.4726E-01  0.0000E+00  6.9997E+03  6.9997E+03
 -9.8175E-02  0.0000E+00  7.1478E+03  7.1478E+03
 -4.9087E-02  0.0000E+00  6.7949E+03  6.7949E+03
  0.0000E+00  0.0000E+00  6.8671E+03  6.8671E+03
  4.9087E-02  0.0000E+00  6.6701E+03  6.6701E+03
  9.8175E-02  0.0000E+00  6.9308E+03  6.9308E+03
  1.4726E-01  0.0000E+00  6.7180E+03  6.7180E+03
  1.9635E-01  0.0000E+00  6.6266E+03  6.6266E+03
  2.4544E-01  0.0000E+00  6.4030E+03  6.4030E+03
  2.9452E-01  0.0000E+00  6.0136E+03  6.0136E+03
  3.4361E-01  0.0000E+00  5.8344E+03  5.8344E+03
  3.9270E-01  0.0000E+00  5.4997E+03  5.4997E+03
  4.4179E-01  0.0000E+00  5.2753E+03  5.2753E+03
  4.9087E-01  0.0000E+00  5.0260E+03  5.0260E+03
  5.3996E-01  0.0000E+00  4.8365E+03  4.8365E+03
  5.8905E-01  0.0000E+00  4.6627E+03  4.6627E+03
  6.3814E-01  0.0000E+00  4.5901E+03  4.5901E+03
  6.8722E-01  0.0000E+00  4.4435E+03  4.4435E+03
  7.3631E-01  0.0000E+00  4.4294E+03  4.4294E+03
  7.8540E-01  0.0000E+00  4.3449E+03  4.3449E+03
  8.3449E-01  0.0000E+00  4.3289E+03  4.3289E+03
  8.8357E-01  0.0000E+00  4.3655E+03  4.3655E+03
  9.3266E-01  0.0000E+00  4.4476E+03  4.4476E+03
  9.8175E-01  0.0000E+00  4.5607E+03  4.5607E+03
  1.0308E+00  0.0000E+00  4.6794E+03  4.6794E+03
  1.0799E+00  0.0000E+00  4.8286E+03  4.8286E+03
  1.1290E+00  0.0000E+00  4.9334E+03  4.9334E+03
  1.1781E+00  0.0000E+00  5.0690E+03  5.0690E+03
  1.2272E+00  0.0000E+00  5.3178E+03  5.3178E+03
  1.2763E+00  0.0000E+00  5.3481E+03  5.3481E+03
  1.3254E+00  0.0000E+00  5.5993E+03  5.5993E+03
  1.3744E+00  0.0000E+00  5.5783E+03  5.5783E+03
  1.4235E+00  0.0000E+00  5.6551E+03  5.6551E+03
  1.4726E+00  0.0000E+00  5.7304E+03  5.7304E+03
  1.5217E+00  0.0000E+00  5.4745E+03  5.4745E+03
  1.5708E+00  0.0000E+00  5.3905E+03  5.3905E+03
  1.6199E+00  0.0000E+00  4.9812E+03  4.9812E+03
  1.6690E+00  0.0000E+00  4.5674E+03  4.5674E+03
  1.7181E+00  0.0000E+00  4.2434E+03  4.2434E+03
  1.7671E+00  0.0000E+00  3.7914E+03  3.7914E+03
  1.8162E+00  0.0000E+00  3.4380E+03  3.4380E+03
  1.8653E+00  0.0000E+00  3.1773E+03  3.1773E+03
  1.9144E+00  0.0000E+00  2.9786E+03  2.9786E+03
