# CREATED BY GENE DIAGNOSTICS TOOL on Tue Apr 26 14:55:52 2022
# diag: zprofile, run(s): 0051, time window: 0-52.074(1 steps), species: i
# original data path: /marconi_scratch/userexternal/pmulholl/p39/scanfiles0006/
# normalization: L_ref=1.65m
#
# variable A = phi
#  z/qR       <|A|>       <|A|²>^½    <|A²|-|A|²
 -3.1416E+00  0.0000E+00  1.5730E+13  1.5730E+13
 -3.0925E+00  0.0000E+00  1.4449E+13  1.4449E+13
 -3.0434E+00  0.0000E+00  1.3355E+13  1.3355E+13
 -2.9943E+00  0.0000E+00  1.1336E+13  1.1336E+13
 -2.9452E+00  0.0000E+00  1.0627E+13  1.0627E+13
 -2.8962E+00  0.0000E+00  9.3736E+12  9.3736E+12
 -2.8471E+00  0.0000E+00  8.8366E+12  8.8366E+12
 -2.7980E+00  0.0000E+00  7.6675E+12  7.6675E+12
 -2.7489E+00  0.0000E+00  7.7407E+12  7.7407E+12
 -2.6998E+00  0.0000E+00  8.6093E+12  8.6093E+12
 -2.6507E+00  0.0000E+00  1.2643E+13  1.2643E+13
 -2.6016E+00  0.0000E+00  1.6105E+13  1.6105E+13
 -2.5525E+00  0.0000E+00  2.0827E+13  2.0827E+13
 -2.5035E+00  0.0000E+00  2.5481E+13  2.5481E+13
 -2.4544E+00  0.0000E+00  2.9811E+13  2.9811E+13
 -2.4053E+00  0.0000E+00  3.3321E+13  3.3321E+13
 -2.3562E+00  0.0000E+00  3.6718E+13  3.6718E+13
 -2.3071E+00  0.0000E+00  3.9321E+13  3.9321E+13
 -2.2580E+00  0.0000E+00  4.1934E+13  4.1934E+13
 -2.2089E+00  0.0000E+00  4.4188E+13  4.4188E+13
 -2.1598E+00  0.0000E+00  4.6720E+13  4.6720E+13
 -2.1108E+00  0.0000E+00  4.8668E+13  4.8668E+13
 -2.0617E+00  0.0000E+00  4.9320E+13  4.9320E+13
 -2.0126E+00  0.0000E+00  4.7633E+13  4.7633E+13
 -1.9635E+00  0.0000E+00  4.3893E+13  4.3893E+13
 -1.9144E+00  0.0000E+00  4.1013E+13  4.1013E+13
 -1.8653E+00  0.0000E+00  3.9881E+13  3.9881E+13
 -1.8162E+00  0.0000E+00  4.1204E+13  4.1204E+13
 -1.7671E+00  0.0000E+00  4.2034E+13  4.2034E+13
 -1.7181E+00  0.0000E+00  4.2939E+13  4.2939E+13
 -1.6690E+00  0.0000E+00  3.9619E+13  3.9619E+13
 -1.6199E+00  0.0000E+00  3.5019E+13  3.5019E+13
 -1.5708E+00  0.0000E+00  2.7440E+13  2.7440E+13
 -1.5217E+00  0.0000E+00  2.0056E+13  2.0056E+13
 -1.4726E+00  0.0000E+00  1.2780E+13  1.2780E+13
 -1.4235E+00  0.0000E+00  1.1431E+13  1.1431E+13
 -1.3744E+00  0.0000E+00  1.7306E+13  1.7306E+13
 -1.3254E+00  0.0000E+00  2.1067E+13  2.1067E+13
 -1.2763E+00  0.0000E+00  2.6511E+13  2.6511E+13
 -1.2272E+00  0.0000E+00  2.9309E+13  2.9309E+13
 -1.1781E+00  0.0000E+00  3.0425E+13  3.0425E+13
 -1.1290E+00  0.0000E+00  3.0411E+13  3.0411E+13
 -1.0799E+00  0.0000E+00  3.3900E+13  3.3900E+13
 -1.0308E+00  0.0000E+00  3.9573E+13  3.9573E+13
 -9.8175E-01  0.0000E+00  4.8700E+13  4.8700E+13
 -9.3266E-01  0.0000E+00  5.4219E+13  5.4219E+13
 -8.8357E-01  0.0000E+00  6.5174E+13  6.5174E+13
 -8.3449E-01  0.0000E+00  7.3627E+13  7.3627E+13
 -7.8540E-01  0.0000E+00  8.9863E+13  8.9863E+13
 -7.3631E-01  0.0000E+00  9.8922E+13  9.8922E+13
 -6.8722E-01  0.0000E+00  9.5380E+13  9.5380E+13
 -6.3814E-01  0.0000E+00  9.5910E+13  9.5910E+13
 -5.8905E-01  0.0000E+00  9.3897E+13  9.3897E+13
 -5.3996E-01  0.0000E+00  1.0934E+14  1.0934E+14
 -4.9087E-01  0.0000E+00  1.3163E+14  1.3163E+14
 -4.4179E-01  0.0000E+00  1.5272E+14  1.5272E+14
 -3.9270E-01  0.0000E+00  1.6782E+14  1.6782E+14
 -3.4361E-01  0.0000E+00  1.7745E+14  1.7745E+14
 -2.9452E-01  0.0000E+00  1.7619E+14  1.7619E+14
 -2.4544E-01  0.0000E+00  1.7437E+14  1.7437E+14
 -1.9635E-01  0.0000E+00  1.6345E+14  1.6345E+14
 -1.4726E-01  0.0000E+00  1.5100E+14  1.5100E+14
 -9.8175E-02  0.0000E+00  1.3661E+14  1.3661E+14
 -4.9087E-02  0.0000E+00  1.2613E+14  1.2613E+14
  0.0000E+00  0.0000E+00  1.2019E+14  1.2019E+14
  4.9087E-02  0.0000E+00  1.2613E+14  1.2613E+14
  9.8175E-02  0.0000E+00  1.3662E+14  1.3662E+14
  1.4726E-01  0.0000E+00  1.5101E+14  1.5101E+14
  1.9635E-01  0.0000E+00  1.6346E+14  1.6346E+14
  2.4544E-01  0.0000E+00  1.7438E+14  1.7438E+14
  2.9452E-01  0.0000E+00  1.7621E+14  1.7621E+14
  3.4361E-01  0.0000E+00  1.7746E+14  1.7746E+14
  3.9270E-01  0.0000E+00  1.6785E+14  1.6785E+14
  4.4179E-01  0.0000E+00  1.5273E+14  1.5273E+14
  4.9087E-01  0.0000E+00  1.3166E+14  1.3166E+14
  5.3996E-01  0.0000E+00  1.0937E+14  1.0937E+14
  5.8905E-01  0.0000E+00  9.3950E+13  9.3950E+13
  6.3814E-01  0.0000E+00  9.5966E+13  9.5966E+13
  6.8722E-01  0.0000E+00  9.5444E+13  9.5444E+13
  7.3631E-01  0.0000E+00  9.8998E+13  9.8998E+13
  7.8540E-01  0.0000E+00  8.9924E+13  8.9924E+13
  8.3449E-01  0.0000E+00  7.3695E+13  7.3695E+13
  8.8357E-01  0.0000E+00  6.5209E+13  6.5209E+13
  9.3266E-01  0.0000E+00  5.4257E+13  5.4257E+13
  9.8175E-01  0.0000E+00  4.8695E+13  4.8695E+13
  1.0308E+00  0.0000E+00  3.9574E+13  3.9574E+13
  1.0799E+00  0.0000E+00  3.3852E+13  3.3852E+13
  1.1290E+00  0.0000E+00  3.0376E+13  3.0376E+13
  1.1781E+00  0.0000E+00  3.0347E+13  3.0347E+13
  1.2272E+00  0.0000E+00  2.9273E+13  2.9273E+13
  1.2763E+00  0.0000E+00  2.6437E+13  2.6437E+13
  1.3254E+00  0.0000E+00  2.1049E+13  2.1049E+13
  1.3744E+00  0.0000E+00  1.7244E+13  1.7244E+13
  1.4235E+00  0.0000E+00  1.1452E+13  1.1452E+13
  1.4726E+00  0.0000E+00  1.2766E+13  1.2766E+13
  1.5217E+00  0.0000E+00  2.0097E+13  2.0097E+13
  1.5708E+00  0.0000E+00  2.7463E+13  2.7463E+13
  1.6199E+00  0.0000E+00  3.5046E+13  3.5046E+13
  1.6690E+00  0.0000E+00  3.9640E+13  3.9640E+13
  1.7181E+00  0.0000E+00  4.2937E+13  4.2937E+13
  1.7671E+00  0.0000E+00  4.2036E+13  4.2036E+13
  1.8162E+00  0.0000E+00  4.1160E+13  4.1160E+13
  1.8653E+00  0.0000E+00  3.9844E+13  3.9844E+13
  1.9144E+00  0.0000E+00  4.0917E+13  4.0917E+13
  1.9635E+00  0.0000E+00  4.3760E+13  4.3760E+13
  2.0126E+00  0.0000E+00  4.7451E+13  4.7451E+13
  2.0617E+00  0.0000E+00  4.9050E+13  4.9050E+13
  2.1108E+00  0.0000E+00  4.8400E+13  4.8400E+13
  2.1598E+00  0.0000E+00  4.6338E+13  4.6338E+13
  2.2089E+00  0.0000E+00  4.3854E+13  4.3854E+13
  2.2580E+00  0.0000E+00  4.1454E+13  4.1454E+13
  2.3071E+00  0.0000E+00  3.8912E+13  3.8912E+13
  2.3562E+00  0.0000E+00  3.6160E+13  3.6160E+13
