# CREATED BY GENE DIAGNOSTICS TOOL on Tue Apr 26 14:11:06 2022
# diag: zprofile, run(s): 0024, time window: 0-2000(1 steps), species: i
# original data path: /marconi_scratch/userexternal/pmulholl/p40/scanfiles0006/
# normalization: L_ref=1.65m
#
# variable A = phi
#  z/qR       <|A|>       <|A|²>^½    <|A²|-|A|²
 -3.1416E+00  0.0000E+00  9.3446E+00  9.3446E+00
 -3.0925E+00  0.0000E+00  9.4718E+00  9.4718E+00
 -3.0434E+00  0.0000E+00  1.0618E+01  1.0618E+01
 -2.9943E+00  0.0000E+00  1.1473E+01  1.1473E+01
 -2.9452E+00  0.0000E+00  1.2309E+01  1.2309E+01
 -2.8962E+00  0.0000E+00  1.3210E+01  1.3210E+01
 -2.8471E+00  0.0000E+00  1.3639E+01  1.3639E+01
 -2.7980E+00  0.0000E+00  1.3289E+01  1.3289E+01
 -2.7489E+00  0.0000E+00  1.2821E+01  1.2821E+01
 -2.6998E+00  0.0000E+00  1.1323E+01  1.1323E+01
 -2.6507E+00  0.0000E+00  1.0337E+01  1.0337E+01
 -2.6016E+00  0.0000E+00  9.6380E+00  9.6380E+00
 -2.5525E+00  0.0000E+00  8.1409E+00  8.1409E+00
 -2.5035E+00  0.0000E+00  6.2255E+00  6.2255E+00
 -2.4544E+00  0.0000E+00  5.0987E+00  5.0987E+00
 -2.4053E+00  0.0000E+00  3.9369E+00  3.9369E+00
 -2.3562E+00  0.0000E+00  3.0094E+00  3.0094E+00
 -2.3071E+00  0.0000E+00  2.2821E+00  2.2821E+00
 -2.2580E+00  0.0000E+00  2.4211E+00  2.4211E+00
 -2.2089E+00  0.0000E+00  3.2015E+00  3.2015E+00
 -2.1598E+00  0.0000E+00  4.5739E+00  4.5739E+00
 -2.1108E+00  0.0000E+00  5.0042E+00  5.0042E+00
 -2.0617E+00  0.0000E+00  5.5495E+00  5.5495E+00
 -2.0126E+00  0.0000E+00  5.9904E+00  5.9904E+00
 -1.9635E+00  0.0000E+00  6.4281E+00  6.4281E+00
 -1.9144E+00  0.0000E+00  7.0315E+00  7.0315E+00
 -1.8653E+00  0.0000E+00  7.7492E+00  7.7492E+00
 -1.8162E+00  0.0000E+00  8.7756E+00  8.7756E+00
 -1.7671E+00  0.0000E+00  1.0576E+01  1.0576E+01
 -1.7181E+00  0.0000E+00  1.2060E+01  1.2060E+01
 -1.6690E+00  0.0000E+00  1.3003E+01  1.3003E+01
 -1.6199E+00  0.0000E+00  1.4469E+01  1.4469E+01
 -1.5708E+00  0.0000E+00  1.4433E+01  1.4433E+01
 -1.5217E+00  0.0000E+00  1.4466E+01  1.4466E+01
 -1.4726E+00  0.0000E+00  1.4937E+01  1.4937E+01
 -1.4235E+00  0.0000E+00  1.4080E+01  1.4080E+01
 -1.3744E+00  0.0000E+00  1.2881E+01  1.2881E+01
 -1.3254E+00  0.0000E+00  1.1020E+01  1.1020E+01
 -1.2763E+00  0.0000E+00  9.9849E+00  9.9849E+00
 -1.2272E+00  0.0000E+00  9.7453E+00  9.7453E+00
 -1.1781E+00  0.0000E+00  9.3888E+00  9.3888E+00
 -1.1290E+00  0.0000E+00  8.9080E+00  8.9080E+00
 -1.0799E+00  0.0000E+00  8.2059E+00  8.2059E+00
 -1.0308E+00  0.0000E+00  7.7962E+00  7.7962E+00
 -9.8175E-01  0.0000E+00  7.7660E+00  7.7660E+00
 -9.3266E-01  0.0000E+00  7.2600E+00  7.2600E+00
 -8.8357E-01  0.0000E+00  7.2016E+00  7.2016E+00
 -8.3449E-01  0.0000E+00  7.5353E+00  7.5353E+00
 -7.8540E-01  0.0000E+00  8.0070E+00  8.0070E+00
 -7.3631E-01  0.0000E+00  8.1204E+00  8.1204E+00
 -6.8722E-01  0.0000E+00  8.1845E+00  8.1845E+00
 -6.3814E-01  0.0000E+00  8.6051E+00  8.6051E+00
 -5.8905E-01  0.0000E+00  8.7124E+00  8.7124E+00
 -5.3996E-01  0.0000E+00  9.2850E+00  9.2850E+00
 -4.9087E-01  0.0000E+00  9.9943E+00  9.9943E+00
 -4.4179E-01  0.0000E+00  1.0603E+01  1.0603E+01
 -3.9270E-01  0.0000E+00  1.1208E+01  1.1208E+01
 -3.4361E-01  0.0000E+00  1.2100E+01  1.2100E+01
