# CREATED BY GENE DIAGNOSTICS TOOL on Tue Apr 26 14:11:54 2022
# diag: zprofile, run(s): 0030, time window: 0-538.5276(1 steps), species: i
# original data path: /marconi_scratch/userexternal/pmulholl/p40/scanfiles0006/
# normalization: L_ref=1.65m
#
# variable A = phi
#  z/qR       <|A|>       <|A|²>^½    <|A²|-|A|²
 -3.1416E+00  0.0000E+00  6.1347E+08  6.1347E+08
 -3.0925E+00  0.0000E+00  6.2473E+08  6.2473E+08
 -3.0434E+00  0.0000E+00  5.9006E+08  5.9006E+08
 -2.9943E+00  0.0000E+00  5.8516E+08  5.8516E+08
 -2.9452E+00  0.0000E+00  5.8961E+08  5.8961E+08
 -2.8962E+00  0.0000E+00  5.6841E+08  5.6841E+08
 -2.8471E+00  0.0000E+00  5.5520E+08  5.5520E+08
 -2.7980E+00  0.0000E+00  5.5442E+08  5.5442E+08
 -2.7489E+00  0.0000E+00  5.3344E+08  5.3344E+08
 -2.6998E+00  0.0000E+00  5.3701E+08  5.3701E+08
 -2.6507E+00  0.0000E+00  5.0035E+08  5.0035E+08
 -2.6016E+00  0.0000E+00  4.5008E+08  4.5008E+08
 -2.5525E+00  0.0000E+00  4.2443E+08  4.2443E+08
 -2.5035E+00  0.0000E+00  4.2030E+08  4.2030E+08
 -2.4544E+00  0.0000E+00  4.2287E+08  4.2287E+08
 -2.4053E+00  0.0000E+00  4.0000E+08  4.0000E+08
 -2.3562E+00  0.0000E+00  3.5641E+08  3.5641E+08
 -2.3071E+00  0.0000E+00  3.1675E+08  3.1675E+08
 -2.2580E+00  0.0000E+00  3.0807E+08  3.0807E+08
 -2.2089E+00  0.0000E+00  3.0688E+08  3.0688E+08
 -2.1598E+00  0.0000E+00  3.0796E+08  3.0796E+08
 -2.1108E+00  0.0000E+00  3.1257E+08  3.1257E+08
 -2.0617E+00  0.0000E+00  3.2370E+08  3.2370E+08
 -2.0126E+00  0.0000E+00  3.5511E+08  3.5511E+08
 -1.9635E+00  0.0000E+00  4.2364E+08  4.2364E+08
 -1.9144E+00  0.0000E+00  4.8324E+08  4.8324E+08
 -1.8653E+00  0.0000E+00  5.6590E+08  5.6590E+08
 -1.8162E+00  0.0000E+00  6.5300E+08  6.5300E+08
 -1.7671E+00  0.0000E+00  7.1725E+08  7.1725E+08
 -1.7181E+00  0.0000E+00  7.9028E+08  7.9028E+08
 -1.6690E+00  0.0000E+00  8.9028E+08  8.9028E+08
 -1.6199E+00  0.0000E+00  9.4925E+08  9.4925E+08
 -1.5708E+00  0.0000E+00  1.0226E+09  1.0226E+09
 -1.5217E+00  0.0000E+00  1.0649E+09  1.0649E+09
 -1.4726E+00  0.0000E+00  1.0573E+09  1.0573E+09
 -1.4235E+00  0.0000E+00  1.0475E+09  1.0475E+09
 -1.3744E+00  0.0000E+00  1.0358E+09  1.0358E+09
 -1.3254E+00  0.0000E+00  1.0441E+09  1.0441E+09
 -1.2763E+00  0.0000E+00  1.0055E+09  1.0055E+09
 -1.2272E+00  0.0000E+00  9.0341E+08  9.0341E+08
 -1.1781E+00  0.0000E+00  8.1352E+08  8.1352E+08
 -1.1290E+00  0.0000E+00  7.5998E+08  7.5998E+08
 -1.0799E+00  0.0000E+00  6.9398E+08  6.9398E+08
 -1.0308E+00  0.0000E+00  6.5592E+08  6.5592E+08
 -9.8175E-01  0.0000E+00  5.7796E+08  5.7796E+08
 -9.3266E-01  0.0000E+00  5.6086E+08  5.6086E+08
 -8.8357E-01  0.0000E+00  5.2098E+08  5.2098E+08
 -8.3449E-01  0.0000E+00  5.3024E+08  5.3024E+08
 -7.8540E-01  0.0000E+00  5.3011E+08  5.3011E+08
 -7.3631E-01  0.0000E+00  5.5704E+08  5.5704E+08
 -6.8722E-01  0.0000E+00  5.7856E+08  5.7856E+08
 -6.3814E-01  0.0000E+00  5.9958E+08  5.9958E+08
 -5.8905E-01  0.0000E+00  6.7206E+08  6.7206E+08
 -5.3996E-01  0.0000E+00  7.2553E+08  7.2553E+08
 -4.9087E-01  0.0000E+00  7.4329E+08  7.4329E+08
 -4.4179E-01  0.0000E+00  8.4673E+08  8.4673E+08
 -3.9270E-01  0.0000E+00  9.5220E+08  9.5220E+08
 -3.4361E-01  0.0000E+00  1.0574E+09  1.0574E+09
 -2.9452E-01  0.0000E+00  1.1966E+09  1.1966E+09
 -2.4544E-01  0.0000E+00  1.3332E+09  1.3332E+09
 -1.9635E-01  0.0000E+00  1.5384E+09  1.5384E+09
 -1.4726E-01  0.0000E+00  1.5988E+09  1.5988E+09
 -9.8175E-02  0.0000E+00  1.5875E+09  1.5875E+09
 -4.9087E-02  0.0000E+00  1.5750E+09  1.5750E+09
  0.0000E+00  0.0000E+00  1.5738E+09  1.5738E+09
  4.9087E-02  0.0000E+00  1.5123E+09  1.5123E+09
  9.8175E-02  0.0000E+00  1.4555E+09  1.4555E+09
  1.4726E-01  0.0000E+00  1.3793E+09  1.3793E+09
  1.9635E-01  0.0000E+00  1.2607E+09  1.2607E+09
  2.4544E-01  0.0000E+00  1.0912E+09  1.0912E+09
  2.9452E-01  0.0000E+00  9.7715E+08  9.7715E+08
  3.4361E-01  0.0000E+00  8.7203E+08  8.7203E+08
  3.9270E-01  0.0000E+00  7.7664E+08  7.7664E+08
  4.4179E-01  0.0000E+00  6.7354E+08  6.7354E+08
  4.9087E-01  0.0000E+00  5.8225E+08  5.8225E+08
  5.3996E-01  0.0000E+00  5.3785E+08  5.3785E+08
  5.8905E-01  0.0000E+00  4.9786E+08  4.9786E+08
  6.3814E-01  0.0000E+00  4.1098E+08  4.1098E+08
