# CREATED BY GENE DIAGNOSTICS TOOL on Tue Apr 26 15:36:01 2022
# diag: zprofile, run(s): 0021, time window: 0-1445.95(1 steps), species: i
# original data path: /marconi_scratch/userexternal/pmulholl/p41/scanfiles0006/
# normalization: L_ref=1.65m
#
# variable A = phi
#  z/qR       <|A|>       <|A|²>^½    <|A²|-|A|²
 -3.1416E+00  0.0000E+00  1.0070E+10  1.0070E+10
 -3.0925E+00  0.0000E+00  1.0573E+10  1.0573E+10
 -3.0434E+00  0.0000E+00  1.2063E+10  1.2063E+10
 -2.9943E+00  0.0000E+00  1.2606E+10  1.2606E+10
 -2.9452E+00  0.0000E+00  1.3045E+10  1.3045E+10
 -2.8962E+00  0.0000E+00  1.3857E+10  1.3857E+10
 -2.8471E+00  0.0000E+00  1.3918E+10  1.3918E+10
 -2.7980E+00  0.0000E+00  1.3964E+10  1.3964E+10
 -2.7489E+00  0.0000E+00  1.3163E+10  1.3163E+10
 -2.6998E+00  0.0000E+00  1.1435E+10  1.1435E+10
 -2.6507E+00  0.0000E+00  1.0426E+10  1.0426E+10
 -2.6016E+00  0.0000E+00  9.5245E+09  9.5245E+09
 -2.5525E+00  0.0000E+00  8.4740E+09  8.4740E+09
 -2.5035E+00  0.0000E+00  7.6843E+09  7.6843E+09
 -2.4544E+00  0.0000E+00  6.8903E+09  6.8903E+09
 -2.4053E+00  0.0000E+00  6.1903E+09  6.1903E+09
 -2.3562E+00  0.0000E+00  6.2375E+09  6.2375E+09
 -2.3071E+00  0.0000E+00  6.5495E+09  6.5495E+09
 -2.2580E+00  0.0000E+00  6.8071E+09  6.8071E+09
 -2.2089E+00  0.0000E+00  6.9275E+09  6.9275E+09
 -2.1598E+00  0.0000E+00  6.9720E+09  6.9720E+09
 -2.1108E+00  0.0000E+00  7.3592E+09  7.3592E+09
 -2.0617E+00  0.0000E+00  7.7750E+09  7.7750E+09
 -2.0126E+00  0.0000E+00  8.0212E+09  8.0212E+09
 -1.9635E+00  0.0000E+00  7.9365E+09  7.9365E+09
 -1.9144E+00  0.0000E+00  7.7549E+09  7.7549E+09
 -1.8653E+00  0.0000E+00  7.9484E+09  7.9484E+09
 -1.8162E+00  0.0000E+00  8.3007E+09  8.3007E+09
 -1.7671E+00  0.0000E+00  9.4966E+09  9.4966E+09
 -1.7181E+00  0.0000E+00  1.0136E+10  1.0136E+10
 -1.6690E+00  0.0000E+00  1.0923E+10  1.0923E+10
 -1.6199E+00  0.0000E+00  1.1765E+10  1.1765E+10
 -1.5708E+00  0.0000E+00  1.1330E+10  1.1330E+10
 -1.5217E+00  0.0000E+00  1.1149E+10  1.1149E+10
 -1.4726E+00  0.0000E+00  1.1303E+10  1.1303E+10
 -1.4235E+00  0.0000E+00  1.1110E+10  1.1110E+10
 -1.3744E+00  0.0000E+00  1.1749E+10  1.1749E+10
 -1.3254E+00  0.0000E+00  1.1830E+10  1.1830E+10
 -1.2763E+00  0.0000E+00  1.1205E+10  1.1205E+10
 -1.2272E+00  0.0000E+00  1.0477E+10  1.0477E+10
 -1.1781E+00  0.0000E+00  9.6175E+09  9.6175E+09
 -1.1290E+00  0.0000E+00  9.3025E+09  9.3025E+09
 -1.0799E+00  0.0000E+00  8.9768E+09  8.9768E+09
 -1.0308E+00  0.0000E+00  8.6933E+09  8.6933E+09
 -9.8175E-01  0.0000E+00  8.5709E+09  8.5709E+09
 -9.3266E-01  0.0000E+00  8.5927E+09  8.5927E+09
 -8.8357E-01  0.0000E+00  8.7263E+09  8.7263E+09
 -8.3449E-01  0.0000E+00  9.0070E+09  9.0070E+09
 -7.8540E-01  0.0000E+00  9.3067E+09  9.3067E+09
 -7.3631E-01  0.0000E+00  9.6108E+09  9.6108E+09
 -6.8722E-01  0.0000E+00  9.8188E+09  9.8188E+09
 -6.3814E-01  0.0000E+00  1.0183E+10  1.0183E+10
 -5.8905E-01  0.0000E+00  1.0342E+10  1.0342E+10
 -5.3996E-01  0.0000E+00  1.0685E+10  1.0685E+10
 -4.9087E-01  0.0000E+00  1.0991E+10  1.0991E+10
 -4.4179E-01  0.0000E+00  1.1378E+10  1.1378E+10
 -3.9270E-01  0.0000E+00  1.1408E+10  1.1408E+10
 -3.4361E-01  0.0000E+00  1.1786E+10  1.1786E+10
 -2.9452E-01  0.0000E+00  1.1840E+10  1.1840E+10
 -2.4544E-01  0.0000E+00  1.2615E+10  1.2615E+10
 -1.9635E-01  0.0000E+00  1.2937E+10  1.2937E+10
 -1.4726E-01  0.0000E+00  1.2873E+10  1.2873E+10
 -9.8175E-02  0.0000E+00  1.2424E+10  1.2424E+10
 -4.9087E-02  0.0000E+00  1.1423E+10  1.1423E+10
  0.0000E+00  0.0000E+00  1.1423E+10  1.1423E+10
  4.9087E-02  0.0000E+00  1.1349E+10  1.1349E+10
  9.8175E-02  0.0000E+00  1.2278E+10  1.2278E+10
  1.4726E-01  0.0000E+00  1.2662E+10  1.2662E+10
  1.9635E-01  0.0000E+00  1.2672E+10  1.2672E+10
  2.4544E-01  0.0000E+00  1.2311E+10  1.2311E+10
  2.9452E-01  0.0000E+00  1.1515E+10  1.1515E+10
  3.4361E-01  0.0000E+00  1.1449E+10  1.1449E+10
  3.9270E-01  0.0000E+00  1.1079E+10  1.1079E+10
  4.4179E-01  0.0000E+00  1.1062E+10  1.1062E+10
  4.9087E-01  0.0000E+00  1.0715E+10  1.0715E+10
