# CREATED BY GENE DIAGNOSTICS TOOL on Tue Apr 26 15:38:14 2022
# diag: zprofile, run(s): 0042, time window: 0-2000(1 steps), species: i
# original data path: /marconi_scratch/userexternal/pmulholl/p41/scanfiles0006/
# normalization: L_ref=1.65m
#
# variable A = phi
#  z/qR       <|A|>       <|A|²>^½    <|A²|-|A|²
 -3.1416E+00  0.0000E+00  9.1080E+12  9.1080E+12
 -3.0925E+00  0.0000E+00  9.3191E+12  9.3191E+12
 -3.0434E+00  0.0000E+00  1.0737E+13  1.0737E+13
 -2.9943E+00  0.0000E+00  1.1300E+13  1.1300E+13
 -2.9452E+00  0.0000E+00  1.1825E+13  1.1825E+13
 -2.8962E+00  0.0000E+00  1.2740E+13  1.2740E+13
 -2.8471E+00  0.0000E+00  1.2817E+13  1.2817E+13
 -2.7980E+00  0.0000E+00  1.2871E+13  1.2871E+13
 -2.7489E+00  0.0000E+00  1.1963E+13  1.1963E+13
 -2.6998E+00  0.0000E+00  1.0025E+13  1.0025E+13
 -2.6507E+00  0.0000E+00  8.9702E+12  8.9702E+12
 -2.6016E+00  0.0000E+00  7.9389E+12  7.9389E+12
 -2.5525E+00  0.0000E+00  6.7657E+12  6.7657E+12
 -2.5035E+00  0.0000E+00  5.7976E+12  5.7976E+12
 -2.4544E+00  0.0000E+00  4.8062E+12  4.8062E+12
 -2.4053E+00  0.0000E+00  3.7969E+12  3.7969E+12
 -2.3562E+00  0.0000E+00  3.7398E+12  3.7398E+12
 -2.3071E+00  0.0000E+00  3.8923E+12  3.8923E+12
 -2.2580E+00  0.0000E+00  3.9000E+12  3.9000E+12
 -2.2089E+00  0.0000E+00  3.9071E+12  3.9071E+12
 -2.1598E+00  0.0000E+00  3.8772E+12  3.8772E+12
 -2.1108E+00  0.0000E+00  4.4105E+12  4.4105E+12
 -2.0617E+00  0.0000E+00  5.0188E+12  5.0188E+12
 -2.0126E+00  0.0000E+00  5.8139E+12  5.8139E+12
 -1.9635E+00  0.0000E+00  6.3189E+12  6.3189E+12
 -1.9144E+00  0.0000E+00  6.8436E+12  6.8436E+12
 -1.8653E+00  0.0000E+00  7.5748E+12  7.5748E+12
 -1.8162E+00  0.0000E+00  8.4485E+12  8.4485E+12
 -1.7671E+00  0.0000E+00  1.0460E+13  1.0460E+13
 -1.7181E+00  0.0000E+00  1.1651E+13  1.1651E+13
 -1.6690E+00  0.0000E+00  1.3029E+13  1.3029E+13
 -1.6199E+00  0.0000E+00  1.4460E+13  1.4460E+13
 -1.5708E+00  0.0000E+00  1.3645E+13  1.3645E+13
 -1.5217E+00  0.0000E+00  1.3176E+13  1.3176E+13
 -1.4726E+00  0.0000E+00  1.3241E+13  1.3241E+13
 -1.4235E+00  0.0000E+00  1.2629E+13  1.2629E+13
 -1.3744E+00  0.0000E+00  1.3482E+13  1.3482E+13
 -1.3254E+00  0.0000E+00  1.3258E+13  1.3258E+13
 -1.2763E+00  0.0000E+00  1.1849E+13  1.1849E+13
 -1.2272E+00  0.0000E+00  1.0287E+13  1.0287E+13
 -1.1781E+00  0.0000E+00  8.7538E+12  8.7538E+12
 -1.1290E+00  0.0000E+00  8.1207E+12  8.1207E+12
 -1.0799E+00  0.0000E+00  7.7083E+12  7.7083E+12
 -1.0308E+00  0.0000E+00  7.1403E+12  7.1403E+12
 -9.8175E-01  0.0000E+00  6.9479E+12  6.9479E+12
 -9.3266E-01  0.0000E+00  6.7819E+12  6.7819E+12
 -8.8357E-01  0.0000E+00  6.9050E+12  6.9050E+12
 -8.3449E-01  0.0000E+00  6.9772E+12  6.9772E+12
 -7.8540E-01  0.0000E+00  7.1913E+12  7.1913E+12
 -7.3631E-01  0.0000E+00  7.2454E+12  7.2454E+12
 -6.8722E-01  0.0000E+00  7.4361E+12  7.4361E+12
 -6.3814E-01  0.0000E+00  7.7015E+12  7.7015E+12
 -5.8905E-01  0.0000E+00  8.0160E+12  8.0160E+12
 -5.3996E-01  0.0000E+00  8.3700E+12  8.3700E+12
 -4.9087E-01  0.0000E+00  8.8665E+12  8.8665E+12
 -4.4179E-01  0.0000E+00  9.4865E+12  9.4865E+12
 -3.9270E-01  0.0000E+00  9.8542E+12  9.8542E+12
 -3.4361E-01  0.0000E+00  1.0647E+13  1.0647E+13
 -2.9452E-01  0.0000E+00  1.1126E+13  1.1126E+13
 -2.4544E-01  0.0000E+00  1.2611E+13  1.2611E+13
 -1.9635E-01  0.0000E+00  1.3397E+13  1.3397E+13
 -1.4726E-01  0.0000E+00  1.3544E+13  1.3544E+13
 -9.8175E-02  0.0000E+00  1.3039E+13  1.3039E+13
 -4.9087E-02  0.0000E+00  1.1595E+13  1.1595E+13
  0.0000E+00  0.0000E+00  1.1610E+13  1.1610E+13
  4.9087E-02  0.0000E+00  1.1572E+13  1.1572E+13
  9.8175E-02  0.0000E+00  1.2996E+13  1.2996E+13
  1.4726E-01  0.0000E+00  1.3482E+13  1.3482E+13
  1.9635E-01  0.0000E+00  1.3320E+13  1.3320E+13
  2.4544E-01  0.0000E+00  1.2526E+13  1.2526E+13
  2.9452E-01  0.0000E+00  1.1033E+13  1.1033E+13
  3.4361E-01  0.0000E+00  1.0553E+13  1.0553E+13
  3.9270E-01  0.0000E+00  9.7642E+12  9.7642E+12
  4.4179E-01  0.0000E+00  9.4006E+12  9.4006E+12
  4.9087E-01  0.0000E+00  8.7897E+12  8.7897E+12
  5.3996E-01  0.0000E+00  8.3006E+12  8.3006E+12
  5.8905E-01  0.0000E+00  7.9565E+12  7.9565E+12
  6.3814E-01  0.0000E+00  7.6733E+12  7.6733E+12
  6.8722E-01  0.0000E+00  7.4262E+12  7.4262E+12
  7.3631E-01  0.0000E+00  7.2583E+12  7.2583E+12
  7.8540E-01  0.0000E+00  7.2188E+12  7.2188E+12
  8.3449E-01  0.0000E+00  7.0222E+12  7.0222E+12
  8.8357E-01  0.0000E+00  6.9688E+12  6.9688E+12
  9.3266E-01  0.0000E+00  6.8615E+12  6.8615E+12
  9.8175E-01  0.0000E+00  7.0414E+12  7.0414E+12
  1.0308E+00  0.0000E+00  7.2548E+12  7.2548E+12
  1.0799E+00  0.0000E+00  7.8571E+12  7.8571E+12
  1.1290E+00  0.0000E+00  8.2756E+12  8.2756E+12
  1.1781E+00  0.0000E+00  8.9042E+12  8.9042E+12
  1.2272E+00  0.0000E+00  1.0392E+13  1.0392E+13
  1.2763E+00  0.0000E+00  1.1929E+13  1.1929E+13
  1.3254E+00  0.0000E+00  1.3316E+13  1.3316E+13
  1.3744E+00  0.0000E+00  1.3516E+13  1.3516E+13
  1.4235E+00  0.0000E+00  1.2642E+13  1.2642E+13
  1.4726E+00  0.0000E+00  1.3225E+13  1.3225E+13
  1.5217E+00  0.0000E+00  1.3129E+13  1.3129E+13
  1.5708E+00  0.0000E+00  1.3570E+13  1.3570E+13
  1.6199E+00  0.0000E+00  1.4357E+13  1.4357E+13
  1.6690E+00  0.0000E+00  1.2897E+13  1.2897E+13
  1.7181E+00  0.0000E+00  1.1495E+13  1.1495E+13
  1.7671E+00  0.0000E+00  1.0282E+13  1.0282E+13
  1.8162E+00  0.0000E+00  8.2952E+12  8.2952E+12
  1.8653E+00  0.0000E+00  7.4265E+12  7.4265E+12
  1.9144E+00  0.0000E+00  6.7062E+12  6.7062E+12
  1.9635E+00  0.0000E+00  6.2420E+12  6.2420E+12
  2.0126E+00  0.0000E+00  5.7213E+12  5.7213E+12
  2.0617E+00  0.0000E+00  4.8962E+12  4.8962E+12
  2.1108E+00  0.0000E+00  4.2430E+12  4.2430E+12
  2.1598E+00  0.0000E+00  3.7133E+12  3.7133E+12
  2.2089E+00  0.0000E+00  3.7451E+12  3.7451E+12
  2.2580E+00  0.0000E+00  3.7495E+12  3.7495E+12
  2.3071E+00  0.0000E+00  3.7522E+12  3.7522E+12
  2.3562E+00  0.0000E+00  3.6599E+12  3.6599E+12
  2.4053E+00  0.0000E+00  3.8362E+12  3.8362E+12
  2.4544E+00  0.0000E+00  4.9578E+12  4.9578E+12
  2.5035E+00  0.0000E+00  5.9383E+12  5.9383E+12
  2.5525E+00  0.0000E+00  6.8643E+12  6.8643E+12
  2.6016E+00  0.0000E+00  8.0446E+12  8.0446E+12
  2.6507E+00  0.0000E+00  9.1166E+12  9.1166E+12
  2.6998E+00  0.0000E+00  1.0149E+13  1.0149E+13
  2.7489E+00  0.0000E+00  1.2169E+13  1.2169E+13
  2.7980E+00  0.0000E+00  1.3053E+13  1.3053E+13
  2.8471E+00  0.0000E+00  1.2974E+13  1.2974E+13
  2.8962E+00  0.0000E+00  1.2804E+13  1.2804E+13
  2.9452E+00  0.0000E+00  1.1859E+13  1.1859E+13
  2.9943E+00  0.0000E+00  1.1237E+13  1.1237E+13
  3.0434E+00  0.0000E+00  1.0790E+13  1.0790E+13
  3.0925E+00  0.0000E+00  9.3170E+12  9.3170E+12
