# CREATED BY GENE DIAGNOSTICS TOOL on Sun Apr 24 20:22:19 2022
# diag: zprofile, run(s): 0011, time window: 0-1006.385(1 steps), species: i
# original data path: /marconi_scratch/userexternal/pmulholl/p38/scanfiles0010/
# normalization: L_ref=1.65m
#
# variable A = phi
#  z/qR       <|A|>       <|A|²>^½    <|A²|-|A|²
 -3.1416E+00  0.0000E+00  3.2782E+07  3.2782E+07
 -3.0925E+00  0.0000E+00  2.8100E+07  2.8100E+07
 -3.0434E+00  0.0000E+00  2.5718E+07  2.5718E+07
 -2.9943E+00  0.0000E+00  2.6858E+07  2.6858E+07
 -2.9452E+00  0.0000E+00  3.0586E+07  3.0586E+07
 -2.8962E+00  0.0000E+00  3.4668E+07  3.4668E+07
 -2.8471E+00  0.0000E+00  3.8517E+07  3.8517E+07
 -2.7980E+00  0.0000E+00  3.9921E+07  3.9921E+07
 -2.7489E+00  0.0000E+00  3.8347E+07  3.8347E+07
 -2.6998E+00  0.0000E+00  3.5783E+07  3.5783E+07
 -2.6507E+00  0.0000E+00  3.0871E+07  3.0871E+07
 -2.6016E+00  0.0000E+00  2.7503E+07  2.7503E+07
 -2.5525E+00  0.0000E+00  2.4963E+07  2.4963E+07
 -2.5035E+00  0.0000E+00  2.2768E+07  2.2768E+07
 -2.4544E+00  0.0000E+00  2.0823E+07  2.0823E+07
 -2.4053E+00  0.0000E+00  1.9076E+07  1.9076E+07
 -2.3562E+00  0.0000E+00  1.6526E+07  1.6526E+07
 -2.3071E+00  0.0000E+00  1.4023E+07  1.4023E+07
 -2.2580E+00  0.0000E+00  1.1393E+07  1.1393E+07
 -2.2089E+00  0.0000E+00  9.2884E+06  9.2884E+06
 -2.1598E+00  0.0000E+00  8.2094E+06  8.2094E+06
 -2.1108E+00  0.0000E+00  8.9857E+06  8.9857E+06
 -2.0617E+00  0.0000E+00  1.2185E+07  1.2185E+07
 -2.0126E+00  0.0000E+00  1.6180E+07  1.6180E+07
 -1.9635E+00  0.0000E+00  2.0046E+07  2.0046E+07
 -1.9144E+00  0.0000E+00  2.3209E+07  2.3209E+07
 -1.8653E+00  0.0000E+00  2.5002E+07  2.5002E+07
 -1.8162E+00  0.0000E+00  3.1634E+07  3.1634E+07
 -1.7671E+00  0.0000E+00  4.2231E+07  4.2231E+07
 -1.7181E+00  0.0000E+00  5.5938E+07  5.5938E+07
 -1.6690E+00  0.0000E+00  6.1116E+07  6.1116E+07
 -1.6199E+00  0.0000E+00  6.7066E+07  6.7066E+07
 -1.5708E+00  0.0000E+00  6.8133E+07  6.8133E+07
 -1.5217E+00  0.0000E+00  5.9407E+07  5.9407E+07
