# CREATED BY GENE DIAGNOSTICS TOOL on Sun Apr 24 20:22:43 2022
# diag: zprofile, run(s): 0014, time window: 0-2000(1 steps), species: i
# original data path: /marconi_scratch/userexternal/pmulholl/p38/scanfiles0010/
# normalization: L_ref=1.65m
#
# variable A = phi
#  z/qR       <|A|>       <|A|²>^½    <|A²|-|A|²
 -3.1416E+00  0.0000E+00  2.1571E+00  2.1571E+00
 -3.0925E+00  0.0000E+00  1.9985E+00  1.9985E+00
 -3.0434E+00  0.0000E+00  2.0006E+00  2.0006E+00
 -2.9943E+00  0.0000E+00  1.9086E+00  1.9086E+00
 -2.9452E+00  0.0000E+00  1.9566E+00  1.9566E+00
 -2.8962E+00  0.0000E+00  1.9576E+00  1.9576E+00
 -2.8471E+00  0.0000E+00  1.9054E+00  1.9054E+00
 -2.7980E+00  0.0000E+00  1.8663E+00  1.8663E+00
 -2.7489E+00  0.0000E+00  1.8605E+00  1.8605E+00
 -2.6998E+00  0.0000E+00  1.8188E+00  1.8188E+00
 -2.6507E+00  0.0000E+00  1.8209E+00  1.8209E+00
 -2.6016E+00  0.0000E+00  1.6973E+00  1.6973E+00
 -2.5525E+00  0.0000E+00  1.5999E+00  1.5999E+00
 -2.5035E+00  0.0000E+00  1.5010E+00  1.5010E+00
 -2.4544E+00  0.0000E+00  1.4379E+00  1.4379E+00
 -2.4053E+00  0.0000E+00  1.4465E+00  1.4465E+00
 -2.3562E+00  0.0000E+00  1.4808E+00  1.4808E+00
 -2.3071E+00  0.0000E+00  1.5656E+00  1.5656E+00
 -2.2580E+00  0.0000E+00  1.6378E+00  1.6378E+00
 -2.2089E+00  0.0000E+00  1.7879E+00  1.7879E+00
 -2.1598E+00  0.0000E+00  1.9778E+00  1.9778E+00
 -2.1108E+00  0.0000E+00  2.3360E+00  2.3360E+00
 -2.0617E+00  0.0000E+00  2.7987E+00  2.7987E+00
 -2.0126E+00  0.0000E+00  3.4341E+00  3.4341E+00
 -1.9635E+00  0.0000E+00  4.1362E+00  4.1362E+00
 -1.9144E+00  0.0000E+00  4.9036E+00  4.9036E+00
 -1.8653E+00  0.0000E+00  5.3566E+00  5.3566E+00
 -1.8162E+00  0.0000E+00  5.8080E+00  5.8080E+00
 -1.7671E+00  0.0000E+00  6.0846E+00  6.0846E+00
 -1.7181E+00  0.0000E+00  6.0730E+00  6.0730E+00
 -1.6690E+00  0.0000E+00  6.4309E+00  6.4309E+00
 -1.6199E+00  0.0000E+00  6.6366E+00  6.6366E+00
 -1.5708E+00  0.0000E+00  6.8647E+00  6.8647E+00
 -1.5217E+00  0.0000E+00  7.4864E+00  7.4864E+00
 -1.4726E+00  0.0000E+00  7.6415E+00  7.6415E+00
 -1.4235E+00  0.0000E+00  7.9160E+00  7.9160E+00
 -1.3744E+00  0.0000E+00  7.8439E+00  7.8439E+00
 -1.3254E+00  0.0000E+00  7.5222E+00  7.5222E+00
 -1.2763E+00  0.0000E+00  7.1121E+00  7.1121E+00
 -1.2272E+00  0.0000E+00  6.4447E+00  6.4447E+00
 -1.1781E+00  0.0000E+00  5.6918E+00  5.6918E+00
 -1.1290E+00  0.0000E+00  5.0013E+00  5.0013E+00
 -1.0799E+00  0.0000E+00  4.1280E+00  4.1280E+00
 -1.0308E+00  0.0000E+00  3.5788E+00  3.5788E+00
 -9.8175E-01  0.0000E+00  2.8773E+00  2.8773E+00
 -9.3266E-01  0.0000E+00  2.4903E+00  2.4903E+00
 -8.8357E-01  0.0000E+00  2.2090E+00  2.2090E+00
 -8.3449E-01  0.0000E+00  2.1563E+00  2.1563E+00
 -7.8540E-01  0.0000E+00  2.2469E+00  2.2469E+00
 -7.3631E-01  0.0000E+00  2.3245E+00  2.3245E+00
 -6.8722E-01  0.0000E+00  2.4098E+00  2.4098E+00
 -6.3814E-01  0.0000E+00  2.4051E+00  2.4051E+00
 -5.8905E-01  0.0000E+00  2.4704E+00  2.4704E+00
 -5.3996E-01  0.0000E+00  2.5291E+00  2.5291E+00
 -4.9087E-01  0.0000E+00  2.4886E+00  2.4886E+00
 -4.4179E-01  0.0000E+00  2.6063E+00  2.6063E+00
 -3.9270E-01  0.0000E+00  2.8038E+00  2.8038E+00
 -3.4361E-01  0.0000E+00  3.1135E+00  3.1135E+00
 -2.9452E-01  0.0000E+00  3.4899E+00  3.4899E+00
 -2.4544E-01  0.0000E+00  3.8109E+00  3.8109E+00
 -1.9635E-01  0.0000E+00  4.0808E+00  4.0808E+00
 -1.4726E-01  0.0000E+00  4.3662E+00  4.3662E+00
 -9.8175E-02  0.0000E+00  4.4297E+00  4.4297E+00
 -4.9087E-02  0.0000E+00  4.6126E+00  4.6126E+00
  0.0000E+00  0.0000E+00  4.6149E+00  4.6149E+00
  4.9087E-02  0.0000E+00  4.6249E+00  4.6249E+00
  9.8175E-02  0.0000E+00  4.4502E+00  4.4502E+00
  1.4726E-01  0.0000E+00  4.3961E+00  4.3961E+00
  1.9635E-01  0.0000E+00  4.1159E+00  4.1159E+00
  2.4544E-01  0.0000E+00  3.8547E+00  3.8547E+00
  2.9452E-01  0.0000E+00  3.5337E+00  3.5337E+00
  3.4361E-01  0.0000E+00  3.1736E+00  3.1736E+00
  3.9270E-01  0.0000E+00  2.8667E+00  2.8667E+00
  4.4179E-01  0.0000E+00  2.6963E+00  2.6963E+00
  4.9087E-01  0.0000E+00  2.5852E+00  2.5852E+00
  5.3996E-01  0.0000E+00  2.6531E+00  2.6531E+00
  5.8905E-01  0.0000E+00  2.6087E+00  2.6087E+00
  6.3814E-01  0.0000E+00  2.5840E+00  2.5840E+00
  6.8722E-01  0.0000E+00  2.6022E+00  2.6022E+00
  7.3631E-01  0.0000E+00  2.5517E+00  2.5517E+00
  7.8540E-01  0.0000E+00  2.4777E+00  2.4777E+00
  8.3449E-01  0.0000E+00  2.3919E+00  2.3919E+00
  8.8357E-01  0.0000E+00  2.4036E+00  2.4036E+00
  9.3266E-01  0.0000E+00  2.6300E+00  2.6300E+00
  9.8175E-01  0.0000E+00  2.9523E+00  2.9523E+00
  1.0308E+00  0.0000E+00  3.5613E+00  3.5613E+00
  1.0799E+00  0.0000E+00  4.0404E+00  4.0404E+00
  1.1290E+00  0.0000E+00  4.8018E+00  4.8018E+00
  1.1781E+00  0.0000E+00  5.3937E+00  5.3937E+00
  1.2272E+00  0.0000E+00  6.0472E+00  6.0472E+00
  1.2763E+00  0.0000E+00  6.6192E+00  6.6192E+00
  1.3254E+00  0.0000E+00  6.9751E+00  6.9751E+00
  1.3744E+00  0.0000E+00  7.2484E+00  7.2484E+00
  1.4235E+00  0.0000E+00  7.3052E+00  7.3052E+00
  1.4726E+00  0.0000E+00  7.0483E+00  7.0483E+00
  1.5217E+00  0.0000E+00  6.8942E+00  6.8942E+00
  1.5708E+00  0.0000E+00  6.3175E+00  6.3175E+00
  1.6199E+00  0.0000E+00  6.0983E+00  6.0983E+00
  1.6690E+00  0.0000E+00  5.9042E+00  5.9042E+00
  1.7181E+00  0.0000E+00  5.5732E+00  5.5732E+00
