# CREATED BY GENE DIAGNOSTICS TOOL on Tue Dec 15 10:23:20 2020
# diag: zprofile, run(s): 0011, time window: 11-11.543(10 steps), species: ions
# original data path: /ptmp/jproll/critgrad/TEMgradn/D3D/scanfiles0003/
# normalization: L_ref=1.65m
#
# variable A = phi
#  z/qR       <|A|>       <|A|²>^½    <|A²|-|A|²
 -3.1416E+00  0.0000E+00  1.6263E+03  1.6263E+03
 -3.0434E+00  0.0000E+00  1.6354E+03  1.6354E+03
 -2.9452E+00  0.0000E+00  1.6585E+03  1.6585E+03
 -2.8471E+00  0.0000E+00  1.6963E+03  1.6963E+03
 -2.7489E+00  0.0000E+00  1.7495E+03  1.7495E+03
 -2.6507E+00  0.0000E+00  1.8180E+03  1.8180E+03
 -2.5525E+00  0.0000E+00  1.9020E+03  1.9020E+03
 -2.4544E+00  0.0000E+00  2.0013E+03  2.0013E+03
 -2.3562E+00  0.0000E+00  2.1161E+03  2.1161E+03
 -2.2580E+00  0.0000E+00  2.2467E+03  2.2467E+03
 -2.1598E+00  0.0000E+00  2.3928E+03  2.3928E+03
 -2.0617E+00  0.0000E+00  2.5531E+03  2.5531E+03
 -1.9635E+00  0.0000E+00  2.7255E+03  2.7255E+03
 -1.8653E+00  0.0000E+00  2.9066E+03  2.9066E+03
 -1.7671E+00  0.0000E+00  3.0924E+03  3.0924E+03
 -1.6690E+00  0.0000E+00  3.2776E+03  3.2776E+03
 -1.5708E+00  0.0000E+00  3.4563E+03  3.4563E+03
 -1.4726E+00  0.0000E+00  3.6219E+03  3.6219E+03
 -1.3744E+00  0.0000E+00  3.7680E+03  3.7680E+03
 -1.2763E+00  0.0000E+00  3.8882E+03  3.8882E+03
 -1.1781E+00  0.0000E+00  3.9792E+03  3.9792E+03
 -1.0799E+00  0.0000E+00  4.0403E+03  4.0403E+03
 -9.8175E-01  0.0000E+00  4.0764E+03  4.0764E+03
 -8.8357E-01  0.0000E+00  4.0927E+03  4.0927E+03
 -7.8540E-01  0.0000E+00  4.1000E+03  4.1000E+03
 -6.8722E-01  0.0000E+00  4.1065E+03  4.1065E+03
 -5.8905E-01  0.0000E+00  4.1183E+03  4.1183E+03
 -4.9087E-01  0.0000E+00  4.1365E+03  4.1365E+03
 -3.9270E-01  0.0000E+00  4.1591E+03  4.1591E+03
 -2.9452E-01  0.0000E+00  4.1835E+03  4.1835E+03
 -1.9635E-01  0.0000E+00  4.2075E+03  4.2075E+03
 -9.8175E-02  0.0000E+00  4.2272E+03  4.2272E+03
  0.0000E+00  0.0000E+00  4.2369E+03  4.2369E+03
  9.8175E-02  0.0000E+00  4.2335E+03  4.2335E+03
  1.9635E-01  0.0000E+00  4.2259E+03  4.2259E+03
  2.9452E-01  0.0000E+00  4.2265E+03  4.2265E+03
  3.9270E-01  0.0000E+00  4.2433E+03  4.2433E+03
  4.9087E-01  0.0000E+00  4.2747E+03  4.2747E+03
  5.8905E-01  0.0000E+00  4.3136E+03  4.3136E+03
  6.8722E-01  0.0000E+00  4.3513E+03  4.3513E+03
  7.8540E-01  0.0000E+00  4.3790E+03  4.3790E+03
  8.8357E-01  0.0000E+00  4.3885E+03  4.3885E+03
  9.8175E-01  0.0000E+00  4.3725E+03  4.3725E+03
  1.0799E+00  0.0000E+00  4.3244E+03  4.3244E+03
  1.1781E+00  0.0000E+00  4.2409E+03  4.2409E+03
  1.2763E+00  0.0000E+00  4.1222E+03  4.1222E+03
  1.3744E+00  0.0000E+00  3.9719E+03  3.9719E+03
  1.4726E+00  0.0000E+00  3.7958E+03  3.7958E+03
  1.5708E+00  0.0000E+00  3.6003E+03  3.6003E+03
  1.6690E+00  0.0000E+00  3.3938E+03  3.3938E+03
  1.7671E+00  0.0000E+00  3.1827E+03  3.1827E+03
  1.8653E+00  0.0000E+00  2.9737E+03  2.9737E+03
  1.9635E+00  0.0000E+00  2.7718E+03  2.7718E+03
  2.0617E+00  0.0000E+00  2.5817E+03  2.5817E+03
  2.1598E+00  0.0000E+00  2.4065E+03  2.4065E+03
  2.2580E+00  0.0000E+00  2.2487E+03  2.2487E+03
  2.3562E+00  0.0000E+00  2.1091E+03  2.1091E+03
  2.4544E+00  0.0000E+00  1.9881E+03  1.9881E+03
  2.5525E+00  0.0000E+00  1.8852E+03  1.8852E+03
  2.6507E+00  0.0000E+00  1.8003E+03  1.8003E+03
  2.7489E+00  0.0000E+00  1.7330E+03  1.7330E+03
  2.8471E+00  0.0000E+00  1.6830E+03  1.6830E+03
  2.9452E+00  0.0000E+00  1.6493E+03  1.6493E+03
  3.0434E+00  0.0000E+00  1.6308E+03  1.6308E+03
