# CREATED BY GENE DIAGNOSTICS TOOL on Tue Dec 15 10:23:52 2020
# diag: zprofile, run(s): 0013, time window: 41-41.741(16 steps), species: ions
# original data path: /ptmp/jproll/critgrad/TEMgradn/D3D/scanfiles0003/
# normalization: L_ref=1.65m
#
# variable A = phi
#  z/qR       <|A|>       <|A|²>^½    <|A²|-|A|²
 -3.1416E+00  0.0000E+00  1.3255E+00  1.3255E+00
 -3.0434E+00  0.0000E+00  1.3292E+00  1.3292E+00
 -2.9452E+00  0.0000E+00  1.3479E+00  1.3479E+00
 -2.8471E+00  0.0000E+00  1.3810E+00  1.3810E+00
 -2.7489E+00  0.0000E+00  1.4260E+00  1.4260E+00
 -2.6507E+00  0.0000E+00  1.4792E+00  1.4792E+00
 -2.5525E+00  0.0000E+00  1.5379E+00  1.5379E+00
 -2.4544E+00  0.0000E+00  1.6011E+00  1.6011E+00
 -2.3562E+00  0.0000E+00  1.6732E+00  1.6732E+00
 -2.2580E+00  0.0000E+00  1.7623E+00  1.7623E+00
 -2.1598E+00  0.0000E+00  1.8742E+00  1.8742E+00
 -2.0617E+00  0.0000E+00  2.0111E+00  2.0111E+00
 -1.9635E+00  0.0000E+00  2.1745E+00  2.1745E+00
 -1.8653E+00  0.0000E+00  2.3678E+00  2.3678E+00
 -1.7671E+00  0.0000E+00  2.5970E+00  2.5970E+00
 -1.6690E+00  0.0000E+00  2.8695E+00  2.8695E+00
 -1.5708E+00  0.0000E+00  3.1923E+00  3.1923E+00
 -1.4726E+00  0.0000E+00  3.5714E+00  3.5714E+00
 -1.3744E+00  0.0000E+00  4.0124E+00  4.0124E+00
 -1.2763E+00  0.0000E+00  4.5178E+00  4.5178E+00
 -1.1781E+00  0.0000E+00  5.0904E+00  5.0904E+00
 -1.0799E+00  0.0000E+00  5.7289E+00  5.7289E+00
 -9.8175E-01  0.0000E+00  6.4296E+00  6.4296E+00
 -8.8357E-01  0.0000E+00  7.1779E+00  7.1779E+00
 -7.8540E-01  0.0000E+00  7.9594E+00  7.9594E+00
 -6.8722E-01  0.0000E+00  8.7514E+00  8.7514E+00
 -5.8905E-01  0.0000E+00  9.5272E+00  9.5272E+00
 -4.9087E-01  0.0000E+00  1.0259E+01  1.0259E+01
 -3.9270E-01  0.0000E+00  1.0919E+01  1.0919E+01
 -2.9452E-01  0.0000E+00  1.1478E+01  1.1478E+01
 -1.9635E-01  0.0000E+00  1.1905E+01  1.1905E+01
 -9.8175E-02  0.0000E+00  1.2174E+01  1.2174E+01
  0.0000E+00  0.0000E+00  1.2272E+01  1.2272E+01
  9.8175E-02  0.0000E+00  1.2194E+01  1.2194E+01
  1.9635E-01  0.0000E+00  1.1949E+01  1.1949E+01
  2.9452E-01  0.0000E+00  1.1549E+01  1.1549E+01
  3.9270E-01  0.0000E+00  1.1015E+01  1.1015E+01
  4.9087E-01  0.0000E+00  1.0374E+01  1.0374E+01
  5.8905E-01  0.0000E+00  9.6553E+00  9.6553E+00
  6.8722E-01  0.0000E+00  8.8876E+00  8.8876E+00
  7.8540E-01  0.0000E+00  8.0977E+00  8.0977E+00
  8.8357E-01  0.0000E+00  7.3102E+00  7.3102E+00
  9.8175E-01  0.0000E+00  6.5496E+00  6.5496E+00
  1.0799E+00  0.0000E+00  5.8333E+00  5.8333E+00
  1.1781E+00  0.0000E+00  5.1743E+00  5.1743E+00
  1.2763E+00  0.0000E+00  4.5803E+00  4.5803E+00
  1.3744E+00  0.0000E+00  4.0540E+00  4.0540E+00
  1.4726E+00  0.0000E+00  3.5947E+00  3.5947E+00
  1.5708E+00  0.0000E+00  3.1992E+00  3.1992E+00
  1.6690E+00  0.0000E+00  2.8634E+00  2.8634E+00
  1.7671E+00  0.0000E+00  2.5810E+00  2.5810E+00
  1.8653E+00  0.0000E+00  2.3454E+00  2.3454E+00
  1.9635E+00  0.0000E+00  2.1497E+00  2.1497E+00
  2.0617E+00  0.0000E+00  1.9889E+00  1.9889E+00
  2.1598E+00  0.0000E+00  1.8590E+00  1.8590E+00
  2.2580E+00  0.0000E+00  1.7559E+00  1.7559E+00
  2.3562E+00  0.0000E+00  1.6736E+00  1.6736E+00
  2.4544E+00  0.0000E+00  1.6043E+00  1.6043E+00
  2.5525E+00  0.0000E+00  1.5428E+00  1.5428E+00
  2.6507E+00  0.0000E+00  1.4871E+00  1.4871E+00
  2.7489E+00  0.0000E+00  1.4371E+00  1.4371E+00
  2.8471E+00  0.0000E+00  1.3940E+00  1.3940E+00
  2.9452E+00  0.0000E+00  1.3595E+00  1.3595E+00
  3.0434E+00  0.0000E+00  1.3361E+00  1.3361E+00
