# CREATED BY GENE DIAGNOSTICS TOOL on Tue Apr 26 14:49:45 2022
# diag: zprofile, run(s): 0007, time window: 0-2000(1 steps), species: i
# original data path: /marconi_scratch/userexternal/pmulholl/p39/scanfiles0006/
# normalization: L_ref=1.65m
#
# variable A = phi
#  z/qR       <|A|>       <|A|²>^½    <|A²|-|A|²
 -3.1416E+00  0.0000E+00  2.4171E+01  2.4171E+01
 -3.0925E+00  0.0000E+00  2.2482E+01  2.2482E+01
 -3.0434E+00  0.0000E+00  2.1286E+01  2.1286E+01
 -2.9943E+00  0.0000E+00  2.0114E+01  2.0114E+01
 -2.9452E+00  0.0000E+00  2.0308E+01  2.0308E+01
 -2.8962E+00  0.0000E+00  2.0737E+01  2.0737E+01
 -2.8471E+00  0.0000E+00  2.1225E+01  2.1225E+01
 -2.7980E+00  0.0000E+00  2.1577E+01  2.1577E+01
 -2.7489E+00  0.0000E+00  2.1792E+01  2.1792E+01
 -2.6998E+00  0.0000E+00  2.1485E+01  2.1485E+01
 -2.6507E+00  0.0000E+00  2.1152E+01  2.1152E+01
 -2.6016E+00  0.0000E+00  2.0187E+01  2.0187E+01
 -2.5525E+00  0.0000E+00  1.9610E+01  1.9610E+01
 -2.5035E+00  0.0000E+00  1.8445E+01  1.8445E+01
 -2.4544E+00  0.0000E+00  1.7526E+01  1.7526E+01
 -2.4053E+00  0.0000E+00  1.6586E+01  1.6586E+01
 -2.3562E+00  0.0000E+00  1.5993E+01  1.5993E+01
 -2.3071E+00  0.0000E+00  1.5976E+01  1.5976E+01
 -2.2580E+00  0.0000E+00  1.6638E+01  1.6638E+01
 -2.2089E+00  0.0000E+00  1.7840E+01  1.7840E+01
 -2.1598E+00  0.0000E+00  1.8860E+01  1.8860E+01
 -2.1108E+00  0.0000E+00  2.0672E+01  2.0672E+01
 -2.0617E+00  0.0000E+00  2.2493E+01  2.2493E+01
 -2.0126E+00  0.0000E+00  2.5058E+01  2.5058E+01
 -1.9635E+00  0.0000E+00  2.7894E+01  2.7894E+01
 -1.9144E+00  0.0000E+00  3.0585E+01  3.0585E+01
 -1.8653E+00  0.0000E+00  3.3076E+01  3.3076E+01
 -1.8162E+00  0.0000E+00  3.6725E+01  3.6725E+01
 -1.7671E+00  0.0000E+00  4.0995E+01  4.0995E+01
 -1.7181E+00  0.0000E+00  4.6023E+01  4.6023E+01
 -1.6690E+00  0.0000E+00  4.9990E+01  4.9990E+01
 -1.6199E+00  0.0000E+00  5.4734E+01  5.4734E+01
 -1.5708E+00  0.0000E+00  5.9383E+01  5.9383E+01
 -1.5217E+00  0.0000E+00  6.0280E+01  6.0280E+01
 -1.4726E+00  0.0000E+00  6.3002E+01  6.3002E+01
 -1.4235E+00  0.0000E+00  6.1794E+01  6.1794E+01
 -1.3744E+00  0.0000E+00  6.0566E+01  6.0566E+01
 -1.3254E+00  0.0000E+00  6.0155E+01  6.0155E+01
 -1.2763E+00  0.0000E+00  5.6914E+01  5.6914E+01
 -1.2272E+00  0.0000E+00  5.5814E+01  5.5814E+01
 -1.1781E+00  0.0000E+00  5.2916E+01  5.2916E+01
 -1.1290E+00  0.0000E+00  5.1378E+01  5.1378E+01
 -1.0799E+00  0.0000E+00  5.0290E+01  5.0290E+01
 -1.0308E+00  0.0000E+00  4.8382E+01  4.8382E+01
 -9.8175E-01  0.0000E+00  4.6807E+01  4.6807E+01
 -9.3266E-01  0.0000E+00  4.5585E+01  4.5585E+01
 -8.8357E-01  0.0000E+00  4.4606E+01  4.4606E+01
 -8.3449E-01  0.0000E+00  4.4237E+01  4.4237E+01
 -7.8540E-01  0.0000E+00  4.4213E+01  4.4213E+01
 -7.3631E-01  0.0000E+00  4.5016E+01  4.5016E+01
 -6.8722E-01  0.0000E+00  4.5431E+01  4.5431E+01
 -6.3814E-01  0.0000E+00  4.6891E+01  4.6891E+01
 -5.8905E-01  0.0000E+00  4.8330E+01  4.8330E+01
 -5.3996E-01  0.0000E+00  5.0530E+01  5.0530E+01
 -4.9087E-01  0.0000E+00  5.2420E+01  5.2420E+01
 -4.4179E-01  0.0000E+00  5.5004E+01  5.5004E+01
 -3.9270E-01  0.0000E+00  5.7659E+01  5.7659E+01
 -3.4361E-01  0.0000E+00  6.1203E+01  6.1203E+01
 -2.9452E-01  0.0000E+00  6.3944E+01  6.3944E+01
 -2.4544E-01  0.0000E+00  6.7982E+01  6.7982E+01
 -1.9635E-01  0.0000E+00  7.1020E+01  7.1020E+01
 -1.4726E-01  0.0000E+00  7.2065E+01  7.2065E+01
 -9.8175E-02  0.0000E+00  7.4656E+01  7.4656E+01
 -4.9087E-02  0.0000E+00  7.2260E+01  7.2260E+01
