# CREATED BY GENE DIAGNOSTICS TOOL on Tue Apr 26 14:55:40 2022
# diag: zprofile, run(s): 0049, time window: 0-891.396(1 steps), species: i
# original data path: /marconi_scratch/userexternal/pmulholl/p39/scanfiles0006/
# normalization: L_ref=1.65m
#
# variable A = phi
#  z/qR       <|A|>       <|A|²>^½    <|A²|-|A|²
 -3.1416E+00  0.0000E+00  4.3597E+13  4.3597E+13
 -3.0925E+00  0.0000E+00  4.2541E+13  4.2541E+13
 -3.0434E+00  0.0000E+00  4.6204E+13  4.6204E+13
 -2.9943E+00  0.0000E+00  4.8161E+13  4.8161E+13
 -2.9452E+00  0.0000E+00  5.4677E+13  5.4677E+13
 -2.8962E+00  0.0000E+00  5.8278E+13  5.8278E+13
 -2.8471E+00  0.0000E+00  6.2089E+13  6.2089E+13
 -2.7980E+00  0.0000E+00  6.2487E+13  6.2487E+13
 -2.7489E+00  0.0000E+00  6.2298E+13  6.2298E+13
 -2.6998E+00  0.0000E+00  5.8374E+13  5.8374E+13
 -2.6507E+00  0.0000E+00  5.5695E+13  5.5695E+13
 -2.6016E+00  0.0000E+00  5.0179E+13  5.0179E+13
 -2.5525E+00  0.0000E+00  4.6579E+13  4.6579E+13
 -2.5035E+00  0.0000E+00  4.2202E+13  4.2202E+13
 -2.4544E+00  0.0000E+00  3.9208E+13  3.9208E+13
 -2.4053E+00  0.0000E+00  3.7042E+13  3.7042E+13
 -2.3562E+00  0.0000E+00  3.6065E+13  3.6065E+13
 -2.3071E+00  0.0000E+00  3.7213E+13  3.7213E+13
 -2.2580E+00  0.0000E+00  3.7738E+13  3.7738E+13
 -2.2089E+00  0.0000E+00  3.9649E+13  3.9649E+13
 -2.1598E+00  0.0000E+00  4.0790E+13  4.0790E+13
 -2.1108E+00  0.0000E+00  4.4584E+13  4.4584E+13
 -2.0617E+00  0.0000E+00  4.8128E+13  4.8128E+13
 -2.0126E+00  0.0000E+00  5.4755E+13  5.4755E+13
 -1.9635E+00  0.0000E+00  6.2556E+13  6.2556E+13
 -1.9144E+00  0.0000E+00  7.5772E+13  7.5772E+13
 -1.8653E+00  0.0000E+00  8.8813E+13  8.8813E+13
 -1.8162E+00  0.0000E+00  1.0855E+14  1.0855E+14
 -1.7671E+00  0.0000E+00  1.2984E+14  1.2984E+14
 -1.7181E+00  0.0000E+00  1.5566E+14  1.5566E+14
 -1.6690E+00  0.0000E+00  1.8645E+14  1.8645E+14
 -1.6199E+00  0.0000E+00  2.1895E+14  2.1895E+14
 -1.5708E+00  0.0000E+00  2.5161E+14  2.5161E+14
 -1.5217E+00  0.0000E+00  2.6759E+14  2.6759E+14
 -1.4726E+00  0.0000E+00  2.8414E+14  2.8414E+14
 -1.4235E+00  0.0000E+00  2.8312E+14  2.8312E+14
 -1.3744E+00  0.0000E+00  2.7642E+14  2.7642E+14
 -1.3254E+00  0.0000E+00  2.6853E+14  2.6853E+14
 -1.2763E+00  0.0000E+00  2.4588E+14  2.4588E+14
 -1.2272E+00  0.0000E+00  2.2906E+14  2.2906E+14
 -1.1781E+00  0.0000E+00  1.9629E+14  1.9629E+14
 -1.1290E+00  0.0000E+00  1.6884E+14  1.6884E+14
 -1.0799E+00  0.0000E+00  1.3779E+14  1.3779E+14
 -1.0308E+00  0.0000E+00  1.1677E+14  1.1677E+14
 -9.8175E-01  0.0000E+00  9.8233E+13  9.8233E+13
 -9.3266E-01  0.0000E+00  8.7204E+13  8.7204E+13
 -8.8357E-01  0.0000E+00  7.9124E+13  7.9124E+13
 -8.3449E-01  0.0000E+00  7.8446E+13  7.8446E+13
 -7.8540E-01  0.0000E+00  7.7825E+13  7.7825E+13
 -7.3631E-01  0.0000E+00  8.3697E+13  8.3697E+13
 -6.8722E-01  0.0000E+00  7.9888E+13  7.9888E+13
 -6.3814E-01  0.0000E+00  8.3244E+13  8.3244E+13
 -5.8905E-01  0.0000E+00  8.0692E+13  8.0692E+13
 -5.3996E-01  0.0000E+00  8.8139E+13  8.8139E+13
 -4.9087E-01  0.0000E+00  9.1265E+13  9.1265E+13
 -4.4179E-01  0.0000E+00  1.0978E+14  1.0978E+14
 -3.9270E-01  0.0000E+00  1.2462E+14  1.2462E+14
 -3.4361E-01  0.0000E+00  1.5463E+14  1.5463E+14
 -2.9452E-01  0.0000E+00  1.7675E+14  1.7675E+14
 -2.4544E-01  0.0000E+00  2.1120E+14  2.1120E+14
 -1.9635E-01  0.0000E+00  2.3210E+14  2.3210E+14
 -1.4726E-01  0.0000E+00  2.5028E+14  2.5028E+14
 -9.8175E-02  0.0000E+00  2.5870E+14  2.5870E+14
 -4.9087E-02  0.0000E+00  2.6462E+14  2.6462E+14
  0.0000E+00  0.0000E+00  2.5800E+14  2.5800E+14
  4.9087E-02  0.0000E+00  2.6759E+14  2.6759E+14
  9.8175E-02  0.0000E+00  2.6884E+14  2.6884E+14
  1.4726E-01  0.0000E+00  2.6319E+14  2.6319E+14
  1.9635E-01  0.0000E+00  2.4917E+14  2.4917E+14
  2.4544E-01  0.0000E+00  2.2953E+14  2.2953E+14
  2.9452E-01  0.0000E+00  1.9337E+14  1.9337E+14
  3.4361E-01  0.0000E+00  1.7147E+14  1.7147E+14
  3.9270E-01  0.0000E+00  1.3913E+14  1.3913E+14
  4.4179E-01  0.0000E+00  1.2033E+14  1.2033E+14
  4.9087E-01  0.0000E+00  9.8022E+13  9.8022E+13
  5.3996E-01  0.0000E+00  8.9154E+13  8.9154E+13
  5.8905E-01  0.0000E+00  7.8754E+13  7.8754E+13
  6.3814E-01  0.0000E+00  7.4649E+13  7.4649E+13
  6.8722E-01  0.0000E+00  6.9424E+13  6.9424E+13
  7.3631E-01  0.0000E+00  7.0028E+13  7.0028E+13
  7.8540E-01  0.0000E+00  6.7552E+13  6.7552E+13
  8.3449E-01  0.0000E+00  7.3936E+13  7.3936E+13
  8.8357E-01  0.0000E+00  8.3286E+13  8.3286E+13
  9.3266E-01  0.0000E+00  9.8362E+13  9.8362E+13
  9.8175E-01  0.0000E+00  1.1802E+14  1.1802E+14
  1.0308E+00  0.0000E+00  1.4406E+14  1.4406E+14
  1.0799E+00  0.0000E+00  1.7372E+14  1.7372E+14
  1.1290E+00  0.0000E+00  2.1473E+14  2.1473E+14
  1.1781E+00  0.0000E+00  2.5126E+14  2.5126E+14
  1.2272E+00  0.0000E+00  2.9385E+14  2.9385E+14
  1.2763E+00  0.0000E+00  3.1527E+14  3.1527E+14
  1.3254E+00  0.0000E+00  3.4417E+14  3.4417E+14
  1.3744E+00  0.0000E+00  3.5380E+14  3.5380E+14
  1.4235E+00  0.0000E+00  3.6202E+14  3.6202E+14
  1.4726E+00  0.0000E+00  3.6280E+14  3.6280E+14
  1.5217E+00  0.0000E+00  3.4150E+14  3.4150E+14
  1.5708E+00  0.0000E+00  3.2087E+14  3.2087E+14
  1.6199E+00  0.0000E+00  2.7909E+14  2.7909E+14
  1.6690E+00  0.0000E+00  2.3766E+14  2.3766E+14
  1.7181E+00  0.0000E+00  1.9838E+14  1.9838E+14
  1.7671E+00  0.0000E+00  1.6572E+14  1.6572E+14
  1.8162E+00  0.0000E+00  1.3815E+14  1.3815E+14
  1.8653E+00  0.0000E+00  1.1346E+14  1.1346E+14
  1.9144E+00  0.0000E+00  9.6167E+13  9.6167E+13
  1.9635E+00  0.0000E+00  7.9437E+13  7.9437E+13
  2.0126E+00  0.0000E+00  6.8817E+13  6.8817E+13
  2.0617E+00  0.0000E+00  6.0030E+13  6.0030E+13
  2.1108E+00  0.0000E+00  5.4164E+13  5.4164E+13
  2.1598E+00  0.0000E+00  4.7923E+13  4.7923E+13
  2.2089E+00  0.0000E+00  4.4464E+13  4.4464E+13
  2.2580E+00  0.0000E+00  4.0591E+13  4.0591E+13
  2.3071E+00  0.0000E+00  3.8045E+13  3.8045E+13
  2.3562E+00  0.0000E+00  3.5019E+13  3.5019E+13
  2.4053E+00  0.0000E+00  3.3513E+13  3.3513E+13
  2.4544E+00  0.0000E+00  3.3986E+13  3.3986E+13
  2.5035E+00  0.0000E+00  3.5250E+13  3.5250E+13
  2.5525E+00  0.0000E+00  3.8811E+13  3.8811E+13
  2.6016E+00  0.0000E+00  4.1585E+13  4.1585E+13
  2.6507E+00  0.0000E+00  4.6792E+13  4.6792E+13
  2.6998E+00  0.0000E+00  4.8999E+13  4.8999E+13
  2.7489E+00  0.0000E+00  5.2901E+13  5.2901E+13
  2.7980E+00  0.0000E+00  5.3083E+13  5.3083E+13
  2.8471E+00  0.0000E+00  5.3173E+13  5.3173E+13
  2.8962E+00  0.0000E+00  4.9956E+13  4.9956E+13
  2.9452E+00  0.0000E+00  4.7422E+13  4.7422E+13
  2.9943E+00  0.0000E+00  4.2328E+13  4.2328E+13
  3.0434E+00  0.0000E+00  4.1981E+13  4.1981E+13
  3.0925E+00  0.0000E+00  4.0752E+13  4.0752E+13
