# CREATED BY GENE DIAGNOSTICS TOOL on Tue Apr 26 14:09:03 2022
# diag: zprofile, run(s): 0003, time window: 0-1021.84(1 steps), species: i
# original data path: /marconi_scratch/userexternal/pmulholl/p40/scanfiles0006/
# normalization: L_ref=1.65m
#
# variable A = phi
#  z/qR       <|A|>       <|A|²>^½    <|A²|-|A|²
 -3.1416E+00  0.0000E+00  6.1338E+05  6.1338E+05
 -3.0925E+00  0.0000E+00  6.2797E+05  6.2797E+05
 -3.0434E+00  0.0000E+00  7.0738E+05  7.0738E+05
 -2.9943E+00  0.0000E+00  7.5609E+05  7.5609E+05
 -2.9452E+00  0.0000E+00  7.9796E+05  7.9796E+05
 -2.8962E+00  0.0000E+00  8.4356E+05  8.4356E+05
 -2.8471E+00  0.0000E+00  8.6244E+05  8.6244E+05
 -2.7980E+00  0.0000E+00  8.4183E+05  8.4183E+05
 -2.7489E+00  0.0000E+00  8.1596E+05  8.1596E+05
 -2.6998E+00  0.0000E+00  7.3865E+05  7.3865E+05
 -2.6507E+00  0.0000E+00  6.8847E+05  6.8847E+05
 -2.6016E+00  0.0000E+00  6.5123E+05  6.5123E+05
 -2.5525E+00  0.0000E+00  5.7359E+05  5.7359E+05
 -2.5035E+00  0.0000E+00  4.8324E+05  4.8324E+05
 -2.4544E+00  0.0000E+00  4.3517E+05  4.3517E+05
 -2.4053E+00  0.0000E+00  4.0267E+05  4.0267E+05
 -2.3562E+00  0.0000E+00  3.6957E+05  3.6957E+05
 -2.3071E+00  0.0000E+00  3.5704E+05  3.5704E+05
 -2.2580E+00  0.0000E+00  3.8784E+05  3.8784E+05
 -2.2089E+00  0.0000E+00  4.5259E+05  4.5259E+05
 -2.1598E+00  0.0000E+00  5.3445E+05  5.3445E+05
 -2.1108E+00  0.0000E+00  5.7031E+05  5.7031E+05
 -2.0617E+00  0.0000E+00  5.7310E+05  5.7310E+05
 -2.0126E+00  0.0000E+00  5.6479E+05  5.6479E+05
 -1.9635E+00  0.0000E+00  5.6162E+05  5.6162E+05
 -1.9144E+00  0.0000E+00  5.5725E+05  5.5725E+05
 -1.8653E+00  0.0000E+00  5.6982E+05  5.6982E+05
 -1.8162E+00  0.0000E+00  5.9205E+05  5.9205E+05
 -1.7671E+00  0.0000E+00  6.6284E+05  6.6284E+05
 -1.7181E+00  0.0000E+00  7.1194E+05  7.1194E+05
 -1.6690E+00  0.0000E+00  7.4172E+05  7.4172E+05
 -1.6199E+00  0.0000E+00  7.9344E+05  7.9344E+05
 -1.5708E+00  0.0000E+00  7.9212E+05  7.9212E+05
 -1.5217E+00  0.0000E+00  7.9840E+05  7.9840E+05
 -1.4726E+00  0.0000E+00  8.2046E+05  8.2046E+05
 -1.4235E+00  0.0000E+00  7.9926E+05  7.9926E+05
 -1.3744E+00  0.0000E+00  7.6322E+05  7.6322E+05
 -1.3254E+00  0.0000E+00  7.0274E+05  7.0274E+05
 -1.2763E+00  0.0000E+00  6.7044E+05  6.7044E+05
 -1.2272E+00  0.0000E+00  6.7452E+05  6.7452E+05
 -1.1781E+00  0.0000E+00  6.7073E+05  6.7073E+05
 -1.1290E+00  0.0000E+00  6.6098E+05  6.6098E+05
 -1.0799E+00  0.0000E+00  6.4253E+05  6.4253E+05
 -1.0308E+00  0.0000E+00  6.3345E+05  6.3345E+05
 -9.8175E-01  0.0000E+00  6.3544E+05  6.3544E+05
 -9.3266E-01  0.0000E+00  6.2142E+05  6.2142E+05
 -8.8357E-01  0.0000E+00  6.2694E+05  6.2694E+05
 -8.3449E-01  0.0000E+00  6.5107E+05  6.5107E+05
 -7.8540E-01  0.0000E+00  6.8474E+05  6.8474E+05
 -7.3631E-01  0.0000E+00  7.0737E+05  7.0737E+05
 -6.8722E-01  0.0000E+00  7.2817E+05  7.2817E+05
 -6.3814E-01  0.0000E+00  7.6404E+05  7.6404E+05
 -5.8905E-01  0.0000E+00  7.8000E+05  7.8000E+05
 -5.3996E-01  0.0000E+00  8.1363E+05  8.1363E+05
 -4.9087E-01  0.0000E+00  8.5494E+05  8.5494E+05
 -4.4179E-01  0.0000E+00  8.8754E+05  8.8754E+05
 -3.9270E-01  0.0000E+00  9.1640E+05  9.1640E+05
 -3.4361E-01  0.0000E+00  9.6187E+05  9.6187E+05
 -2.9452E-01  0.0000E+00  9.7754E+05  9.7754E+05
 -2.4544E-01  0.0000E+00  9.8859E+05  9.8859E+05
 -1.9635E-01  0.0000E+00  9.4860E+05  9.4860E+05
 -1.4726E-01  0.0000E+00  9.3862E+05  9.3862E+05
 -9.8175E-02  0.0000E+00  9.8015E+05  9.8015E+05
 -4.9087E-02  0.0000E+00  9.9631E+05  9.9631E+05
  0.0000E+00  0.0000E+00  1.0150E+06  1.0150E+06
  4.9087E-02  0.0000E+00  9.9593E+05  9.9593E+05
  9.8175E-02  0.0000E+00  9.7935E+05  9.7935E+05
  1.4726E-01  0.0000E+00  9.3752E+05  9.3752E+05
  1.9635E-01  0.0000E+00  9.4697E+05  9.4697E+05
  2.4544E-01  0.0000E+00  9.8624E+05  9.8624E+05
  2.9452E-01  0.0000E+00  9.7462E+05  9.7462E+05
  3.4361E-01  0.0000E+00  9.5848E+05  9.5848E+05
  3.9270E-01  0.0000E+00  9.1269E+05  9.1269E+05
  4.4179E-01  0.0000E+00  8.8370E+05  8.8370E+05
  4.9087E-01  0.0000E+00  8.5108E+05  8.5108E+05
  5.3996E-01  0.0000E+00  8.1012E+05  8.1012E+05
  5.8905E-01  0.0000E+00  7.7684E+05  7.7684E+05
  6.3814E-01  0.0000E+00  7.6154E+05  7.6154E+05
  6.8722E-01  0.0000E+00  7.2644E+05  7.2644E+05
  7.3631E-01  0.0000E+00  7.0673E+05  7.0673E+05
  7.8540E-01  0.0000E+00  6.8495E+05  6.8495E+05
  8.3449E-01  0.0000E+00  6.5229E+05  6.5229E+05
  8.8357E-01  0.0000E+00  6.2963E+05  6.2963E+05
  9.3266E-01  0.0000E+00  6.2464E+05  6.2464E+05
  9.8175E-01  0.0000E+00  6.4093E+05  6.4093E+05
  1.0308E+00  0.0000E+00  6.3684E+05  6.3684E+05
  1.0799E+00  0.0000E+00  6.4481E+05  6.4481E+05
  1.1290E+00  0.0000E+00  6.6113E+05  6.6113E+05
  1.1781E+00  0.0000E+00  6.6944E+05  6.6944E+05
  1.2272E+00  0.0000E+00  6.7232E+05  6.7232E+05
  1.2763E+00  0.0000E+00  6.6731E+05  6.6731E+05
  1.3254E+00  0.0000E+00  6.9865E+05  6.9865E+05
  1.3744E+00  0.0000E+00  7.5795E+05  7.5795E+05
  1.4235E+00  0.0000E+00  7.9415E+05  7.9415E+05
  1.4726E+00  0.0000E+00  8.1538E+05  8.1538E+05
  1.5217E+00  0.0000E+00  7.9345E+05  7.9345E+05
  1.5708E+00  0.0000E+00  7.8694E+05  7.8694E+05
  1.6199E+00  0.0000E+00  7.8848E+05  7.8848E+05
  1.6690E+00  0.0000E+00  7.3577E+05  7.3577E+05
  1.7181E+00  0.0000E+00  7.0600E+05  7.0600E+05
  1.7671E+00  0.0000E+00  6.5619E+05  6.5619E+05
  1.8162E+00  0.0000E+00  5.8727E+05  5.8727E+05
  1.8653E+00  0.0000E+00  5.6571E+05  5.6571E+05
  1.9144E+00  0.0000E+00  5.5611E+05  5.5611E+05
  1.9635E+00  0.0000E+00  5.6088E+05  5.6088E+05
  2.0126E+00  0.0000E+00  5.6554E+05  5.6554E+05
  2.0617E+00  0.0000E+00  5.7287E+05  5.7287E+05
  2.1108E+00  0.0000E+00  5.6874E+05  5.6874E+05
  2.1598E+00  0.0000E+00  5.3485E+05  5.3485E+05
  2.2089E+00  0.0000E+00  4.5267E+05  4.5267E+05
  2.2580E+00  0.0000E+00  3.9099E+05  3.9099E+05
  2.3071E+00  0.0000E+00  3.6408E+05  3.6408E+05
  2.3562E+00  0.0000E+00  3.7770E+05  3.7770E+05
  2.4053E+00  0.0000E+00  4.1234E+05  4.1234E+05
  2.4544E+00  0.0000E+00  4.4668E+05  4.4668E+05
  2.5035E+00  0.0000E+00  4.9503E+05  4.9503E+05
  2.5525E+00  0.0000E+00  5.8315E+05  5.8315E+05
  2.6016E+00  0.0000E+00  6.5808E+05  6.5808E+05
  2.6507E+00  0.0000E+00  6.9413E+05  6.9413E+05
  2.6998E+00  0.0000E+00  7.4228E+05  7.4228E+05
  2.7489E+00  0.0000E+00  8.1951E+05  8.1951E+05
  2.7980E+00  0.0000E+00  8.4195E+05  8.4195E+05
  2.8471E+00  0.0000E+00  8.6331E+05  8.6331E+05
  2.8962E+00  0.0000E+00  8.4002E+05  8.4002E+05
  2.9452E+00  0.0000E+00  7.9685E+05  7.9685E+05
  2.9943E+00  0.0000E+00  7.4947E+05  7.4947E+05
  3.0434E+00  0.0000E+00  7.0556E+05  7.0556E+05
