# CREATED BY GENE DIAGNOSTICS TOOL on Tue Apr 26 14:10:17 2022
# diag: zprofile, run(s): 0015, time window: 0-2000(1 steps), species: i
# original data path: /marconi_scratch/userexternal/pmulholl/p40/scanfiles0006/
# normalization: L_ref=1.65m
#
# variable A = phi
#  z/qR       <|A|>       <|A|²>^½    <|A²|-|A|²
 -3.1416E+00  0.0000E+00  4.7404E+08  4.7404E+08
 -3.0925E+00  0.0000E+00  5.3822E+08  5.3822E+08
 -3.0434E+00  0.0000E+00  5.9509E+08  5.9509E+08
 -2.9943E+00  0.0000E+00  6.7137E+08  6.7137E+08
 -2.9452E+00  0.0000E+00  7.3379E+08  7.3379E+08
 -2.8962E+00  0.0000E+00  7.8363E+08  7.8363E+08
 -2.8471E+00  0.0000E+00  8.1055E+08  8.1055E+08
 -2.7980E+00  0.0000E+00  8.2339E+08  8.2339E+08
 -2.7489E+00  0.0000E+00  8.1047E+08  8.1047E+08
 -2.6998E+00  0.0000E+00  7.8973E+08  7.8973E+08
 -2.6507E+00  0.0000E+00  7.4612E+08  7.4612E+08
 -2.6016E+00  0.0000E+00  6.8365E+08  6.8365E+08
 -2.5525E+00  0.0000E+00  6.2196E+08  6.2196E+08
 -2.5035E+00  0.0000E+00  5.6526E+08  5.6526E+08
 -2.4544E+00  0.0000E+00  5.1064E+08  5.1064E+08
 -2.4053E+00  0.0000E+00  4.6494E+08  4.6494E+08
 -2.3562E+00  0.0000E+00  4.1990E+08  4.1990E+08
 -2.3071E+00  0.0000E+00  3.8543E+08  3.8543E+08
 -2.2580E+00  0.0000E+00  3.6584E+08  3.6584E+08
 -2.2089E+00  0.0000E+00  3.5755E+08  3.5755E+08
 -2.1598E+00  0.0000E+00  3.7348E+08  3.7348E+08
 -2.1108E+00  0.0000E+00  4.0728E+08  4.0728E+08
 -2.0617E+00  0.0000E+00  4.7659E+08  4.7659E+08
 -2.0126E+00  0.0000E+00  5.4887E+08  5.4887E+08
 -1.9635E+00  0.0000E+00  6.3879E+08  6.3879E+08
 -1.9144E+00  0.0000E+00  7.0855E+08  7.0855E+08
 -1.8653E+00  0.0000E+00  7.8205E+08  7.8205E+08
 -1.8162E+00  0.0000E+00  8.7407E+08  8.7407E+08
 -1.7671E+00  0.0000E+00  9.4327E+08  9.4327E+08
 -1.7181E+00  0.0000E+00  1.0294E+09  1.0294E+09
 -1.6690E+00  0.0000E+00  1.1556E+09  1.1556E+09
 -1.6199E+00  0.0000E+00  1.2223E+09  1.2223E+09
 -1.5708E+00  0.0000E+00  1.3449E+09  1.3449E+09
 -1.5217E+00  0.0000E+00  1.4168E+09  1.4168E+09
 -1.4726E+00  0.0000E+00  1.4337E+09  1.4337E+09
 -1.4235E+00  0.0000E+00  1.4532E+09  1.4532E+09
 -1.3744E+00  0.0000E+00  1.4672E+09  1.4672E+09
 -1.3254E+00  0.0000E+00  1.4876E+09  1.4876E+09
 -1.2763E+00  0.0000E+00  1.4580E+09  1.4580E+09
 -1.2272E+00  0.0000E+00  1.3760E+09  1.3760E+09
 -1.1781E+00  0.0000E+00  1.2966E+09  1.2966E+09
 -1.1290E+00  0.0000E+00  1.2377E+09  1.2377E+09
 -1.0799E+00  0.0000E+00  1.1408E+09  1.1408E+09
 -1.0308E+00  0.0000E+00  1.0533E+09  1.0533E+09
 -9.8175E-01  0.0000E+00  9.2019E+08  9.2019E+08
 -9.3266E-01  0.0000E+00  8.2512E+08  8.2512E+08
 -8.8357E-01  0.0000E+00  7.2050E+08  7.2050E+08
 -8.3449E-01  0.0000E+00  6.4390E+08  6.4390E+08
 -7.8540E-01  0.0000E+00  5.6989E+08  5.6989E+08
 -7.3631E-01  0.0000E+00  5.1800E+08  5.1800E+08
 -6.8722E-01  0.0000E+00  4.6295E+08  4.6295E+08
 -6.3814E-01  0.0000E+00  4.1238E+08  4.1238E+08
 -5.8905E-01  0.0000E+00  3.8189E+08  3.8189E+08
 -5.3996E-01  0.0000E+00  3.5117E+08  3.5117E+08
 -4.9087E-01  0.0000E+00  3.1675E+08  3.1675E+08
 -4.4179E-01  0.0000E+00  3.3589E+08  3.3589E+08
 -3.9270E-01  0.0000E+00  3.6961E+08  3.6961E+08
 -3.4361E-01  0.0000E+00  4.0955E+08  4.0955E+08
 -2.9452E-01  0.0000E+00  4.6924E+08  4.6924E+08
 -2.4544E-01  0.0000E+00  5.4062E+08  5.4062E+08
 -1.9635E-01  0.0000E+00  6.5349E+08  6.5349E+08
 -1.4726E-01  0.0000E+00  7.2794E+08  7.2794E+08
 -9.8175E-02  0.0000E+00  7.6394E+08  7.6394E+08
 -4.9087E-02  0.0000E+00  7.9021E+08  7.9021E+08
  0.0000E+00  0.0000E+00  8.1009E+08  8.1009E+08
  4.9087E-02  0.0000E+00  8.0937E+08  8.0937E+08
  9.8175E-02  0.0000E+00  8.0758E+08  8.0758E+08
  1.4726E-01  0.0000E+00  8.0191E+08  8.0191E+08
  1.9635E-01  0.0000E+00  7.5504E+08  7.5504E+08
  2.4544E-01  0.0000E+00  6.4141E+08  6.4141E+08
  2.9452E-01  0.0000E+00  5.7141E+08  5.7141E+08
  3.4361E-01  0.0000E+00  5.1124E+08  5.1124E+08
  3.9270E-01  0.0000E+00  4.7757E+08  4.7757E+08
  4.4179E-01  0.0000E+00  4.4999E+08  4.4999E+08
  4.9087E-01  0.0000E+00  4.3417E+08  4.3417E+08
  5.3996E-01  0.0000E+00  4.6014E+08  4.6014E+08
  5.8905E-01  0.0000E+00  4.8227E+08  4.8227E+08
  6.3814E-01  0.0000E+00  5.0297E+08  5.0297E+08
  6.8722E-01  0.0000E+00  5.3687E+08  5.3687E+08
  7.3631E-01  0.0000E+00  5.7004E+08  5.7004E+08
  7.8540E-01  0.0000E+00  5.9657E+08  5.9657E+08
  8.3449E-01  0.0000E+00  6.3765E+08  6.3765E+08
  8.8357E-01  0.0000E+00  6.7903E+08  6.7903E+08
  9.3266E-01  0.0000E+00  7.5116E+08  7.5116E+08
  9.8175E-01  0.0000E+00  8.1826E+08  8.1826E+08
  1.0308E+00  0.0000E+00  9.3155E+08  9.3155E+08
  1.0799E+00  0.0000E+00  1.0080E+09  1.0080E+09
  1.1290E+00  0.0000E+00  1.0983E+09  1.0983E+09
  1.1781E+00  0.0000E+00  1.1575E+09  1.1575E+09
  1.2272E+00  0.0000E+00  1.2405E+09  1.2405E+09
  1.2763E+00  0.0000E+00  1.3270E+09  1.3270E+09
  1.3254E+00  0.0000E+00  1.3663E+09  1.3663E+09
  1.3744E+00  0.0000E+00  1.3566E+09  1.3566E+09
  1.4235E+00  0.0000E+00  1.3525E+09  1.3525E+09
  1.4726E+00  0.0000E+00  1.3411E+09  1.3411E+09
  1.5217E+00  0.0000E+00  1.3318E+09  1.3318E+09
  1.5708E+00  0.0000E+00  1.2670E+09  1.2670E+09
  1.6199E+00  0.0000E+00  1.1504E+09  1.1504E+09
  1.6690E+00  0.0000E+00  1.0876E+09  1.0876E+09
  1.7181E+00  0.0000E+00  9.6387E+08  9.6387E+08
  1.7671E+00  0.0000E+00  8.7936E+08  8.7936E+08
  1.8162E+00  0.0000E+00  8.1034E+08  8.1034E+08
  1.8653E+00  0.0000E+00  7.2158E+08  7.2158E+08
  1.9144E+00  0.0000E+00  6.5105E+08  6.5105E+08
  1.9635E+00  0.0000E+00  5.8537E+08  5.8537E+08
  2.0126E+00  0.0000E+00  5.0083E+08  5.0083E+08
  2.0617E+00  0.0000E+00  4.3126E+08  4.3126E+08
  2.1108E+00  0.0000E+00  3.5507E+08  3.5507E+08
  2.1598E+00  0.0000E+00  3.0661E+08  3.0661E+08
  2.2089E+00  0.0000E+00  2.5399E+08  2.5399E+08
  2.2580E+00  0.0000E+00  2.3229E+08  2.3229E+08
  2.3071E+00  0.0000E+00  2.2038E+08  2.2038E+08
  2.3562E+00  0.0000E+00  2.2783E+08  2.2783E+08
  2.4053E+00  0.0000E+00  2.5287E+08  2.5287E+08
  2.4544E+00  0.0000E+00  3.1398E+08  3.1398E+08
  2.5035E+00  0.0000E+00  4.2915E+08  4.2915E+08
  2.5525E+00  0.0000E+00  5.4036E+08  5.4036E+08
  2.6016E+00  0.0000E+00  6.5140E+08  6.5140E+08
  2.6507E+00  0.0000E+00  7.2129E+08  7.2129E+08
  2.6998E+00  0.0000E+00  7.9084E+08  7.9084E+08
  2.7489E+00  0.0000E+00  8.1496E+08  8.1496E+08
  2.7980E+00  0.0000E+00  8.1634E+08  8.1634E+08
  2.8471E+00  0.0000E+00  7.7530E+08  7.7530E+08
  2.8962E+00  0.0000E+00  7.1573E+08  7.1573E+08
  2.9452E+00  0.0000E+00  6.4833E+08  6.4833E+08
  2.9943E+00  0.0000E+00  5.5090E+08  5.5090E+08
  3.0434E+00  0.0000E+00  4.8296E+08  4.8296E+08
  3.0925E+00  0.0000E+00  4.7906E+08  4.7906E+08
