# CREATED BY GENE DIAGNOSTICS TOOL on Tue Apr 26 15:37:37 2022
# diag: zprofile, run(s): 0035, time window: 0-994.545(1 steps), species: i
# original data path: /marconi_scratch/userexternal/pmulholl/p41/scanfiles0006/
# normalization: L_ref=1.65m
#
# variable A = phi
#  z/qR       <|A|>       <|A|²>^½    <|A²|-|A|²
 -3.1416E+00  0.0000E+00  7.9039E-05  7.9039E-05
 -3.0925E+00  0.0000E+00  8.3079E-05  8.3079E-05
 -3.0434E+00  0.0000E+00  8.8504E-05  8.8504E-05
 -2.9943E+00  0.0000E+00  8.9655E-05  8.9655E-05
 -2.9452E+00  0.0000E+00  9.0827E-05  9.0827E-05
 -2.8962E+00  0.0000E+00  9.2207E-05  9.2207E-05
 -2.8471E+00  0.0000E+00  9.2907E-05  9.2907E-05
 -2.7980E+00  0.0000E+00  9.2906E-05  9.2906E-05
 -2.7489E+00  0.0000E+00  9.2056E-05  9.2056E-05
 -2.6998E+00  0.0000E+00  8.7980E-05  8.7980E-05
 -2.6507E+00  0.0000E+00  8.6612E-05  8.6612E-05
 -2.6016E+00  0.0000E+00  8.4634E-05  8.4634E-05
 -2.5525E+00  0.0000E+00  8.1885E-05  8.1885E-05
 -2.5035E+00  0.0000E+00  7.8858E-05  7.8858E-05
 -2.4544E+00  0.0000E+00  7.4043E-05  7.4043E-05
 -2.4053E+00  0.0000E+00  6.6068E-05  6.6068E-05
 -2.3562E+00  0.0000E+00  6.0560E-05  6.0560E-05
 -2.3071E+00  0.0000E+00  5.8596E-05  5.8596E-05
 -2.2580E+00  0.0000E+00  5.9490E-05  5.9490E-05
 -2.2089E+00  0.0000E+00  5.8347E-05  5.8347E-05
 -2.1598E+00  0.0000E+00  5.7989E-05  5.7989E-05
 -2.1108E+00  0.0000E+00  5.7877E-05  5.7877E-05
 -2.0617E+00  0.0000E+00  5.9512E-05  5.9512E-05
 -2.0126E+00  0.0000E+00  6.1042E-05  6.1042E-05
 -1.9635E+00  0.0000E+00  6.3912E-05  6.3912E-05
 -1.9144E+00  0.0000E+00  6.7422E-05  6.7422E-05
 -1.8653E+00  0.0000E+00  7.1690E-05  7.1690E-05
 -1.8162E+00  0.0000E+00  7.4701E-05  7.4701E-05
 -1.7671E+00  0.0000E+00  8.0888E-05  8.0888E-05
 -1.7181E+00  0.0000E+00  8.2811E-05  8.2811E-05
 -1.6690E+00  0.0000E+00  8.5305E-05  8.5305E-05
 -1.6199E+00  0.0000E+00  8.7384E-05  8.7384E-05
 -1.5708E+00  0.0000E+00  8.5874E-05  8.5874E-05
 -1.5217E+00  0.0000E+00  8.4747E-05  8.4747E-05
 -1.4726E+00  0.0000E+00  8.5200E-05  8.5200E-05
 -1.4235E+00  0.0000E+00  8.4571E-05  8.4571E-05
 -1.3744E+00  0.0000E+00  8.7286E-05  8.7286E-05
 -1.3254E+00  0.0000E+00  8.7960E-05  8.7960E-05
 -1.2763E+00  0.0000E+00  8.7795E-05  8.7795E-05
 -1.2272E+00  0.0000E+00  8.6720E-05  8.6720E-05
 -1.1781E+00  0.0000E+00  8.6003E-05  8.6003E-05
 -1.1290E+00  0.0000E+00  8.7703E-05  8.7703E-05
 -1.0799E+00  0.0000E+00  9.1036E-05  9.1036E-05
 -1.0308E+00  0.0000E+00  9.3746E-05  9.3746E-05
 -9.8175E-01  0.0000E+00  9.5488E-05  9.5488E-05
 -9.3266E-01  0.0000E+00  9.4053E-05  9.4053E-05
 -8.8357E-01  0.0000E+00  8.9637E-05  8.9637E-05
 -8.3449E-01  0.0000E+00  8.3744E-05  8.3744E-05
 -7.8540E-01  0.0000E+00  7.9210E-05  7.9210E-05
 -7.3631E-01  0.0000E+00  7.6893E-05  7.6893E-05
 -6.8722E-01  0.0000E+00  7.7110E-05  7.7110E-05
 -6.3814E-01  0.0000E+00  7.9615E-05  7.9615E-05
 -5.8905E-01  0.0000E+00  8.1663E-05  8.1663E-05
 -5.3996E-01  0.0000E+00  8.3336E-05  8.3336E-05
