# CREATED BY GENE DIAGNOSTICS TOOL on Tue Apr 26 15:38:18 2022
# diag: zprofile, run(s): 0043, time window: 0-2000(1 steps), species: i
# original data path: /marconi_scratch/userexternal/pmulholl/p41/scanfiles0006/
# normalization: L_ref=1.65m
#
# variable A = phi
#  z/qR       <|A|>       <|A|²>^½    <|A²|-|A|²
 -3.1416E+00  0.0000E+00  7.1778E+01  7.1778E+01
 -3.0925E+00  0.0000E+00  7.4356E+01  7.4356E+01
 -3.0434E+00  0.0000E+00  8.6703E+01  8.6703E+01
 -2.9943E+00  0.0000E+00  9.1922E+01  9.1922E+01
 -2.9452E+00  0.0000E+00  9.6593E+01  9.6593E+01
 -2.8962E+00  0.0000E+00  1.0430E+02  1.0430E+02
 -2.8471E+00  0.0000E+00  1.0477E+02  1.0477E+02
 -2.7980E+00  0.0000E+00  1.0528E+02  1.0528E+02
 -2.7489E+00  0.0000E+00  9.7472E+01  9.7472E+01
 -2.6998E+00  0.0000E+00  8.2056E+01  8.2056E+01
 -2.6507E+00  0.0000E+00  7.3158E+01  7.3158E+01
 -2.6016E+00  0.0000E+00  6.5433E+01  6.5433E+01
 -2.5525E+00  0.0000E+00  5.6183E+01  5.6183E+01
 -2.5035E+00  0.0000E+00  4.8399E+01  4.8399E+01
 -2.4544E+00  0.0000E+00  4.0866E+01  4.0866E+01
 -2.4053E+00  0.0000E+00  3.3524E+01  3.3524E+01
 -2.3562E+00  0.0000E+00  3.1126E+01  3.1126E+01
 -2.3071E+00  0.0000E+00  2.8668E+01  2.8668E+01
 -2.2580E+00  0.0000E+00  2.6084E+01  2.6084E+01
 -2.2089E+00  0.0000E+00  2.4554E+01  2.4554E+01
 -2.1598E+00  0.0000E+00  2.5315E+01  2.5315E+01
 -2.1108E+00  0.0000E+00  3.1553E+01  3.1553E+01
 -2.0617E+00  0.0000E+00  3.9287E+01  3.9287E+01
 -2.0126E+00  0.0000E+00  4.9469E+01  4.9469E+01
 -1.9635E+00  0.0000E+00  5.7254E+01  5.7254E+01
 -1.9144E+00  0.0000E+00  6.4762E+01  6.4762E+01
 -1.8653E+00  0.0000E+00  7.2173E+01  7.2173E+01
 -1.8162E+00  0.0000E+00  8.0742E+01  8.0742E+01
 -1.7671E+00  0.0000E+00  9.8810E+01  9.8810E+01
 -1.7181E+00  0.0000E+00  1.0920E+02  1.0920E+02
 -1.6690E+00  0.0000E+00  1.2101E+02  1.2101E+02
 -1.6199E+00  0.0000E+00  1.3386E+02  1.3386E+02
 -1.5708E+00  0.0000E+00  1.2479E+02  1.2479E+02
 -1.5217E+00  0.0000E+00  1.1921E+02  1.1921E+02
 -1.4726E+00  0.0000E+00  1.1807E+02  1.1807E+02
 -1.4235E+00  0.0000E+00  1.1065E+02  1.1065E+02
 -1.3744E+00  0.0000E+00  1.1736E+02  1.1736E+02
 -1.3254E+00  0.0000E+00  1.1354E+02  1.1354E+02
 -1.2763E+00  0.0000E+00  9.8107E+01  9.8107E+01
 -1.2272E+00  0.0000E+00  8.0926E+01  8.0926E+01
 -1.1781E+00  0.0000E+00  6.3103E+01  6.3103E+01
 -1.1290E+00  0.0000E+00  5.6545E+01  5.6545E+01
 -1.0799E+00  0.0000E+00  5.2492E+01  5.2492E+01
 -1.0308E+00  0.0000E+00  4.9356E+01  4.9356E+01
 -9.8175E-01  0.0000E+00  4.8342E+01  4.8342E+01
 -9.3266E-01  0.0000E+00  4.7562E+01  4.7562E+01
 -8.8357E-01  0.0000E+00  4.8873E+01  4.8873E+01
 -8.3449E-01  0.0000E+00  5.0086E+01  5.0086E+01
 -7.8540E-01  0.0000E+00  5.2150E+01  5.2150E+01
 -7.3631E-01  0.0000E+00  5.2667E+01  5.2667E+01
 -6.8722E-01  0.0000E+00  5.4738E+01  5.4738E+01
 -6.3814E-01  0.0000E+00  5.6805E+01  5.6805E+01
 -5.8905E-01  0.0000E+00  6.0714E+01  6.0714E+01
 -5.3996E-01  0.0000E+00  6.3418E+01  6.3418E+01
 -4.9087E-01  0.0000E+00  6.7447E+01  6.7447E+01
 -4.4179E-01  0.0000E+00  7.2382E+01  7.2382E+01
 -3.9270E-01  0.0000E+00  7.6296E+01  7.6296E+01
 -3.4361E-01  0.0000E+00  8.2422E+01  8.2422E+01
 -2.9452E-01  0.0000E+00  8.6833E+01  8.6833E+01
 -2.4544E-01  0.0000E+00  9.7381E+01  9.7381E+01
 -1.9635E-01  0.0000E+00  1.0375E+02  1.0375E+02
 -1.4726E-01  0.0000E+00  1.0431E+02  1.0431E+02
 -9.8175E-02  0.0000E+00  1.0022E+02  1.0022E+02
 -4.9087E-02  0.0000E+00  8.8741E+01  8.8741E+01
  0.0000E+00  0.0000E+00  8.8393E+01  8.8393E+01
  4.9087E-02  0.0000E+00  8.6284E+01  8.6284E+01
  9.8175E-02  0.0000E+00  9.6090E+01  9.6090E+01
  1.4726E-01  0.0000E+00  9.8807E+01  9.8807E+01
  1.9635E-01  0.0000E+00  9.7042E+01  9.7042E+01
  2.4544E-01  0.0000E+00  9.0004E+01  9.0004E+01
  2.9452E-01  0.0000E+00  7.8247E+01  7.8247E+01
  3.4361E-01  0.0000E+00  7.4021E+01  7.4021E+01
  3.9270E-01  0.0000E+00  6.8061E+01  6.8061E+01
  4.4179E-01  0.0000E+00  6.5085E+01  6.5085E+01
  4.9087E-01  0.0000E+00  6.0828E+01  6.0828E+01
  5.3996E-01  0.0000E+00  5.7777E+01  5.7777E+01
  5.8905E-01  0.0000E+00  5.5905E+01  5.5905E+01
  6.3814E-01  0.0000E+00  5.4384E+01  5.4384E+01
  6.8722E-01  0.0000E+00  5.3359E+01  5.3359E+01
  7.3631E-01  0.0000E+00  5.2825E+01  5.2825E+01
  7.8540E-01  0.0000E+00  5.3080E+01  5.3080E+01
  8.3449E-01  0.0000E+00  5.2318E+01  5.2318E+01
  8.8357E-01  0.0000E+00  5.2669E+01  5.2669E+01
  9.3266E-01  0.0000E+00  5.2119E+01  5.2119E+01
  9.8175E-01  0.0000E+00  5.4059E+01  5.4059E+01
  1.0308E+00  0.0000E+00  5.6443E+01  5.6443E+01
  1.0799E+00  0.0000E+00  6.2565E+01  6.2565E+01
  1.1290E+00  0.0000E+00  6.5999E+01  6.5999E+01
  1.1781E+00  0.0000E+00  7.1285E+01  7.1285E+01
  1.2272E+00  0.0000E+00  8.2686E+01  8.2686E+01
  1.2763E+00  0.0000E+00  9.5263E+01  9.5263E+01
  1.3254E+00  0.0000E+00  1.0674E+02  1.0674E+02
  1.3744E+00  0.0000E+00  1.0837E+02  1.0837E+02
  1.4235E+00  0.0000E+00  1.0106E+02  1.0106E+02
  1.4726E+00  0.0000E+00  1.0580E+02  1.0580E+02
  1.5217E+00  0.0000E+00  1.0461E+02  1.0461E+02
  1.5708E+00  0.0000E+00  1.0808E+02  1.0808E+02
  1.6199E+00  0.0000E+00  1.1423E+02  1.1423E+02
  1.6690E+00  0.0000E+00  1.0131E+02  1.0131E+02
  1.7181E+00  0.0000E+00  8.8778E+01  8.8778E+01
  1.7671E+00  0.0000E+00  7.7774E+01  7.7774E+01
  1.8162E+00  0.0000E+00  6.1514E+01  6.1514E+01
  1.8653E+00  0.0000E+00  5.4380E+01  5.4380E+01
  1.9144E+00  0.0000E+00  4.9034E+01  4.9034E+01
  1.9635E+00  0.0000E+00  4.8416E+01  4.8416E+01
  2.0126E+00  0.0000E+00  4.5640E+01  4.5640E+01
  2.0617E+00  0.0000E+00  3.9448E+01  3.9448E+01
  2.1108E+00  0.0000E+00  3.4218E+01  3.4218E+01
  2.1598E+00  0.0000E+00  2.9851E+01  2.9851E+01
  2.2089E+00  0.0000E+00  3.0222E+01  3.0222E+01
  2.2580E+00  0.0000E+00  2.9090E+01  2.9090E+01
  2.3071E+00  0.0000E+00  2.8093E+01  2.8093E+01
  2.3562E+00  0.0000E+00  2.5958E+01  2.5958E+01
  2.4053E+00  0.0000E+00  2.7377E+01  2.7377E+01
  2.4544E+00  0.0000E+00  3.7402E+01  3.7402E+01
  2.5035E+00  0.0000E+00  4.5843E+01  4.5843E+01
  2.5525E+00  0.0000E+00  5.3450E+01  5.3450E+01
  2.6016E+00  0.0000E+00  6.3275E+01  6.3275E+01
  2.6507E+00  0.0000E+00  7.2321E+01  7.2321E+01
  2.6998E+00  0.0000E+00  8.0716E+01  8.0716E+01
  2.7489E+00  0.0000E+00  9.7369E+01  9.7369E+01
  2.7980E+00  0.0000E+00  1.0463E+02  1.0463E+02
  2.8471E+00  0.0000E+00  1.0363E+02  1.0363E+02
  2.8962E+00  0.0000E+00  1.0189E+02  1.0189E+02
  2.9452E+00  0.0000E+00  9.4133E+01  9.4133E+01
  2.9943E+00  0.0000E+00  8.9050E+01  8.9050E+01
  3.0434E+00  0.0000E+00  8.6541E+01  8.6541E+01
  3.0925E+00  0.0000E+00  7.7716E+01  7.7716E+01
