# CREATED BY GENE DIAGNOSTICS TOOL on Tue Dec 15 10:21:05 2020
# diag: zprofile, run(s): 0001, time window: 667.5-667.59(2 steps), species: ions
# original data path: /ptmp/jproll/critgrad/TEMgradn/D3D/scanfiles0003/
# normalization: L_ref=1.65m
#
# variable A = phi
#  z/qR       <|A|>       <|A|²>^½    <|A²|-|A|²
 -3.1416E+00  0.0000E+00  4.3045E-04  4.3045E-04
 -3.0434E+00  0.0000E+00  4.3198E-04  4.3198E-04
 -2.9452E+00  0.0000E+00  4.3985E-04  4.3985E-04
 -2.8471E+00  0.0000E+00  4.5262E-04  4.5262E-04
 -2.7489E+00  0.0000E+00  4.6808E-04  4.6808E-04
 -2.6507E+00  0.0000E+00  4.8405E-04  4.8405E-04
 -2.5525E+00  0.0000E+00  4.9911E-04  4.9911E-04
 -2.4544E+00  0.0000E+00  5.1319E-04  5.1319E-04
 -2.3562E+00  0.0000E+00  5.2768E-04  5.2768E-04
 -2.2580E+00  0.0000E+00  5.4517E-04  5.4517E-04
 -2.1598E+00  0.0000E+00  5.6842E-04  5.6842E-04
 -2.0617E+00  0.0000E+00  5.9914E-04  5.9914E-04
 -1.9635E+00  0.0000E+00  6.3785E-04  6.3785E-04
 -1.8653E+00  0.0000E+00  6.8461E-04  6.8461E-04
 -1.7671E+00  0.0000E+00  7.3974E-04  7.3974E-04
 -1.6690E+00  0.0000E+00  8.0421E-04  8.0421E-04
 -1.5708E+00  0.0000E+00  8.7936E-04  8.7936E-04
 -1.4726E+00  0.0000E+00  9.6670E-04  9.6670E-04
 -1.3744E+00  0.0000E+00  1.0677E-03  1.0677E-03
 -1.2763E+00  0.0000E+00  1.1832E-03  1.1832E-03
 -1.1781E+00  0.0000E+00  1.3139E-03  1.3139E-03
 -1.0799E+00  0.0000E+00  1.4600E-03  1.4600E-03
 -9.8175E-01  0.0000E+00  1.6214E-03  1.6214E-03
 -8.8357E-01  0.0000E+00  1.7965E-03  1.7965E-03
 -7.8540E-01  0.0000E+00  1.9830E-03  1.9830E-03
 -6.8722E-01  0.0000E+00  2.1775E-03  2.1775E-03
 -5.8905E-01  0.0000E+00  2.3745E-03  2.3745E-03
 -4.9087E-01  0.0000E+00  2.5670E-03  2.5670E-03
 -3.9270E-01  0.0000E+00  2.7460E-03  2.7460E-03
 -2.9452E-01  0.0000E+00  2.9010E-03  2.9010E-03
 -1.9635E-01  0.0000E+00  3.0221E-03  3.0221E-03
 -9.8175E-02  0.0000E+00  3.1008E-03  3.1008E-03
  0.0000E+00  0.0000E+00  3.1313E-03  3.1313E-03
  9.8175E-02  0.0000E+00  3.1112E-03  3.1112E-03
  1.9635E-01  0.0000E+00  3.0433E-03  3.0433E-03
  2.9452E-01  0.0000E+00  2.9334E-03  2.9334E-03
  3.9270E-01  0.0000E+00  2.7890E-03  2.7890E-03
  4.9087E-01  0.0000E+00  2.6179E-03  2.6179E-03
  5.8905E-01  0.0000E+00  2.4288E-03  2.4288E-03
  6.8722E-01  0.0000E+00  2.2304E-03  2.2304E-03
  7.8540E-01  0.0000E+00  2.0309E-03  2.0309E-03
  8.8357E-01  0.0000E+00  1.8367E-03  1.8367E-03
  9.8175E-01  0.0000E+00  1.6529E-03  1.6529E-03
  1.0799E+00  0.0000E+00  1.4830E-03  1.4830E-03
  1.1781E+00  0.0000E+00  1.3290E-03  1.3290E-03
  1.2763E+00  0.0000E+00  1.1918E-03  1.1918E-03
  1.3744E+00  0.0000E+00  1.0713E-03  1.0713E-03
  1.4726E+00  0.0000E+00  9.6677E-04  9.6677E-04
  1.5708E+00  0.0000E+00  8.7693E-04  8.7693E-04
  1.6690E+00  0.0000E+00  8.0052E-04  8.0052E-04
  1.7671E+00  0.0000E+00  7.3601E-04  7.3601E-04
  1.8653E+00  0.0000E+00  6.8222E-04  6.8222E-04
  1.9635E+00  0.0000E+00  6.3828E-04  6.3828E-04
  2.0617E+00  0.0000E+00  6.0372E-04  6.0372E-04
  2.1598E+00  0.0000E+00  5.7776E-04  5.7776E-04
  2.2580E+00  0.0000E+00  5.5860E-04  5.5860E-04
  2.3562E+00  0.0000E+00  5.4335E-04  5.4335E-04
  2.4544E+00  0.0000E+00  5.2911E-04  5.2911E-04
  2.5525E+00  0.0000E+00  5.1385E-04  5.1385E-04
  2.6507E+00  0.0000E+00  4.9703E-04  4.9703E-04
  2.7489E+00  0.0000E+00  4.7919E-04  4.7919E-04
  2.8471E+00  0.0000E+00  4.6175E-04  4.6175E-04
  2.9452E+00  0.0000E+00  4.4656E-04  4.4656E-04
  3.0434E+00  0.0000E+00  4.3558E-04  4.3558E-04
