# CREATED BY GENE DIAGNOSTICS TOOL on Tue Dec 15 10:26:16 2020
# diag: zprofile, run(s): 0022, time window: 10-10.8339(18 steps), species: ions
# original data path: /ptmp/jproll/critgrad/TEMgradn/D3D/scanfiles0003/
# normalization: L_ref=1.65m
#
# variable A = phi
#  z/qR       <|A|>       <|A|²>^½    <|A²|-|A|²
 -3.1416E+00  0.0000E+00  6.4890E+02  6.4890E+02
 -3.0434E+00  0.0000E+00  6.5398E+02  6.5398E+02
 -2.9452E+00  0.0000E+00  6.6471E+02  6.6471E+02
 -2.8471E+00  0.0000E+00  6.8095E+02  6.8095E+02
 -2.7489E+00  0.0000E+00  7.0235E+02  7.0235E+02
 -2.6507E+00  0.0000E+00  7.2859E+02  7.2859E+02
 -2.5525E+00  0.0000E+00  7.5967E+02  7.5967E+02
 -2.4544E+00  0.0000E+00  7.9579E+02  7.9579E+02
 -2.3562E+00  0.0000E+00  8.3713E+02  8.3713E+02
 -2.2580E+00  0.0000E+00  8.8359E+02  8.8359E+02
 -2.1598E+00  0.0000E+00  9.3476E+02  9.3476E+02
 -2.0617E+00  0.0000E+00  9.8988E+02  9.8988E+02
 -1.9635E+00  0.0000E+00  1.0479E+03  1.0479E+03
 -1.8653E+00  0.0000E+00  1.1073E+03  1.1073E+03
 -1.7671E+00  0.0000E+00  1.1665E+03  1.1665E+03
 -1.6690E+00  0.0000E+00  1.2231E+03  1.2231E+03
 -1.5708E+00  0.0000E+00  1.2751E+03  1.2751E+03
 -1.4726E+00  0.0000E+00  1.3200E+03  1.3200E+03
 -1.3744E+00  0.0000E+00  1.3559E+03  1.3559E+03
 -1.2763E+00  0.0000E+00  1.3815E+03  1.3815E+03
 -1.1781E+00  0.0000E+00  1.3959E+03  1.3959E+03
 -1.0799E+00  0.0000E+00  1.3986E+03  1.3986E+03
 -9.8175E-01  0.0000E+00  1.3913E+03  1.3913E+03
 -8.8357E-01  0.0000E+00  1.3757E+03  1.3757E+03
 -7.8540E-01  0.0000E+00  1.3560E+03  1.3560E+03
 -6.8722E-01  0.0000E+00  1.3362E+03  1.3362E+03
 -5.8905E-01  0.0000E+00  1.3200E+03  1.3200E+03
 -4.9087E-01  0.0000E+00  1.3087E+03  1.3087E+03
 -3.9270E-01  0.0000E+00  1.3020E+03  1.3020E+03
 -2.9452E-01  0.0000E+00  1.2991E+03  1.2991E+03
 -1.9635E-01  0.0000E+00  1.2997E+03  1.2997E+03
 -9.8175E-02  0.0000E+00  1.3024E+03  1.3024E+03
  0.0000E+00  0.0000E+00  1.3042E+03  1.3042E+03
  9.8175E-02  0.0000E+00  1.3034E+03  1.3034E+03
  1.9635E-01  0.0000E+00  1.3038E+03  1.3038E+03
  2.9452E-01  0.0000E+00  1.3114E+03  1.3114E+03
  3.9270E-01  0.0000E+00  1.3295E+03  1.3295E+03
  4.9087E-01  0.0000E+00  1.3570E+03  1.3570E+03
  5.8905E-01  0.0000E+00  1.3901E+03  1.3901E+03
  6.8722E-01  0.0000E+00  1.4242E+03  1.4242E+03
  7.8540E-01  0.0000E+00  1.4553E+03  1.4553E+03
  8.8357E-01  0.0000E+00  1.4795E+03  1.4795E+03
  9.8175E-01  0.0000E+00  1.4937E+03  1.4937E+03
  1.0799E+00  0.0000E+00  1.4955E+03  1.4955E+03
  1.1781E+00  0.0000E+00  1.4842E+03  1.4842E+03
  1.2763E+00  0.0000E+00  1.4599E+03  1.4599E+03
  1.3744E+00  0.0000E+00  1.4238E+03  1.4238E+03
  1.4726E+00  0.0000E+00  1.3774E+03  1.3774E+03
  1.5708E+00  0.0000E+00  1.3224E+03  1.3224E+03
  1.6690E+00  0.0000E+00  1.2610E+03  1.2610E+03
  1.7671E+00  0.0000E+00  1.1953E+03  1.1953E+03
  1.8653E+00  0.0000E+00  1.1278E+03  1.1278E+03
  1.9635E+00  0.0000E+00  1.0606E+03  1.0606E+03
  2.0617E+00  0.0000E+00  9.9560E+02  9.9560E+02
  2.1598E+00  0.0000E+00  9.3437E+02  9.3437E+02
  2.2580E+00  0.0000E+00  8.7818E+02  8.7818E+02
  2.3562E+00  0.0000E+00  8.2792E+02  8.2792E+02
  2.4544E+00  0.0000E+00  7.8400E+02  7.8400E+02
  2.5525E+00  0.0000E+00  7.4635E+02  7.4635E+02
  2.6507E+00  0.0000E+00  7.1472E+02  7.1472E+02
  2.7489E+00  0.0000E+00  6.8899E+02  6.8899E+02
  2.8471E+00  0.0000E+00  6.6942E+02  6.6942E+02
  2.9452E+00  0.0000E+00  6.5630E+02  6.5630E+02
  3.0434E+00  0.0000E+00  6.4959E+02  6.4959E+02
