# CREATED BY GENE DIAGNOSTICS TOOL on Mon Dec  7 14:32:38 2020
# diag: zprofile, run(s): 0020, time window: 43-43.688(6 steps), species: ions
# original data path: /ptmp/jproll/critgrad/TEMgradn/NCSX/bean/scanfiles0000/
# normalization: L_ref=1.65m
#
# variable A = phi
#  z/qR       <|A|>       <|A|²>^½    <|A²|-|A|²
 -3.1416E+00  0.0000E+00  2.2051E+01  2.2051E+01
 -3.0925E+00  0.0000E+00  2.2090E+01  2.2090E+01
 -3.0434E+00  0.0000E+00  2.2496E+01  2.2496E+01
 -2.9943E+00  0.0000E+00  2.4279E+01  2.4279E+01
 -2.9452E+00  0.0000E+00  2.5911E+01  2.5911E+01
 -2.8962E+00  0.0000E+00  2.8073E+01  2.8073E+01
 -2.8471E+00  0.0000E+00  3.0659E+01  3.0659E+01
 -2.7980E+00  0.0000E+00  3.3164E+01  3.3164E+01
 -2.7489E+00  0.0000E+00  3.5270E+01  3.5270E+01
 -2.6998E+00  0.0000E+00  3.7638E+01  3.7638E+01
 -2.6507E+00  0.0000E+00  3.9523E+01  3.9523E+01
 -2.6016E+00  0.0000E+00  4.0836E+01  4.0836E+01
 -2.5525E+00  0.0000E+00  4.2173E+01  4.2173E+01
 -2.5035E+00  0.0000E+00  4.3370E+01  4.3370E+01
 -2.4544E+00  0.0000E+00  4.4167E+01  4.4167E+01
 -2.4053E+00  0.0000E+00  4.4827E+01  4.4827E+01
 -2.3562E+00  0.0000E+00  4.5521E+01  4.5521E+01
 -2.3071E+00  0.0000E+00  4.5676E+01  4.5676E+01
 -2.2580E+00  0.0000E+00  4.5438E+01  4.5438E+01
 -2.2089E+00  0.0000E+00  4.4789E+01  4.4789E+01
 -2.1598E+00  0.0000E+00  4.3356E+01  4.3356E+01
 -2.1108E+00  0.0000E+00  4.2506E+01  4.2506E+01
 -2.0617E+00  0.0000E+00  4.4399E+01  4.4399E+01
 -2.0126E+00  0.0000E+00  4.8065E+01  4.8065E+01
 -1.9635E+00  0.0000E+00  5.0842E+01  5.0842E+01
 -1.9144E+00  0.0000E+00  5.2506E+01  5.2506E+01
 -1.8653E+00  0.0000E+00  5.3599E+01  5.3599E+01
 -1.8162E+00  0.0000E+00  5.3958E+01  5.3958E+01
 -1.7671E+00  0.0000E+00  5.3729E+01  5.3729E+01
 -1.7181E+00  0.0000E+00  5.2894E+01  5.2894E+01
 -1.6690E+00  0.0000E+00  5.1446E+01  5.1446E+01
 -1.6199E+00  0.0000E+00  4.9764E+01  4.9764E+01
 -1.5708E+00  0.0000E+00  4.7966E+01  4.7966E+01
 -1.5217E+00  0.0000E+00  4.5913E+01  4.5913E+01
 -1.4726E+00  0.0000E+00  4.3426E+01  4.3426E+01
 -1.4235E+00  0.0000E+00  4.0847E+01  4.0847E+01
 -1.3744E+00  0.0000E+00  3.8427E+01  3.8427E+01
 -1.3254E+00  0.0000E+00  3.5991E+01  3.5991E+01
 -1.2763E+00  0.0000E+00  3.3796E+01  3.3796E+01
 -1.2272E+00  0.0000E+00  3.2162E+01  3.2162E+01
 -1.1781E+00  0.0000E+00  3.0858E+01  3.0858E+01
 -1.1290E+00  0.0000E+00  2.9801E+01  2.9801E+01
 -1.0799E+00  0.0000E+00  2.9322E+01  2.9322E+01
 -1.0308E+00  0.0000E+00  2.9557E+01  2.9557E+01
 -9.8175E-01  0.0000E+00  3.0831E+01  3.0831E+01
 -9.3266E-01  0.0000E+00  3.3743E+01  3.3743E+01
 -8.8357E-01  0.0000E+00  3.7861E+01  3.7861E+01
 -8.3449E-01  0.0000E+00  4.2411E+01  4.2411E+01
 -7.8540E-01  0.0000E+00  4.7743E+01  4.7743E+01
 -7.3631E-01  0.0000E+00  5.6261E+01  5.6261E+01
 -6.8722E-01  0.0000E+00  6.8996E+01  6.8996E+01
 -6.3814E-01  0.0000E+00  8.4799E+01  8.4799E+01
 -5.8905E-01  0.0000E+00  1.0751E+02  1.0751E+02
 -5.3996E-01  0.0000E+00  1.3910E+02  1.3910E+02
 -4.9087E-01  0.0000E+00  1.7612E+02  1.7612E+02
 -4.4179E-01  0.0000E+00  2.1297E+02  2.1297E+02
 -3.9270E-01  0.0000E+00  2.4458E+02  2.4458E+02
 -3.4361E-01  0.0000E+00  2.6982E+02  2.6982E+02
 -2.9452E-01  0.0000E+00  2.9170E+02  2.9170E+02
 -2.4544E-01  0.0000E+00  3.1267E+02  3.1267E+02
 -1.9635E-01  0.0000E+00  3.3008E+02  3.3008E+02
 -1.4726E-01  0.0000E+00  3.4132E+02  3.4132E+02
 -9.8175E-02  0.0000E+00  3.4710E+02  3.4710E+02
 -4.9087E-02  0.0000E+00  3.4972E+02  3.4972E+02
  0.0000E+00  0.0000E+00  3.5055E+02  3.5055E+02
  4.9087E-02  0.0000E+00  3.4971E+02  3.4971E+02
  9.8175E-02  0.0000E+00  3.4710E+02  3.4710E+02
  1.4726E-01  0.0000E+00  3.4131E+02  3.4131E+02
