# CREATED BY GENE DIAGNOSTICS TOOL on Thu Oct 22 17:00:27 2020
# diag: zprofile, run(s): 0003, time window: 183-184(5 steps), species: ions
# original data path: /ptmp/jproll/critgrad/TEMgradn/W7X/bean/scanfiles0000/
# normalization: L_ref=1.65m
#
# variable A = phi
#  z/qR       <|A|>       <|A|²>^½    <|A²|-|A|²
 -3.1416E+00  0.0000E+00  1.0067E+02  1.0067E+02
 -3.0925E+00  0.0000E+00  9.9937E+01  9.9937E+01
 -3.0434E+00  0.0000E+00  1.0810E+02  1.0810E+02
 -2.9943E+00  0.0000E+00  1.2584E+02  1.2584E+02
 -2.9452E+00  0.0000E+00  1.4038E+02  1.4038E+02
 -2.8962E+00  0.0000E+00  1.5239E+02  1.5239E+02
 -2.8471E+00  0.0000E+00  1.6108E+02  1.6108E+02
 -2.7980E+00  0.0000E+00  1.5924E+02  1.5924E+02
 -2.7489E+00  0.0000E+00  1.5169E+02  1.5169E+02
 -2.6998E+00  0.0000E+00  1.3668E+02  1.3668E+02
 -2.6507E+00  0.0000E+00  1.1974E+02  1.1974E+02
 -2.6016E+00  0.0000E+00  1.0477E+02  1.0477E+02
 -2.5525E+00  0.0000E+00  8.8315E+01  8.8315E+01
 -2.5035E+00  0.0000E+00  7.5252E+01  7.5252E+01
 -2.4544E+00  0.0000E+00  6.6160E+01  6.6160E+01
 -2.4053E+00  0.0000E+00  6.1043E+01  6.1043E+01
 -2.3562E+00  0.0000E+00  5.4718E+01  5.4718E+01
 -2.3071E+00  0.0000E+00  4.7172E+01  4.7172E+01
 -2.2580E+00  0.0000E+00  3.9256E+01  3.9256E+01
 -2.2089E+00  0.0000E+00  3.0934E+01  3.0934E+01
 -2.1598E+00  0.0000E+00  2.2075E+01  2.2075E+01
 -2.1108E+00  0.0000E+00  1.6367E+01  1.6367E+01
 -2.0617E+00  0.0000E+00  2.1651E+01  2.1651E+01
 -2.0126E+00  0.0000E+00  3.3517E+01  3.3517E+01
 -1.9635E+00  0.0000E+00  4.5408E+01  4.5408E+01
 -1.9144E+00  0.0000E+00  5.6463E+01  5.6463E+01
 -1.8653E+00  0.0000E+00  7.2418E+01  7.2418E+01
 -1.8162E+00  0.0000E+00  9.0671E+01  9.0671E+01
 -1.7671E+00  0.0000E+00  1.1094E+02  1.1094E+02
 -1.7181E+00  0.0000E+00  1.2905E+02  1.2905E+02
 -1.6690E+00  0.0000E+00  1.3699E+02  1.3699E+02
 -1.6199E+00  0.0000E+00  1.4269E+02  1.4269E+02
 -1.5708E+00  0.0000E+00  1.3891E+02  1.3891E+02
 -1.5217E+00  0.0000E+00  1.2774E+02  1.2774E+02
 -1.4726E+00  0.0000E+00  1.1553E+02  1.1553E+02
 -1.4235E+00  0.0000E+00  9.7926E+01  9.7926E+01
 -1.3744E+00  0.0000E+00  8.1937E+01  8.1937E+01
 -1.3254E+00  0.0000E+00  6.6566E+01  6.6566E+01
 -1.2763E+00  0.0000E+00  5.3684E+01  5.3684E+01
 -1.2272E+00  0.0000E+00  4.4073E+01  4.4073E+01
 -1.1781E+00  0.0000E+00  3.7461E+01  3.7461E+01
 -1.1290E+00  0.0000E+00  3.3477E+01  3.3477E+01
 -1.0799E+00  0.0000E+00  3.0765E+01  3.0765E+01
 -1.0308E+00  0.0000E+00  2.8269E+01  2.8269E+01
 -9.8175E-01  0.0000E+00  2.5340E+01  2.5340E+01
 -9.3266E-01  0.0000E+00  2.2628E+01  2.2628E+01
 -8.8357E-01  0.0000E+00  2.0313E+01  2.0313E+01
 -8.3449E-01  0.0000E+00  1.9575E+01  1.9575E+01
 -7.8540E-01  0.0000E+00  2.0156E+01  2.0156E+01
 -7.3631E-01  0.0000E+00  2.0484E+01  2.0484E+01
 -6.8722E-01  0.0000E+00  1.9949E+01  1.9949E+01
 -6.3814E-01  0.0000E+00  1.9397E+01  1.9397E+01
 -5.8905E-01  0.0000E+00  1.9036E+01  1.9036E+01
 -5.3996E-01  0.0000E+00  1.8885E+01  1.8885E+01
 -4.9087E-01  0.0000E+00  1.8620E+01  1.8620E+01
 -4.4179E-01  0.0000E+00  1.9219E+01  1.9219E+01
 -3.9270E-01  0.0000E+00  2.0512E+01  2.0512E+01
 -3.4361E-01  0.0000E+00  2.2144E+01  2.2144E+01
 -2.9452E-01  0.0000E+00  2.4143E+01  2.4143E+01
 -2.4544E-01  0.0000E+00  2.5493E+01  2.5493E+01
 -1.9635E-01  0.0000E+00  2.6987E+01  2.6987E+01
 -1.4726E-01  0.0000E+00  2.8199E+01  2.8199E+01
 -9.8175E-02  0.0000E+00  2.8820E+01  2.8820E+01
 -4.9087E-02  0.0000E+00  3.0197E+01  3.0197E+01
  0.0000E+00  0.0000E+00  3.0381E+01  3.0381E+01
  4.9087E-02  0.0000E+00  2.9964E+01  2.9964E+01
  9.8175E-02  0.0000E+00  2.8364E+01  2.8364E+01
  1.4726E-01  0.0000E+00  2.7552E+01  2.7552E+01
  1.9635E-01  0.0000E+00  2.6191E+01  2.6191E+01
  2.4544E-01  0.0000E+00  2.4599E+01  2.4599E+01
  2.9452E-01  0.0000E+00  2.3175E+01  2.3175E+01
  3.4361E-01  0.0000E+00  2.1145E+01  2.1145E+01
  3.9270E-01  0.0000E+00  1.9511E+01  1.9511E+01
  4.4179E-01  0.0000E+00  1.8248E+01  1.8248E+01
  4.9087E-01  0.0000E+00  1.7706E+01  1.7706E+01
  5.3996E-01  0.0000E+00  1.8037E+01  1.8037E+01
  5.8905E-01  0.0000E+00  1.8236E+01  1.8236E+01
  6.3814E-01  0.0000E+00  1.8630E+01  1.8630E+01
  6.8722E-01  0.0000E+00  1.9200E+01  1.9200E+01
  7.3631E-01  0.0000E+00  1.9755E+01  1.9755E+01
  7.8540E-01  0.0000E+00  1.9436E+01  1.9436E+01
  8.3449E-01  0.0000E+00  1.8821E+01  1.8821E+01
  8.8357E-01  0.0000E+00  1.9547E+01  1.9547E+01
  9.3266E-01  0.0000E+00  2.1911E+01  2.1911E+01
  9.8175E-01  0.0000E+00  2.4665E+01  2.4665E+01
  1.0308E+00  0.0000E+00  2.7605E+01  2.7605E+01
  1.0799E+00  0.0000E+00  3.0086E+01  3.0086E+01
  1.1290E+00  0.0000E+00  3.2689E+01  3.2689E+01
  1.1781E+00  0.0000E+00  3.6438E+01  3.6438E+01
  1.2272E+00  0.0000E+00  4.2593E+01  4.2593E+01
  1.2763E+00  0.0000E+00  5.1547E+01  5.1547E+01
  1.3254E+00  0.0000E+00  6.3421E+01  6.3421E+01
  1.3744E+00  0.0000E+00  7.7605E+01  7.7605E+01
  1.4235E+00  0.0000E+00  9.2318E+01  9.2318E+01
  1.4726E+00  0.0000E+00  1.0855E+02  1.0855E+02
  1.5217E+00  0.0000E+00  1.1979E+02  1.1979E+02
  1.5708E+00  0.0000E+00  1.3004E+02  1.3004E+02
  1.6199E+00  0.0000E+00  1.3342E+02  1.3342E+02
  1.6690E+00  0.0000E+00  1.2790E+02  1.2790E+02
  1.7181E+00  0.0000E+00  1.2024E+02  1.2024E+02
  1.7671E+00  0.0000E+00  1.0303E+02  1.0303E+02
  1.8162E+00  0.0000E+00  8.3710E+01  8.3710E+01
  1.8653E+00  0.0000E+00  6.6387E+01  6.6387E+01
  1.9144E+00  0.0000E+00  5.1496E+01  5.1496E+01
  1.9635E+00  0.0000E+00  4.2181E+01  4.2181E+01
  2.0126E+00  0.0000E+00  3.3248E+01  3.3248E+01
  2.0617E+00  0.0000E+00  2.5169E+01  2.5169E+01
  2.1108E+00  0.0000E+00  2.1639E+01  2.1639E+01
  2.1598E+00  0.0000E+00  2.4383E+01  2.4383E+01
  2.2089E+00  0.0000E+00  3.0157E+01  3.0157E+01
  2.2580E+00  0.0000E+00  3.6609E+01  3.6609E+01
  2.3071E+00  0.0000E+00  4.3715E+01  4.3715E+01
  2.3562E+00  0.0000E+00  5.1319E+01  5.1319E+01
  2.4053E+00  0.0000E+00  5.8533E+01  5.8533E+01
  2.4544E+00  0.0000E+00  6.5279E+01  6.5279E+01
  2.5035E+00  0.0000E+00  7.5896E+01  7.5896E+01
  2.5525E+00  0.0000E+00  9.0243E+01  9.0243E+01
  2.6016E+00  0.0000E+00  1.0700E+02  1.0700E+02
  2.6507E+00  0.0000E+00  1.2149E+02  1.2149E+02
  2.6998E+00  0.0000E+00  1.3786E+02  1.3786E+02
