# CREATED BY GENE DIAGNOSTICS TOOL on Thu Oct 22 17:01:20 2020
# diag: zprofile, run(s): 0006, time window: 449-449.88(4 steps), species: ions
# original data path: /ptmp/jproll/critgrad/TEMgradn/W7X/bean/scanfiles0000/
# normalization: L_ref=1.65m
#
# variable A = phi
#  z/qR       <|A|>       <|A|²>^½    <|A²|-|A|²
 -3.1416E+00  0.0000E+00  1.4055E-01  1.4055E-01
 -3.0925E+00  0.0000E+00  1.3403E-01  1.3403E-01
 -3.0434E+00  0.0000E+00  1.3461E-01  1.3461E-01
 -2.9943E+00  0.0000E+00  1.5557E-01  1.5557E-01
 -2.9452E+00  0.0000E+00  1.7750E-01  1.7750E-01
 -2.8962E+00  0.0000E+00  1.9510E-01  1.9510E-01
 -2.8471E+00  0.0000E+00  2.0734E-01  2.0734E-01
 -2.7980E+00  0.0000E+00  2.0529E-01  2.0529E-01
 -2.7489E+00  0.0000E+00  1.9498E-01  1.9498E-01
 -2.6998E+00  0.0000E+00  1.7514E-01  1.7514E-01
 -2.6507E+00  0.0000E+00  1.5334E-01  1.5334E-01
 -2.6016E+00  0.0000E+00  1.3282E-01  1.3282E-01
 -2.5525E+00  0.0000E+00  1.1325E-01  1.1325E-01
 -2.5035E+00  0.0000E+00  1.0093E-01  1.0093E-01
 -2.4544E+00  0.0000E+00  9.2420E-02  9.2420E-02
 -2.4053E+00  0.0000E+00  8.9052E-02  8.9052E-02
 -2.3562E+00  0.0000E+00  8.0306E-02  8.0306E-02
 -2.3071E+00  0.0000E+00  6.7370E-02  6.7370E-02
 -2.2580E+00  0.0000E+00  5.2771E-02  5.2771E-02
 -2.2089E+00  0.0000E+00  3.7287E-02  3.7287E-02
 -2.1598E+00  0.0000E+00  2.4551E-02  2.4551E-02
 -2.1108E+00  0.0000E+00  3.1966E-02  3.1966E-02
 -2.0617E+00  0.0000E+00  5.5903E-02  5.5903E-02
 -2.0126E+00  0.0000E+00  8.0336E-02  8.0336E-02
 -1.9635E+00  0.0000E+00  9.6376E-02  9.6376E-02
 -1.9144E+00  0.0000E+00  1.0015E-01  1.0015E-01
 -1.8653E+00  0.0000E+00  1.1839E-01  1.1839E-01
 -1.8162E+00  0.0000E+00  1.5726E-01  1.5726E-01
 -1.7671E+00  0.0000E+00  2.0234E-01  2.0234E-01
 -1.7181E+00  0.0000E+00  2.4752E-01  2.4752E-01
 -1.6690E+00  0.0000E+00  2.6963E-01  2.6963E-01
 -1.6199E+00  0.0000E+00  2.8548E-01  2.8548E-01
 -1.5708E+00  0.0000E+00  2.7776E-01  2.7776E-01
 -1.5217E+00  0.0000E+00  2.5206E-01  2.5206E-01
 -1.4726E+00  0.0000E+00  2.2370E-01  2.2370E-01
 -1.4235E+00  0.0000E+00  1.8449E-01  1.8449E-01
 -1.3744E+00  0.0000E+00  1.4993E-01  1.4993E-01
 -1.3254E+00  0.0000E+00  1.1885E-01  1.1885E-01
 -1.2763E+00  0.0000E+00  9.8289E-02  9.8289E-02
 -1.2272E+00  0.0000E+00  8.1822E-02  8.1822E-02
 -1.1781E+00  0.0000E+00  7.2992E-02  7.2992E-02
 -1.1290E+00  0.0000E+00  6.7153E-02  6.7153E-02
 -1.0799E+00  0.0000E+00  6.1335E-02  6.1335E-02
 -1.0308E+00  0.0000E+00  5.4037E-02  5.4037E-02
 -9.8175E-01  0.0000E+00  4.4292E-02  4.4292E-02
 -9.3266E-01  0.0000E+00  3.4425E-02  3.4425E-02
 -8.8357E-01  0.0000E+00  2.4703E-02  2.4703E-02
 -8.3449E-01  0.0000E+00  1.9108E-02  1.9108E-02
 -7.8540E-01  0.0000E+00  1.8833E-02  1.8833E-02
 -7.3631E-01  0.0000E+00  1.9954E-02  1.9954E-02
 -6.8722E-01  0.0000E+00  2.0175E-02  2.0175E-02
 -6.3814E-01  0.0000E+00  1.9985E-02  1.9985E-02
 -5.8905E-01  0.0000E+00  1.9582E-02  1.9582E-02
 -5.3996E-01  0.0000E+00  1.9442E-02  1.9442E-02
 -4.9087E-01  0.0000E+00  1.9739E-02  1.9739E-02
 -4.4179E-01  0.0000E+00  2.0374E-02  2.0374E-02
 -3.9270E-01  0.0000E+00  2.1184E-02  2.1184E-02
 -3.4361E-01  0.0000E+00  2.1830E-02  2.1830E-02
 -2.9452E-01  0.0000E+00  2.2999E-02  2.2999E-02
 -2.4544E-01  0.0000E+00  2.3583E-02  2.3583E-02
 -1.9635E-01  0.0000E+00  2.4745E-02  2.4745E-02
 -1.4726E-01  0.0000E+00  2.5805E-02  2.5805E-02
 -9.8175E-02  0.0000E+00  2.6449E-02  2.6449E-02
 -4.9087E-02  0.0000E+00  2.8661E-02  2.8661E-02
  0.0000E+00  0.0000E+00  2.8882E-02  2.8882E-02
  4.9087E-02  0.0000E+00  2.8514E-02  2.8514E-02
  9.8175E-02  0.0000E+00  2.6178E-02  2.6178E-02
  1.4726E-01  0.0000E+00  2.5537E-02  2.5537E-02
  1.9635E-01  0.0000E+00  2.4384E-02  2.4384E-02
  2.4544E-01  0.0000E+00  2.3064E-02  2.3064E-02
  2.9452E-01  0.0000E+00  2.2162E-02  2.2162E-02
  3.4361E-01  0.0000E+00  2.0600E-02  2.0600E-02
  3.9270E-01  0.0000E+00  1.9671E-02  1.9671E-02
  4.4179E-01  0.0000E+00  1.8942E-02  1.8942E-02
  4.9087E-01  0.0000E+00  1.8796E-02  1.8796E-02
  5.3996E-01  0.0000E+00  1.9380E-02  1.9380E-02
  5.8905E-01  0.0000E+00  2.0014E-02  2.0014E-02
  6.3814E-01  0.0000E+00  2.0770E-02  2.0770E-02
  6.8722E-01  0.0000E+00  2.1422E-02  2.1422E-02
  7.3631E-01  0.0000E+00  2.1795E-02  2.1795E-02
  7.8540E-01  0.0000E+00  2.0869E-02  2.0869E-02
  8.3449E-01  0.0000E+00  1.9794E-02  1.9794E-02
  8.8357E-01  0.0000E+00  2.2729E-02  2.2729E-02
  9.3266E-01  0.0000E+00  3.0336E-02  3.0336E-02
  9.8175E-01  0.0000E+00  3.8604E-02  3.8604E-02
  1.0308E+00  0.0000E+00  4.6901E-02  4.6901E-02
  1.0799E+00  0.0000E+00  5.3107E-02  5.3107E-02
  1.1290E+00  0.0000E+00  5.7815E-02  5.7815E-02
  1.1781E+00  0.0000E+00  6.2402E-02  6.2402E-02
  1.2272E+00  0.0000E+00  6.9199E-02  6.9199E-02
  1.2763E+00  0.0000E+00  8.2100E-02  8.2100E-02
  1.3254E+00  0.0000E+00  9.7050E-02  9.7050E-02
  1.3744E+00  0.0000E+00  1.2040E-01  1.2040E-01
  1.4235E+00  0.0000E+00  1.4640E-01  1.4640E-01
  1.4726E+00  0.0000E+00  1.7589E-01  1.7589E-01
  1.5217E+00  0.0000E+00  1.9749E-01  1.9749E-01
  1.5708E+00  0.0000E+00  2.1683E-01  2.1683E-01
  1.6199E+00  0.0000E+00  2.2237E-01  2.2237E-01
  1.6690E+00  0.0000E+00  2.0969E-01  2.0969E-01
