# CREATED BY GENE DIAGNOSTICS TOOL on Wed Nov 25 10:46:41 2020
# diag: zprofile, run(s): 0018, time window: 93-94.677(8 steps), species: ions
# original data path: /ptmp/jproll/critgrad/TEMgradn/W7X/bean/scanfiles0000/
# normalization: L_ref=1.65m
#
# variable A = phi
#  z/qR       <|A|>       <|A|²>^½    <|A²|-|A|²
 -3.1416E+00  0.0000E+00  2.3909E+03  2.3909E+03
 -3.0925E+00  0.0000E+00  2.2413E+03  2.2413E+03
 -3.0434E+00  0.0000E+00  2.3990E+03  2.3990E+03
 -2.9943E+00  0.0000E+00  2.9990E+03  2.9990E+03
 -2.9452E+00  0.0000E+00  3.4754E+03  3.4754E+03
 -2.8962E+00  0.0000E+00  3.8548E+03  3.8548E+03
 -2.8471E+00  0.0000E+00  4.1497E+03  4.1497E+03
 -2.7980E+00  0.0000E+00  4.1207E+03  4.1207E+03
 -2.7489E+00  0.0000E+00  3.9276E+03  3.9276E+03
 -2.6998E+00  0.0000E+00  3.5032E+03  3.5032E+03
 -2.6507E+00  0.0000E+00  3.0317E+03  3.0317E+03
 -2.6016E+00  0.0000E+00  2.6386E+03  2.6386E+03
 -2.5525E+00  0.0000E+00  2.1178E+03  2.1178E+03
 -2.5035E+00  0.0000E+00  1.6519E+03  1.6519E+03
 -2.4544E+00  0.0000E+00  1.3293E+03  1.3293E+03
 -2.4053E+00  0.0000E+00  1.1983E+03  1.1983E+03
 -2.3562E+00  0.0000E+00  1.0702E+03  1.0702E+03
 -2.3071E+00  0.0000E+00  9.1155E+02  9.1155E+02
 -2.2580E+00  0.0000E+00  7.6360E+02  7.6360E+02
 -2.2089E+00  0.0000E+00  6.2838E+02  6.2838E+02
 -2.1598E+00  0.0000E+00  5.0972E+02  5.0972E+02
 -2.1108E+00  0.0000E+00  5.5431E+02  5.5431E+02
 -2.0617E+00  0.0000E+00  8.3031E+02  8.3031E+02
 -2.0126E+00  0.0000E+00  1.1515E+03  1.1515E+03
 -1.9635E+00  0.0000E+00  1.3357E+03  1.3357E+03
 -1.9144E+00  0.0000E+00  1.3516E+03  1.3516E+03
 -1.8653E+00  0.0000E+00  1.9136E+03  1.9136E+03
 -1.8162E+00  0.0000E+00  2.8923E+03  2.8923E+03
 -1.7671E+00  0.0000E+00  4.0172E+03  4.0172E+03
 -1.7181E+00  0.0000E+00  5.0873E+03  5.0873E+03
 -1.6690E+00  0.0000E+00  5.5755E+03  5.5755E+03
 -1.6199E+00  0.0000E+00  5.9745E+03  5.9745E+03
 -1.5708E+00  0.0000E+00  5.8515E+03  5.8515E+03
 -1.5217E+00  0.0000E+00  5.3283E+03  5.3283E+03
 -1.4726E+00  0.0000E+00  4.7838E+03  4.7838E+03
 -1.4235E+00  0.0000E+00  3.9467E+03  3.9467E+03
 -1.3744E+00  0.0000E+00  3.2084E+03  3.2084E+03
 -1.3254E+00  0.0000E+00  2.4849E+03  2.4849E+03
 -1.2763E+00  0.0000E+00  1.8633E+03  1.8633E+03
 -1.2272E+00  0.0000E+00  1.4171E+03  1.4171E+03
 -1.1781E+00  0.0000E+00  1.1325E+03  1.1325E+03
 -1.1290E+00  0.0000E+00  9.7845E+02  9.7845E+02
 -1.0799E+00  0.0000E+00  8.6964E+02  8.6964E+02
 -1.0308E+00  0.0000E+00  7.4143E+02  7.4143E+02
 -9.8175E-01  0.0000E+00  5.7498E+02  5.7498E+02
 -9.3266E-01  0.0000E+00  4.6199E+02  4.6199E+02
 -8.8357E-01  0.0000E+00  4.8649E+02  4.8649E+02
 -8.3449E-01  0.0000E+00  6.2643E+02  6.2643E+02
 -7.8540E-01  0.0000E+00  7.4245E+02  7.4245E+02
 -7.3631E-01  0.0000E+00  7.6276E+02  7.6276E+02
 -6.8722E-01  0.0000E+00  7.2367E+02  7.2367E+02
 -6.3814E-01  0.0000E+00  6.7784E+02  6.7784E+02
 -5.8905E-01  0.0000E+00  6.1733E+02  6.1733E+02
 -5.3996E-01  0.0000E+00  5.6098E+02  5.6098E+02
 -4.9087E-01  0.0000E+00  4.9787E+02  4.9787E+02
 -4.4179E-01  0.0000E+00  4.6319E+02  4.6319E+02
 -3.9270E-01  0.0000E+00  4.6058E+02  4.6058E+02
 -3.4361E-01  0.0000E+00  4.7886E+02  4.7886E+02
 -2.9452E-01  0.0000E+00  5.1029E+02  5.1029E+02
 -2.4544E-01  0.0000E+00  5.2739E+02  5.2739E+02
 -1.9635E-01  0.0000E+00  5.3994E+02  5.3994E+02
 -1.4726E-01  0.0000E+00  5.4655E+02  5.4655E+02
 -9.8175E-02  0.0000E+00  5.3840E+02  5.3840E+02
 -4.9087E-02  0.0000E+00  5.6877E+02  5.6877E+02
  0.0000E+00  0.0000E+00  5.7031E+02  5.7031E+02
  4.9087E-02  0.0000E+00  5.6854E+02  5.6854E+02
  9.8175E-02  0.0000E+00  5.3840E+02  5.3840E+02
  1.4726E-01  0.0000E+00  5.4804E+02  5.4804E+02
  1.9635E-01  0.0000E+00  5.4126E+02  5.4126E+02
  2.4544E-01  0.0000E+00  5.3026E+02  5.3026E+02
  2.9452E-01  0.0000E+00  5.1336E+02  5.1336E+02
