# CREATED BY GENE DIAGNOSTICS TOOL on Fri Nov 13 11:13:18 2020
# diag: zprofile, run(s): 0040, time window: 59-60.28(6 steps), species: ions
# original data path: /ptmp/jproll/critgrad/TEMgradn/W7X/bean/scanfiles0000/
# normalization: L_ref=1.65m
#
# variable A = phi
#  z/qR       <|A|>       <|A|²>^½    <|A²|-|A|²
 -3.1416E+00  0.0000E+00  1.6831E+01  1.6831E+01
 -3.0925E+00  0.0000E+00  1.6457E+01  1.6457E+01
 -3.0434E+00  0.0000E+00  2.6722E+01  2.6722E+01
 -2.9943E+00  0.0000E+00  4.1025E+01  4.1025E+01
 -2.9452E+00  0.0000E+00  4.8912E+01  4.8912E+01
 -2.8962E+00  0.0000E+00  5.5400E+01  5.5400E+01
 -2.8471E+00  0.0000E+00  6.1129E+01  6.1129E+01
 -2.7980E+00  0.0000E+00  6.0367E+01  6.0367E+01
 -2.7489E+00  0.0000E+00  5.6803E+01  5.6803E+01
 -2.6998E+00  0.0000E+00  4.8518E+01  4.8518E+01
 -2.6507E+00  0.0000E+00  3.9586E+01  3.9586E+01
 -2.6016E+00  0.0000E+00  3.3718E+01  3.3718E+01
 -2.5525E+00  0.0000E+00  2.3798E+01  2.3798E+01
 -2.5035E+00  0.0000E+00  1.3661E+01  1.3661E+01
 -2.4544E+00  0.0000E+00  7.9691E+00  7.9691E+00
 -2.4053E+00  0.0000E+00  8.9732E+00  8.9732E+00
 -2.3562E+00  0.0000E+00  1.1389E+01  1.1389E+01
 -2.3071E+00  0.0000E+00  1.2593E+01  1.2593E+01
 -2.2580E+00  0.0000E+00  1.3461E+01  1.3461E+01
 -2.2089E+00  0.0000E+00  1.4219E+01  1.4219E+01
 -2.1598E+00  0.0000E+00  1.4320E+01  1.4320E+01
 -2.1108E+00  0.0000E+00  1.3524E+01  1.3524E+01
 -2.0617E+00  0.0000E+00  1.2170E+01  1.2170E+01
 -2.0126E+00  0.0000E+00  1.0338E+01  1.0338E+01
 -1.9635E+00  0.0000E+00  7.4462E+00  7.4462E+00
 -1.9144E+00  0.0000E+00  9.4552E+00  9.4552E+00
 -1.8653E+00  0.0000E+00  2.2091E+01  2.2091E+01
 -1.8162E+00  0.0000E+00  3.4449E+01  3.4449E+01
 -1.7671E+00  0.0000E+00  5.4163E+01  5.4163E+01
 -1.7181E+00  0.0000E+00  7.2287E+01  7.2287E+01
 -1.6690E+00  0.0000E+00  7.9007E+01  7.9007E+01
 -1.6199E+00  0.0000E+00  8.6396E+01  8.6396E+01
 -1.5708E+00  0.0000E+00  8.4705E+01  8.4705E+01
 -1.5217E+00  0.0000E+00  7.5892E+01  7.5892E+01
 -1.4726E+00  0.0000E+00  6.8071E+01  6.8071E+01
 -1.4235E+00  0.0000E+00  5.4450E+01  5.4450E+01
 -1.3744E+00  0.0000E+00  4.3470E+01  4.3470E+01
 -1.3254E+00  0.0000E+00  3.2517E+01  3.2517E+01
 -1.2763E+00  0.0000E+00  2.0595E+01  2.0595E+01
 -1.2272E+00  0.0000E+00  1.4457E+01  1.4457E+01
 -1.1781E+00  0.0000E+00  9.4636E+00  9.4636E+00
 -1.1290E+00  0.0000E+00  6.7143E+00  6.7143E+00
 -1.0799E+00  0.0000E+00  5.8145E+00  5.8145E+00
 -1.0308E+00  0.0000E+00  6.1942E+00  6.1942E+00
 -9.8175E-01  0.0000E+00  7.8074E+00  7.8074E+00
 -9.3266E-01  0.0000E+00  1.0335E+01  1.0335E+01
 -8.8357E-01  0.0000E+00  1.3678E+01  1.3678E+01
 -8.3449E-01  0.0000E+00  1.6675E+01  1.6675E+01
 -7.8540E-01  0.0000E+00  1.8680E+01  1.8680E+01
 -7.3631E-01  0.0000E+00  1.9504E+01  1.9504E+01
 -6.8722E-01  0.0000E+00  1.9518E+01  1.9518E+01
 -6.3814E-01  0.0000E+00  1.9547E+01  1.9547E+01
 -5.8905E-01  0.0000E+00  1.8560E+01  1.8560E+01
 -5.3996E-01  0.0000E+00  1.8008E+01  1.8008E+01
 -4.9087E-01  0.0000E+00  1.7872E+01  1.7872E+01
 -4.4179E-01  0.0000E+00  1.6953E+01  1.6953E+01
 -3.9270E-01  0.0000E+00  1.5655E+01  1.5655E+01
 -3.4361E-01  0.0000E+00  1.4346E+01  1.4346E+01
 -2.9452E-01  0.0000E+00  1.3105E+01  1.3105E+01
 -2.4544E-01  0.0000E+00  1.2477E+01  1.2477E+01
 -1.9635E-01  0.0000E+00  1.1672E+01  1.1672E+01
 -1.4726E-01  0.0000E+00  1.1179E+01  1.1179E+01
 -9.8175E-02  0.0000E+00  1.0536E+01  1.0536E+01
 -4.9087E-02  0.0000E+00  9.9750E+00  9.9750E+00
  0.0000E+00  0.0000E+00  9.9555E+00  9.9555E+00
