# CREATED BY GENE DIAGNOSTICS TOOL on Sat Jan  9 16:18:13 2021
# diag: zprofile, run(s): 0007, time window: 434-434.112(1 steps), species: ions
# original data path: /ptmp/jproll/critgrad/TEMgradn/W7XLM/bean/scanfiles0002/
# normalization: L_ref=1.65m
#
# variable A = phi
#  z/qR       <|A|>       <|A|²>^½    <|A²|-|A|²
 -3.1416E+00  0.0000E+00  1.6093E+01  1.6093E+01
 -3.0925E+00  0.0000E+00  1.4590E+01  1.4590E+01
 -3.0434E+00  0.0000E+00  1.3926E+01  1.3926E+01
 -2.9943E+00  0.0000E+00  1.4285E+01  1.4285E+01
 -2.9452E+00  0.0000E+00  1.3794E+01  1.3794E+01
 -2.8962E+00  0.0000E+00  1.3314E+01  1.3314E+01
 -2.8471E+00  0.0000E+00  1.3885E+01  1.3885E+01
 -2.7980E+00  0.0000E+00  1.3799E+01  1.3799E+01
 -2.7489E+00  0.0000E+00  1.4112E+01  1.4112E+01
 -2.6998E+00  0.0000E+00  1.4783E+01  1.4783E+01
 -2.6507E+00  0.0000E+00  1.5688E+01  1.5688E+01
 -2.6016E+00  0.0000E+00  1.6165E+01  1.6165E+01
 -2.5525E+00  0.0000E+00  1.5776E+01  1.5776E+01
 -2.5035E+00  0.0000E+00  1.5883E+01  1.5883E+01
 -2.4544E+00  0.0000E+00  1.5530E+01  1.5530E+01
 -2.4053E+00  0.0000E+00  1.5440E+01  1.5440E+01
 -2.3562E+00  0.0000E+00  1.4919E+01  1.4919E+01
 -2.3071E+00  0.0000E+00  1.4247E+01  1.4247E+01
 -2.2580E+00  0.0000E+00  1.3836E+01  1.3836E+01
 -2.2089E+00  0.0000E+00  1.3698E+01  1.3698E+01
 -2.1598E+00  0.0000E+00  1.3684E+01  1.3684E+01
 -2.1108E+00  0.0000E+00  1.3825E+01  1.3825E+01
 -2.0617E+00  0.0000E+00  1.3982E+01  1.3982E+01
 -2.0126E+00  0.0000E+00  1.4264E+01  1.4264E+01
 -1.9635E+00  0.0000E+00  1.4690E+01  1.4690E+01
 -1.9144E+00  0.0000E+00  1.5360E+01  1.5360E+01
 -1.8653E+00  0.0000E+00  1.5997E+01  1.5997E+01
 -1.8162E+00  0.0000E+00  1.6957E+01  1.6957E+01
 -1.7671E+00  0.0000E+00  1.8928E+01  1.8928E+01
 -1.7181E+00  0.0000E+00  2.0315E+01  2.0315E+01
 -1.6690E+00  0.0000E+00  2.1137E+01  2.1137E+01
 -1.6199E+00  0.0000E+00  2.2819E+01  2.2819E+01
 -1.5708E+00  0.0000E+00  2.3268E+01  2.3268E+01
 -1.5217E+00  0.0000E+00  2.5147E+01  2.5147E+01
 -1.4726E+00  0.0000E+00  2.6427E+01  2.6427E+01
 -1.4235E+00  0.0000E+00  2.7074E+01  2.7074E+01
 -1.3744E+00  0.0000E+00  2.7985E+01  2.7985E+01
 -1.3254E+00  0.0000E+00  2.7735E+01  2.7735E+01
 -1.2763E+00  0.0000E+00  2.9293E+01  2.9293E+01
 -1.2272E+00  0.0000E+00  2.7852E+01  2.7852E+01
 -1.1781E+00  0.0000E+00  2.7866E+01  2.7866E+01
