# CREATED BY GENE DIAGNOSTICS TOOL on Sat Jan  9 16:18:41 2021
# diag: zprofile, run(s): 0009, time window: 342.17-342.176(1 steps), species: ions
# original data path: /ptmp/jproll/critgrad/TEMgradn/W7XLM/bean/scanfiles0002/
# normalization: L_ref=1.65m
#
# variable A = phi
#  z/qR       <|A|>       <|A|²>^½    <|A²|-|A|²
 -3.1416E+00  0.0000E+00  2.2851E+04  2.2851E+04
 -3.0925E+00  0.0000E+00  2.0205E+04  2.0205E+04
 -3.0434E+00  0.0000E+00  1.9616E+04  1.9616E+04
 -2.9943E+00  0.0000E+00  2.0942E+04  2.0942E+04
 -2.9452E+00  0.0000E+00  2.1279E+04  2.1279E+04
 -2.8962E+00  0.0000E+00  2.1479E+04  2.1479E+04
 -2.8471E+00  0.0000E+00  2.3863E+04  2.3863E+04
 -2.7980E+00  0.0000E+00  2.4813E+04  2.4813E+04
 -2.7489E+00  0.0000E+00  2.6413E+04  2.6413E+04
 -2.6998E+00  0.0000E+00  2.7773E+04  2.7773E+04
 -2.6507E+00  0.0000E+00  2.9531E+04  2.9531E+04
 -2.6016E+00  0.0000E+00  3.0619E+04  3.0619E+04
 -2.5525E+00  0.0000E+00  3.0669E+04  3.0669E+04
 -2.5035E+00  0.0000E+00  3.1320E+04  3.1320E+04
 -2.4544E+00  0.0000E+00  3.1140E+04  3.1140E+04
 -2.4053E+00  0.0000E+00  3.1186E+04  3.1186E+04
 -2.3562E+00  0.0000E+00  3.0356E+04  3.0356E+04
 -2.3071E+00  0.0000E+00  2.8934E+04  2.8934E+04
 -2.2580E+00  0.0000E+00  2.7629E+04  2.7629E+04
 -2.2089E+00  0.0000E+00  2.6305E+04  2.6305E+04
 -2.1598E+00  0.0000E+00  2.4974E+04  2.4974E+04
 -2.1108E+00  0.0000E+00  2.3637E+04  2.3637E+04
 -2.0617E+00  0.0000E+00  2.2357E+04  2.2357E+04
 -2.0126E+00  0.0000E+00  2.1015E+04  2.1015E+04
 -1.9635E+00  0.0000E+00  1.9758E+04  1.9758E+04
 -1.9144E+00  0.0000E+00  1.8766E+04  1.8766E+04
 -1.8653E+00  0.0000E+00  1.7969E+04  1.7969E+04
 -1.8162E+00  0.0000E+00  1.7356E+04  1.7356E+04
 -1.7671E+00  0.0000E+00  1.7797E+04  1.7797E+04
 -1.7181E+00  0.0000E+00  1.8538E+04  1.8538E+04
 -1.6690E+00  0.0000E+00  1.8850E+04  1.8850E+04
 -1.6199E+00  0.0000E+00  2.0193E+04  2.0193E+04
 -1.5708E+00  0.0000E+00  2.0641E+04  2.0641E+04
 -1.5217E+00  0.0000E+00  2.2268E+04  2.2268E+04
 -1.4726E+00  0.0000E+00  2.3530E+04  2.3530E+04
 -1.4235E+00  0.0000E+00  2.3940E+04  2.3940E+04
 -1.3744E+00  0.0000E+00  2.4700E+04  2.4700E+04
 -1.3254E+00  0.0000E+00  2.4184E+04  2.4184E+04
 -1.2763E+00  0.0000E+00  2.5196E+04  2.5196E+04
 -1.2272E+00  0.0000E+00  2.3683E+04  2.3683E+04
 -1.1781E+00  0.0000E+00  2.3357E+04  2.3357E+04
 -1.1290E+00  0.0000E+00  2.2689E+04  2.2689E+04
 -1.0799E+00  0.0000E+00  2.2073E+04  2.2073E+04
 -1.0308E+00  0.0000E+00  2.1286E+04  2.1286E+04
 -9.8175E-01  0.0000E+00  2.0561E+04  2.0561E+04
 -9.3266E-01  0.0000E+00  2.0273E+04  2.0273E+04
 -8.8357E-01  0.0000E+00  1.9864E+04  1.9864E+04
 -8.3449E-01  0.0000E+00  1.9593E+04  1.9593E+04
 -7.8540E-01  0.0000E+00  1.9184E+04  1.9184E+04
 -7.3631E-01  0.0000E+00  1.8914E+04  1.8914E+04
 -6.8722E-01  0.0000E+00  1.8779E+04  1.8779E+04
 -6.3814E-01  0.0000E+00  1.8278E+04  1.8278E+04
 -5.8905E-01  0.0000E+00  1.8262E+04  1.8262E+04
 -5.3996E-01  0.0000E+00  1.7636E+04  1.7636E+04
 -4.9087E-01  0.0000E+00  1.6372E+04  1.6372E+04
 -4.4179E-01  0.0000E+00  1.6123E+04  1.6123E+04
 -3.9270E-01  0.0000E+00  1.6309E+04  1.6309E+04
 -3.4361E-01  0.0000E+00  1.6384E+04  1.6384E+04
 -2.9452E-01  0.0000E+00  1.7091E+04  1.7091E+04
 -2.4544E-01  0.0000E+00  1.7401E+04  1.7401E+04
 -1.9635E-01  0.0000E+00  1.8564E+04  1.8564E+04
 -1.4726E-01  0.0000E+00  1.9785E+04  1.9785E+04
 -9.8175E-02  0.0000E+00  1.9696E+04  1.9696E+04
 -4.9087E-02  0.0000E+00  2.1065E+04  2.1065E+04
  0.0000E+00  0.0000E+00  2.1101E+04  2.1101E+04
  4.9087E-02  0.0000E+00  2.1124E+04  2.1124E+04
  9.8175E-02  0.0000E+00  1.9775E+04  1.9775E+04
  1.4726E-01  0.0000E+00  1.9936E+04  1.9936E+04
  1.9635E-01  0.0000E+00  1.8666E+04  1.8666E+04
  2.4544E-01  0.0000E+00  1.7518E+04  1.7518E+04
  2.9452E-01  0.0000E+00  1.7130E+04  1.7130E+04
  3.4361E-01  0.0000E+00  1.6360E+04  1.6360E+04
  3.9270E-01  0.0000E+00  1.6213E+04  1.6213E+04
  4.4179E-01  0.0000E+00  1.5985E+04  1.5985E+04
  4.9087E-01  0.0000E+00  1.6308E+04  1.6308E+04
  5.3996E-01  0.0000E+00  1.7559E+04  1.7559E+04
  5.8905E-01  0.0000E+00  1.8145E+04  1.8145E+04
  6.3814E-01  0.0000E+00  1.8360E+04  1.8360E+04
  6.8722E-01  0.0000E+00  1.9036E+04  1.9036E+04
  7.3631E-01  0.0000E+00  1.9284E+04  1.9284E+04
  7.8540E-01  0.0000E+00  1.9826E+04  1.9826E+04
  8.3449E-01  0.0000E+00  2.0428E+04  2.0428E+04
  8.8357E-01  0.0000E+00  2.0842E+04  2.0842E+04
  9.3266E-01  0.0000E+00  2.1359E+04  2.1359E+04
  9.8175E-01  0.0000E+00  2.1685E+04  2.1685E+04
  1.0308E+00  0.0000E+00  2.2461E+04  2.2461E+04
  1.0799E+00  0.0000E+00  2.3228E+04  2.3228E+04
  1.1290E+00  0.0000E+00  2.3805E+04  2.3805E+04
  1.1781E+00  0.0000E+00  2.4392E+04  2.4392E+04
  1.2272E+00  0.0000E+00  2.4688E+04  2.4688E+04
  1.2763E+00  0.0000E+00  2.6194E+04  2.6194E+04
  1.3254E+00  0.0000E+00  2.5119E+04  2.5119E+04
  1.3744E+00  0.0000E+00  2.5617E+04  2.5617E+04
  1.4235E+00  0.0000E+00  2.4828E+04  2.4828E+04
  1.4726E+00  0.0000E+00  2.4370E+04  2.4370E+04
  1.5217E+00  0.0000E+00  2.3012E+04  2.3012E+04
  1.5708E+00  0.0000E+00  2.1269E+04  2.1269E+04
  1.6199E+00  0.0000E+00  2.0840E+04  2.0840E+04
  1.6690E+00  0.0000E+00  1.9398E+04  1.9398E+04
  1.7181E+00  0.0000E+00  1.9081E+04  1.9081E+04
  1.7671E+00  0.0000E+00  1.8217E+04  1.8217E+04
  1.8162E+00  0.0000E+00  1.7517E+04  1.7517E+04
  1.8653E+00  0.0000E+00  1.7917E+04  1.7917E+04
  1.9144E+00  0.0000E+00  1.8576E+04  1.8576E+04
  1.9635E+00  0.0000E+00  1.9408E+04  1.9408E+04
  2.0126E+00  0.0000E+00  2.0568E+04  2.0568E+04
  2.0617E+00  0.0000E+00  2.1828E+04  2.1828E+04
  2.1108E+00  0.0000E+00  2.3063E+04  2.3063E+04
  2.1598E+00  0.0000E+00  2.4361E+04  2.4361E+04
  2.2089E+00  0.0000E+00  2.5655E+04  2.5655E+04
  2.2580E+00  0.0000E+00  2.6961E+04  2.6961E+04
  2.3071E+00  0.0000E+00  2.8250E+04  2.8250E+04
  2.3562E+00  0.0000E+00  2.9666E+04  2.9666E+04
  2.4053E+00  0.0000E+00  3.0531E+04  3.0531E+04
  2.4544E+00  0.0000E+00  3.0502E+04  3.0502E+04
  2.5035E+00  0.0000E+00  3.0788E+04  3.0788E+04
  2.5525E+00  0.0000E+00  3.0132E+04  3.0132E+04
  2.6016E+00  0.0000E+00  3.0249E+04  3.0249E+04
  2.6507E+00  0.0000E+00  2.9157E+04  2.9157E+04
  2.6998E+00  0.0000E+00  2.7633E+04  2.7633E+04
  2.7489E+00  0.0000E+00  2.6308E+04  2.6308E+04
  2.7980E+00  0.0000E+00  2.4838E+04  2.4838E+04
  2.8471E+00  0.0000E+00  2.3861E+04  2.3861E+04
  2.8962E+00  0.0000E+00  2.1548E+04  2.1548E+04
  2.9452E+00  0.0000E+00  2.1152E+04  2.1152E+04
  2.9943E+00  0.0000E+00  2.1122E+04  2.1122E+04
  3.0434E+00  0.0000E+00  1.9389E+04  1.9389E+04
  3.0925E+00  0.0000E+00  2.1968E+04  2.1968E+04
