# CREATED BY GENE DIAGNOSTICS TOOL on Sat Jan  9 16:28:20 2021
# diag: zprofile, run(s): 0028, time window: 4175.9-4176(1 steps), species: ions
# original data path: /ptmp/jproll/critgrad/TEMgradn/W7XLM/bean/scanfiles0002/
# normalization: L_ref=1.65m
#
# variable A = phi
#  z/qR       <|A|>       <|A|²>^½    <|A²|-|A|²
 -3.1416E+00  0.0000E+00  1.0664E+01  1.0664E+01
 -3.0925E+00  0.0000E+00  1.0165E+01  1.0165E+01
 -3.0434E+00  0.0000E+00  9.3652E+00  9.3652E+00
 -2.9943E+00  0.0000E+00  9.0148E+00  9.0148E+00
 -2.9452E+00  0.0000E+00  8.2506E+00  8.2506E+00
 -2.8962E+00  0.0000E+00  7.4478E+00  7.4478E+00
 -2.8471E+00  0.0000E+00  7.2297E+00  7.2297E+00
 -2.7980E+00  0.0000E+00  6.9715E+00  6.9715E+00
 -2.7489E+00  0.0000E+00  6.8445E+00  6.8445E+00
 -2.6998E+00  0.0000E+00  6.7689E+00  6.7689E+00
 -2.6507E+00  0.0000E+00  6.8420E+00  6.8420E+00
 -2.6016E+00  0.0000E+00  6.9041E+00  6.9041E+00
 -2.5525E+00  0.0000E+00  6.7721E+00  6.7721E+00
 -2.5035E+00  0.0000E+00  6.8846E+00  6.8846E+00
 -2.4544E+00  0.0000E+00  7.0865E+00  7.0865E+00
 -2.4053E+00  0.0000E+00  7.4577E+00  7.4577E+00
 -2.3562E+00  0.0000E+00  7.8142E+00  7.8142E+00
 -2.3071E+00  0.0000E+00  8.0802E+00  8.0802E+00
 -2.2580E+00  0.0000E+00  8.5236E+00  8.5236E+00
 -2.2089E+00  0.0000E+00  9.0387E+00  9.0387E+00
 -2.1598E+00  0.0000E+00  9.5564E+00  9.5564E+00
 -2.1108E+00  0.0000E+00  1.0076E+01  1.0076E+01
 -2.0617E+00  0.0000E+00  1.0629E+01  1.0629E+01
 -2.0126E+00  0.0000E+00  1.1220E+01  1.1220E+01
 -1.9635E+00  0.0000E+00  1.1932E+01  1.1932E+01
 -1.9144E+00  0.0000E+00  1.2673E+01  1.2673E+01
 -1.8653E+00  0.0000E+00  1.3332E+01  1.3332E+01
 -1.8162E+00  0.0000E+00  1.4230E+01  1.4230E+01
 -1.7671E+00  0.0000E+00  1.6041E+01  1.6041E+01
