# CREATED BY GENE DIAGNOSTICS TOOL on Fri Nov 20 16:36:48 2020
# diag: zprofile, run(s): 0003, time window: 710-716.3035(25 steps), species: ions
# original data path: /ptmp/jproll/critgrad/TEMgradn/W7XSC/bean/scanfiles0002/
# normalization: L_ref=1.65m
#
# variable A = phi
#  z/qR       <|A|>       <|A|²>^½    <|A²|-|A|²
 -3.1416E+00  0.0000E+00  2.7189E+05  2.7189E+05
 -3.0925E+00  0.0000E+00  2.6854E+05  2.6854E+05
 -3.0434E+00  0.0000E+00  2.4723E+05  2.4723E+05
 -2.9943E+00  0.0000E+00  2.6923E+05  2.6923E+05
 -2.9452E+00  0.0000E+00  2.9038E+05  2.9038E+05
 -2.8962E+00  0.0000E+00  3.4822E+05  3.4822E+05
 -2.8471E+00  0.0000E+00  3.8347E+05  3.8347E+05
 -2.7980E+00  0.0000E+00  4.2834E+05  4.2834E+05
 -2.7489E+00  0.0000E+00  4.1862E+05  4.1862E+05
 -2.6998E+00  0.0000E+00  3.8707E+05  3.8707E+05
 -2.6507E+00  0.0000E+00  3.4488E+05  3.4488E+05
 -2.6016E+00  0.0000E+00  3.2001E+05  3.2001E+05
 -2.5525E+00  0.0000E+00  3.0325E+05  3.0325E+05
 -2.5035E+00  0.0000E+00  3.0271E+05  3.0271E+05
 -2.4544E+00  0.0000E+00  2.9970E+05  2.9970E+05
 -2.4053E+00  0.0000E+00  3.0609E+05  3.0609E+05
 -2.3562E+00  0.0000E+00  3.0152E+05  3.0152E+05
 -2.3071E+00  0.0000E+00  3.0812E+05  3.0812E+05
 -2.2580E+00  0.0000E+00  3.2016E+05  3.2016E+05
 -2.2089E+00  0.0000E+00  3.3884E+05  3.3884E+05
 -2.1598E+00  0.0000E+00  3.5668E+05  3.5668E+05
 -2.1108E+00  0.0000E+00  3.8275E+05  3.8275E+05
 -2.0617E+00  0.0000E+00  4.1095E+05  4.1095E+05
 -2.0126E+00  0.0000E+00  4.4190E+05  4.4190E+05
 -1.9635E+00  0.0000E+00  4.7317E+05  4.7317E+05
 -1.9144E+00  0.0000E+00  4.9166E+05  4.9166E+05
 -1.8653E+00  0.0000E+00  4.9383E+05  4.9383E+05
 -1.8162E+00  0.0000E+00  5.2670E+05  5.2670E+05
 -1.7671E+00  0.0000E+00  6.1153E+05  6.1153E+05
 -1.7181E+00  0.0000E+00  7.2910E+05  7.2910E+05
 -1.6690E+00  0.0000E+00  8.8137E+05  8.8137E+05
 -1.6199E+00  0.0000E+00  9.8715E+05  9.8715E+05
 -1.5708E+00  0.0000E+00  1.0861E+06  1.0861E+06
 -1.5217E+00  0.0000E+00  1.0511E+06  1.0511E+06
 -1.4726E+00  0.0000E+00  1.0202E+06  1.0202E+06
 -1.4235E+00  0.0000E+00  9.2093E+05  9.2093E+05
 -1.3744E+00  0.0000E+00  8.5044E+05  8.5044E+05
 -1.3254E+00  0.0000E+00  7.5748E+05  7.5748E+05
 -1.2763E+00  0.0000E+00  6.7788E+05  6.7788E+05
 -1.2272E+00  0.0000E+00  6.1633E+05  6.1633E+05
 -1.1781E+00  0.0000E+00  5.9293E+05  5.9293E+05
 -1.1290E+00  0.0000E+00  5.8242E+05  5.8242E+05
 -1.0799E+00  0.0000E+00  5.9569E+05  5.9569E+05
 -1.0308E+00  0.0000E+00  5.8535E+05  5.8535E+05
 -9.8175E-01  0.0000E+00  5.7410E+05  5.7410E+05
 -9.3266E-01  0.0000E+00  5.7406E+05  5.7406E+05
 -8.8357E-01  0.0000E+00  5.5330E+05  5.5330E+05
 -8.3449E-01  0.0000E+00  5.3275E+05  5.3275E+05
 -7.8540E-01  0.0000E+00  5.0318E+05  5.0318E+05
 -7.3631E-01  0.0000E+00  4.9623E+05  4.9623E+05
 -6.8722E-01  0.0000E+00  5.1978E+05  5.1978E+05
 -6.3814E-01  0.0000E+00  5.3357E+05  5.3357E+05
 -5.8905E-01  0.0000E+00  5.6992E+05  5.6992E+05
 -5.3996E-01  0.0000E+00  6.0999E+05  6.0999E+05
 -4.9087E-01  0.0000E+00  6.1631E+05  6.1631E+05
 -4.4179E-01  0.0000E+00  6.4875E+05  6.4875E+05
 -3.9270E-01  0.0000E+00  6.8727E+05  6.8727E+05
 -3.4361E-01  0.0000E+00  7.1699E+05  7.1699E+05
 -2.9452E-01  0.0000E+00  7.4416E+05  7.4416E+05
 -2.4544E-01  0.0000E+00  7.6564E+05  7.6564E+05
 -1.9635E-01  0.0000E+00  7.6939E+05  7.6939E+05
 -1.4726E-01  0.0000E+00  7.6993E+05  7.6993E+05
 -9.8175E-02  0.0000E+00  7.6556E+05  7.6556E+05
 -4.9087E-02  0.0000E+00  7.5539E+05  7.5539E+05
  0.0000E+00  0.0000E+00  7.4619E+05  7.4619E+05
  4.9087E-02  0.0000E+00  7.4731E+05  7.4731E+05
  9.8175E-02  0.0000E+00  7.5083E+05  7.5083E+05
  1.4726E-01  0.0000E+00  7.4889E+05  7.4889E+05
  1.9635E-01  0.0000E+00  7.4295E+05  7.4295E+05
  2.4544E-01  0.0000E+00  7.3513E+05  7.3513E+05
  2.9452E-01  0.0000E+00  7.1128E+05  7.1128E+05
  3.4361E-01  0.0000E+00  6.8439E+05  6.8439E+05
  3.9270E-01  0.0000E+00  6.5580E+05  6.5580E+05
  4.4179E-01  0.0000E+00  6.2099E+05  6.2099E+05
  4.9087E-01  0.0000E+00  5.9143E+05  5.9143E+05
  5.3996E-01  0.0000E+00  5.8630E+05  5.8630E+05
  5.8905E-01  0.0000E+00  5.5500E+05  5.5500E+05
  6.3814E-01  0.0000E+00  5.2572E+05  5.2572E+05
  6.8722E-01  0.0000E+00  5.1680E+05  5.1680E+05
  7.3631E-01  0.0000E+00  4.9980E+05  4.9980E+05
  7.8540E-01  0.0000E+00  5.1425E+05  5.1425E+05
  8.3449E-01  0.0000E+00  5.5707E+05  5.5707E+05
  8.8357E-01  0.0000E+00  5.9159E+05  5.9159E+05
  9.3266E-01  0.0000E+00  6.2559E+05  6.2559E+05
  9.8175E-01  0.0000E+00  6.3483E+05  6.3483E+05
  1.0308E+00  0.0000E+00  6.5279E+05  6.5279E+05
  1.0799E+00  0.0000E+00  6.6803E+05  6.6803E+05
  1.1290E+00  0.0000E+00  6.4964E+05  6.4964E+05
  1.1781E+00  0.0000E+00  6.5316E+05  6.5316E+05
  1.2272E+00  0.0000E+00  6.6049E+05  6.6049E+05
  1.2763E+00  0.0000E+00  7.2277E+05  7.2277E+05
  1.3254E+00  0.0000E+00  7.9796E+05  7.9796E+05
  1.3744E+00  0.0000E+00  8.9351E+05  8.9351E+05
  1.4235E+00  0.0000E+00  9.6791E+05  9.6791E+05
  1.4726E+00  0.0000E+00  1.0718E+06  1.0718E+06
  1.5217E+00  0.0000E+00  1.1019E+06  1.1019E+06
  1.5708E+00  0.0000E+00  1.1339E+06  1.1339E+06
  1.6199E+00  0.0000E+00  1.0161E+06  1.0161E+06
  1.6690E+00  0.0000E+00  8.8649E+05  8.8649E+05
  1.7181E+00  0.0000E+00  7.1088E+05  7.1088E+05
  1.7671E+00  0.0000E+00  5.8857E+05  5.8857E+05
  1.8162E+00  0.0000E+00  5.0007E+05  5.0007E+05
  1.8653E+00  0.0000E+00  4.8322E+05  4.8322E+05
  1.9144E+00  0.0000E+00  4.9137E+05  4.9137E+05
  1.9635E+00  0.0000E+00  4.7487E+05  4.7487E+05
  2.0126E+00  0.0000E+00  4.4070E+05  4.4070E+05
  2.0617E+00  0.0000E+00  4.0704E+05  4.0704E+05
  2.1108E+00  0.0000E+00  3.7290E+05  3.7290E+05
  2.1598E+00  0.0000E+00  3.4446E+05  3.4446E+05
  2.2089E+00  0.0000E+00  3.2278E+05  3.2278E+05
  2.2580E+00  0.0000E+00  3.0760E+05  3.0760E+05
  2.3071E+00  0.0000E+00  3.0092E+05  3.0092E+05
  2.3562E+00  0.0000E+00  3.0777E+05  3.0777E+05
  2.4053E+00  0.0000E+00  3.2735E+05  3.2735E+05
  2.4544E+00  0.0000E+00  3.4344E+05  3.4344E+05
  2.5035E+00  0.0000E+00  3.6567E+05  3.6567E+05
  2.5525E+00  0.0000E+00  3.8866E+05  3.8866E+05
  2.6016E+00  0.0000E+00  4.1809E+05  4.1809E+05
  2.6507E+00  0.0000E+00  4.4768E+05  4.4768E+05
  2.6998E+00  0.0000E+00  4.9201E+05  4.9201E+05
  2.7489E+00  0.0000E+00  5.2253E+05  5.2253E+05
  2.7980E+00  0.0000E+00  5.1896E+05  5.1896E+05
  2.8471E+00  0.0000E+00  4.5989E+05  4.5989E+05
  2.8962E+00  0.0000E+00  4.0057E+05  4.0057E+05
  2.9452E+00  0.0000E+00  3.2620E+05  3.2620E+05
  2.9943E+00  0.0000E+00  2.9507E+05  2.9507E+05
