# CREATED BY GENE DIAGNOSTICS TOOL on Wed Nov 25 10:32:26 2020
# diag: zprofile, run(s): 0015, time window: 99-100.893(8 steps), species: ions
# original data path: /ptmp/jproll/critgrad/TEMgradn/W7XSC/bean/scanfiles0002/
# normalization: L_ref=1.65m
#
# variable A = phi
#  z/qR       <|A|>       <|A|²>^½    <|A²|-|A|²
 -3.1416E+00  0.0000E+00  1.0789E+00  1.0789E+00
 -3.0925E+00  0.0000E+00  1.0386E+00  1.0386E+00
 -3.0434E+00  0.0000E+00  1.0137E+00  1.0137E+00
 -2.9943E+00  0.0000E+00  1.0846E+00  1.0846E+00
 -2.9452E+00  0.0000E+00  1.2581E+00  1.2581E+00
 -2.8962E+00  0.0000E+00  1.5217E+00  1.5217E+00
 -2.8471E+00  0.0000E+00  1.7361E+00  1.7361E+00
 -2.7980E+00  0.0000E+00  1.9203E+00  1.9203E+00
 -2.7489E+00  0.0000E+00  1.9268E+00  1.9268E+00
 -2.6998E+00  0.0000E+00  1.8117E+00  1.8117E+00
 -2.6507E+00  0.0000E+00  1.6370E+00  1.6370E+00
 -2.6016E+00  0.0000E+00  1.4883E+00  1.4883E+00
 -2.5525E+00  0.0000E+00  1.3397E+00  1.3397E+00
 -2.5035E+00  0.0000E+00  1.2168E+00  1.2168E+00
 -2.4544E+00  0.0000E+00  1.0953E+00  1.0953E+00
 -2.4053E+00  0.0000E+00  9.7900E-01  9.7900E-01
 -2.3562E+00  0.0000E+00  8.6589E-01  8.6589E-01
 -2.3071E+00  0.0000E+00  7.9109E-01  7.9109E-01
 -2.2580E+00  0.0000E+00  7.9378E-01  7.9378E-01
 -2.2089E+00  0.0000E+00  8.7203E-01  8.7203E-01
 -2.1598E+00  0.0000E+00  1.0178E+00  1.0178E+00
 -2.1108E+00  0.0000E+00  1.2341E+00  1.2341E+00
 -2.0617E+00  0.0000E+00  1.4933E+00  1.4933E+00
 -2.0126E+00  0.0000E+00  1.7683E+00  1.7683E+00
 -1.9635E+00  0.0000E+00  2.0256E+00  2.0256E+00
 -1.9144E+00  0.0000E+00  2.1992E+00  2.1992E+00
 -1.8653E+00  0.0000E+00  2.2573E+00  2.2573E+00
 -1.8162E+00  0.0000E+00  2.4574E+00  2.4574E+00
 -1.7671E+00  0.0000E+00  2.9433E+00  2.9433E+00
 -1.7181E+00  0.0000E+00  3.6306E+00  3.6306E+00
 -1.6690E+00  0.0000E+00  4.5097E+00  4.5097E+00
 -1.6199E+00  0.0000E+00  5.2243E+00  5.2243E+00
 -1.5708E+00  0.0000E+00  5.7326E+00  5.7326E+00
 -1.5217E+00  0.0000E+00  5.6765E+00  5.6765E+00
 -1.4726E+00  0.0000E+00  5.4412E+00  5.4412E+00
 -1.4235E+00  0.0000E+00  4.9382E+00  4.9382E+00
 -1.3744E+00  0.0000E+00  4.4543E+00  4.4543E+00
 -1.3254E+00  0.0000E+00  3.8735E+00  3.8735E+00
 -1.2763E+00  0.0000E+00  3.2784E+00  3.2784E+00
 -1.2272E+00  0.0000E+00  2.8077E+00  2.8077E+00
 -1.1781E+00  0.0000E+00  2.3799E+00  2.3799E+00
 -1.1290E+00  0.0000E+00  2.1091E+00  2.1091E+00
 -1.0799E+00  0.0000E+00  1.9562E+00  1.9562E+00
 -1.0308E+00  0.0000E+00  1.8127E+00  1.8127E+00
 -9.8175E-01  0.0000E+00  1.6580E+00  1.6580E+00
 -9.3266E-01  0.0000E+00  1.5731E+00  1.5731E+00
 -8.8357E-01  0.0000E+00  1.4693E+00  1.4693E+00
 -8.3449E-01  0.0000E+00  1.4024E+00  1.4024E+00
 -7.8540E-01  0.0000E+00  1.4082E+00  1.4082E+00
 -7.3631E-01  0.0000E+00  1.4893E+00  1.4893E+00
 -6.8722E-01  0.0000E+00  1.5412E+00  1.5412E+00
 -6.3814E-01  0.0000E+00  1.5706E+00  1.5706E+00
 -5.8905E-01  0.0000E+00  1.6065E+00  1.6065E+00
 -5.3996E-01  0.0000E+00  1.7127E+00  1.7127E+00
 -4.9087E-01  0.0000E+00  1.8639E+00  1.8639E+00
 -4.4179E-01  0.0000E+00  2.0629E+00  2.0629E+00
 -3.9270E-01  0.0000E+00  2.2483E+00  2.2483E+00
 -3.4361E-01  0.0000E+00  2.3852E+00  2.3852E+00
 -2.9452E-01  0.0000E+00  2.4978E+00  2.4978E+00
 -2.4544E-01  0.0000E+00  2.6068E+00  2.6068E+00
 -1.9635E-01  0.0000E+00  2.6313E+00  2.6313E+00
 -1.4726E-01  0.0000E+00  2.6451E+00  2.6451E+00
 -9.8175E-02  0.0000E+00  2.6324E+00  2.6324E+00
 -4.9087E-02  0.0000E+00  2.5593E+00  2.5593E+00
  0.0000E+00  0.0000E+00  2.5214E+00  2.5214E+00
  4.9087E-02  0.0000E+00  2.5597E+00  2.5597E+00
  9.8175E-02  0.0000E+00  2.6332E+00  2.6332E+00
  1.4726E-01  0.0000E+00  2.6458E+00  2.6458E+00
  1.9635E-01  0.0000E+00  2.6326E+00  2.6326E+00
  2.4544E-01  0.0000E+00  2.6082E+00  2.6082E+00
  2.9452E-01  0.0000E+00  2.4998E+00  2.4998E+00
  3.4361E-01  0.0000E+00  2.3882E+00  2.3882E+00
  3.9270E-01  0.0000E+00  2.2520E+00  2.2520E+00
  4.4179E-01  0.0000E+00  2.0677E+00  2.0677E+00
  4.9087E-01  0.0000E+00  1.8695E+00  1.8695E+00
  5.3996E-01  0.0000E+00  1.7188E+00  1.7188E+00
  5.8905E-01  0.0000E+00  1.6140E+00  1.6140E+00
  6.3814E-01  0.0000E+00  1.5785E+00  1.5785E+00
  6.8722E-01  0.0000E+00  1.5482E+00  1.5482E+00
  7.3631E-01  0.0000E+00  1.4948E+00  1.4948E+00
  7.8540E-01  0.0000E+00  1.4096E+00  1.4096E+00
  8.3449E-01  0.0000E+00  1.3994E+00  1.3994E+00
  8.8357E-01  0.0000E+00  1.4628E+00  1.4628E+00
  9.3266E-01  0.0000E+00  1.5645E+00  1.5645E+00
  9.8175E-01  0.0000E+00  1.6478E+00  1.6478E+00
  1.0308E+00  0.0000E+00  1.8011E+00  1.8011E+00
  1.0799E+00  0.0000E+00  1.9450E+00  1.9450E+00
  1.1290E+00  0.0000E+00  2.0989E+00  2.0989E+00
  1.1781E+00  0.0000E+00  2.3717E+00  2.3717E+00
  1.2272E+00  0.0000E+00  2.8017E+00  2.8017E+00
  1.2763E+00  0.0000E+00  3.2746E+00  3.2746E+00
  1.3254E+00  0.0000E+00  3.8713E+00  3.8713E+00
  1.3744E+00  0.0000E+00  4.4527E+00  4.4527E+00
  1.4235E+00  0.0000E+00  4.9375E+00  4.9375E+00
  1.4726E+00  0.0000E+00  5.4400E+00  5.4400E+00
  1.5217E+00  0.0000E+00  5.6748E+00  5.6748E+00
  1.5708E+00  0.0000E+00  5.7295E+00  5.7295E+00
  1.6199E+00  0.0000E+00  5.2202E+00  5.2202E+00
  1.6690E+00  0.0000E+00  4.5048E+00  4.5048E+00
  1.7181E+00  0.0000E+00  3.6263E+00  3.6263E+00
  1.7671E+00  0.0000E+00  2.9400E+00  2.9400E+00
  1.8162E+00  0.0000E+00  2.4506E+00  2.4506E+00
  1.8653E+00  0.0000E+00  2.2449E+00  2.2449E+00
  1.9144E+00  0.0000E+00  2.1809E+00  2.1809E+00
  1.9635E+00  0.0000E+00  2.0030E+00  2.0030E+00
  2.0126E+00  0.0000E+00  1.7444E+00  1.7444E+00
  2.0617E+00  0.0000E+00  1.4718E+00  1.4718E+00
  2.1108E+00  0.0000E+00  1.2179E+00  1.2179E+00
  2.1598E+00  0.0000E+00  1.0082E+00  1.0082E+00
  2.2089E+00  0.0000E+00  8.6778E-01  8.6778E-01
  2.2580E+00  0.0000E+00  7.9102E-01  7.9102E-01
  2.3071E+00  0.0000E+00  7.8466E-01  7.8466E-01
  2.3562E+00  0.0000E+00  8.5305E-01  8.5305E-01
  2.4053E+00  0.0000E+00  9.5972E-01  9.5972E-01
  2.4544E+00  0.0000E+00  1.0718E+00  1.0718E+00
  2.5035E+00  0.0000E+00  1.1903E+00  1.1903E+00
  2.5525E+00  0.0000E+00  1.3115E+00  1.3115E+00
  2.6016E+00  0.0000E+00  1.4604E+00  1.4604E+00
  2.6507E+00  0.0000E+00  1.6095E+00  1.6095E+00
  2.6998E+00  0.0000E+00  1.7855E+00  1.7855E+00
  2.7489E+00  0.0000E+00  1.9021E+00  1.9021E+00
  2.7980E+00  0.0000E+00  1.8971E+00  1.8971E+00
  2.8471E+00  0.0000E+00  1.7138E+00  1.7138E+00
  2.8962E+00  0.0000E+00  1.4978E+00  1.4978E+00
  2.9452E+00  0.0000E+00  1.2307E+00  1.2307E+00
  2.9943E+00  0.0000E+00  1.0473E+00  1.0473E+00
  3.0434E+00  0.0000E+00  9.7818E-01  9.7818E-01
  3.0925E+00  0.0000E+00  1.0170E+00  1.0170E+00
