# CREATED BY GENE DIAGNOSTICS TOOL on Sun Apr 24 20:23:59 2022
# diag: zprofile, run(s): 0021, time window: 0-2000(1 steps), species: i
# original data path: /marconi_scratch/userexternal/pmulholl/p38/scanfiles0010/
# normalization: L_ref=1.65m
#
# variable A = phi
#  z/qR       <|A|>       <|A|²>^½    <|A²|-|A|²
 -3.1416E+00  0.0000E+00  1.5206E+12  1.5206E+12
 -3.0925E+00  0.0000E+00  1.5859E+12  1.5859E+12
 -3.0434E+00  0.0000E+00  1.7188E+12  1.7188E+12
 -2.9943E+00  0.0000E+00  2.0778E+12  2.0778E+12
 -2.9452E+00  0.0000E+00  2.2877E+12  2.2877E+12
 -2.8962E+00  0.0000E+00  2.4489E+12  2.4489E+12
 -2.8471E+00  0.0000E+00  2.6097E+12  2.6097E+12
 -2.7980E+00  0.0000E+00  2.6499E+12  2.6499E+12
 -2.7489E+00  0.0000E+00  2.5713E+12  2.5713E+12
 -2.6998E+00  0.0000E+00  2.4288E+12  2.4288E+12
 -2.6507E+00  0.0000E+00  2.1187E+12  2.1187E+12
 -2.6016E+00  0.0000E+00  1.8855E+12  1.8855E+12
 -2.5525E+00  0.0000E+00  1.6169E+12  1.6169E+12
 -2.5035E+00  0.0000E+00  1.2860E+12  1.2860E+12
 -2.4544E+00  0.0000E+00  1.0667E+12  1.0667E+12
 -2.4053E+00  0.0000E+00  8.9592E+11  8.9592E+11
 -2.3562E+00  0.0000E+00  7.7042E+11  7.7042E+11
 -2.3071E+00  0.0000E+00  6.8077E+11  6.8077E+11
 -2.2580E+00  0.0000E+00  6.1325E+11  6.1325E+11
 -2.2089E+00  0.0000E+00  5.7829E+11  5.7829E+11
 -2.1598E+00  0.0000E+00  5.5774E+11  5.5774E+11
 -2.1108E+00  0.0000E+00  5.4516E+11  5.4516E+11
 -2.0617E+00  0.0000E+00  5.2124E+11  5.2124E+11
 -2.0126E+00  0.0000E+00  5.0483E+11  5.0483E+11
 -1.9635E+00  0.0000E+00  4.8156E+11  4.8156E+11
 -1.9144E+00  0.0000E+00  4.8885E+11  4.8885E+11
 -1.8653E+00  0.0000E+00  5.2167E+11  5.2167E+11
 -1.8162E+00  0.0000E+00  5.6311E+11  5.6311E+11
 -1.7671E+00  0.0000E+00  6.3469E+11  6.3469E+11
 -1.7181E+00  0.0000E+00  7.0756E+11  7.0756E+11
 -1.6690E+00  0.0000E+00  7.2226E+11  7.2226E+11
 -1.6199E+00  0.0000E+00  7.4507E+11  7.4507E+11
 -1.5708E+00  0.0000E+00  7.3150E+11  7.3150E+11
 -1.5217E+00  0.0000E+00  6.7719E+11  6.7719E+11
 -1.4726E+00  0.0000E+00  6.3369E+11  6.3369E+11
 -1.4235E+00  0.0000E+00  5.7509E+11  5.7509E+11
 -1.3744E+00  0.0000E+00  5.1360E+11  5.1360E+11
 -1.3254E+00  0.0000E+00  4.9310E+11  4.9310E+11
 -1.2763E+00  0.0000E+00  4.6338E+11  4.6338E+11
 -1.2272E+00  0.0000E+00  4.6840E+11  4.6840E+11
 -1.1781E+00  0.0000E+00  4.7399E+11  4.7399E+11
 -1.1290E+00  0.0000E+00  4.7837E+11  4.7837E+11
 -1.0799E+00  0.0000E+00  4.7619E+11  4.7619E+11
