# CREATED BY GENE DIAGNOSTICS TOOL on Sun Apr 24 20:26:47 2022
# diag: zprofile, run(s): 0023, time window: 0-390.6944(1 steps), species: i
# original data path: /marconi_scratch/userexternal/pmulholl/p38/scanfiles0010/
# normalization: L_ref=1.65m
#
# variable A = phi
#  z/qR       <|A|>       <|A|²>^½    <|A²|-|A|²
 -3.1416E+00  0.0000E+00  1.1085E+07  1.1085E+07
 -3.0925E+00  0.0000E+00  1.0901E+07  1.0901E+07
 -3.0434E+00  0.0000E+00  1.1370E+07  1.1370E+07
 -2.9943E+00  0.0000E+00  1.4025E+07  1.4025E+07
 -2.9452E+00  0.0000E+00  1.5804E+07  1.5804E+07
 -2.8962E+00  0.0000E+00  1.7377E+07  1.7377E+07
 -2.8471E+00  0.0000E+00  1.8851E+07  1.8851E+07
 -2.7980E+00  0.0000E+00  1.9305E+07  1.9305E+07
 -2.7489E+00  0.0000E+00  1.8464E+07  1.8464E+07
 -2.6998E+00  0.0000E+00  1.7240E+07  1.7240E+07
 -2.6507E+00  0.0000E+00  1.4431E+07  1.4431E+07
 -2.6016E+00  0.0000E+00  1.2722E+07  1.2722E+07
 -2.5525E+00  0.0000E+00  1.0683E+07  1.0683E+07
 -2.5035E+00  0.0000E+00  8.9980E+06  8.9980E+06
 -2.4544E+00  0.0000E+00  7.8580E+06  7.8580E+06
 -2.4053E+00  0.0000E+00  7.2624E+06  7.2624E+06
 -2.3562E+00  0.0000E+00  6.5361E+06  6.5361E+06
 -2.3071E+00  0.0000E+00  6.0114E+06  6.0114E+06
 -2.2580E+00  0.0000E+00  5.5214E+06  5.5214E+06
 -2.2089E+00  0.0000E+00  5.2728E+06  5.2728E+06
 -2.1598E+00  0.0000E+00  5.0262E+06  5.0262E+06
 -2.1108E+00  0.0000E+00  4.9650E+06  4.9650E+06
 -2.0617E+00  0.0000E+00  5.2164E+06  5.2164E+06
 -2.0126E+00  0.0000E+00  6.2277E+06  6.2277E+06
 -1.9635E+00  0.0000E+00  7.9042E+06  7.9042E+06
 -1.9144E+00  0.0000E+00  1.0636E+07  1.0636E+07
 -1.8653E+00  0.0000E+00  1.4064E+07  1.4064E+07
 -1.8162E+00  0.0000E+00  1.7236E+07  1.7236E+07
 -1.7671E+00  0.0000E+00  2.1217E+07  2.1217E+07
 -1.7181E+00  0.0000E+00  2.5360E+07  2.5360E+07
 -1.6690E+00  0.0000E+00  2.6640E+07  2.6640E+07
 -1.6199E+00  0.0000E+00  2.8096E+07  2.8096E+07
 -1.5708E+00  0.0000E+00  2.8232E+07  2.8232E+07
 -1.5217E+00  0.0000E+00  2.5973E+07  2.5973E+07
 -1.4726E+00  0.0000E+00  2.4397E+07  2.4397E+07
 -1.4235E+00  0.0000E+00  2.1307E+07  2.1307E+07
 -1.3744E+00  0.0000E+00  1.8272E+07  1.8272E+07
 -1.3254E+00  0.0000E+00  1.5832E+07  1.5832E+07
 -1.2763E+00  0.0000E+00  1.2819E+07  1.2819E+07
 -1.2272E+00  0.0000E+00  1.1091E+07  1.1091E+07
 -1.1781E+00  0.0000E+00  9.5241E+06  9.5241E+06
 -1.1290E+00  0.0000E+00  8.4670E+06  8.4670E+06
 -1.0799E+00  0.0000E+00  7.7787E+06  7.7787E+06
 -1.0308E+00  0.0000E+00  7.2731E+06  7.2731E+06
 -9.8175E-01  0.0000E+00  6.8982E+06  6.8982E+06
 -9.3266E-01  0.0000E+00  6.6692E+06  6.6692E+06
 -8.8357E-01  0.0000E+00  6.7701E+06  6.7701E+06
 -8.3449E-01  0.0000E+00  7.4362E+06  7.4362E+06
 -7.8540E-01  0.0000E+00  8.0925E+06  8.0925E+06
 -7.3631E-01  0.0000E+00  8.8878E+06  8.8878E+06
 -6.8722E-01  0.0000E+00  8.3405E+06  8.3405E+06
 -6.3814E-01  0.0000E+00  8.5245E+06  8.5245E+06
 -5.8905E-01  0.0000E+00  7.6634E+06  7.6634E+06
 -5.3996E-01  0.0000E+00  7.9369E+06  7.9369E+06
 -4.9087E-01  0.0000E+00  6.9159E+06  6.9159E+06
 -4.4179E-01  0.0000E+00  7.3498E+06  7.3498E+06
 -3.9270E-01  0.0000E+00  7.6731E+06  7.6731E+06
