# CREATED BY GENE DIAGNOSTICS TOOL on Mon Dec  7 14:32:54 2020
# diag: zprofile, run(s): 0021, time window: 34-34.798(7 steps), species: ions
# original data path: /ptmp/jproll/critgrad/TEMgradn/NCSX/bean/scanfiles0000/
# normalization: L_ref=1.65m
#
# variable A = phi
#  z/qR       <|A|>       <|A|²>^½    <|A²|-|A|²
 -3.1416E+00  0.0000E+00  7.2044E+01  7.2044E+01
 -3.0925E+00  0.0000E+00  7.1715E+01  7.1715E+01
 -3.0434E+00  0.0000E+00  7.3324E+01  7.3324E+01
 -2.9943E+00  0.0000E+00  8.0916E+01  8.0916E+01
 -2.9452E+00  0.0000E+00  9.0269E+01  9.0269E+01
 -2.8962E+00  0.0000E+00  1.0340E+02  1.0340E+02
 -2.8471E+00  0.0000E+00  1.2044E+02  1.2044E+02
 -2.7980E+00  0.0000E+00  1.4020E+02  1.4020E+02
 -2.7489E+00  0.0000E+00  1.5906E+02  1.5906E+02
 -2.6998E+00  0.0000E+00  1.7893E+02  1.7893E+02
 -2.6507E+00  0.0000E+00  1.9634E+02  1.9634E+02
 -2.6016E+00  0.0000E+00  2.0844E+02  2.0844E+02
 -2.5525E+00  0.0000E+00  2.1618E+02  2.1618E+02
 -2.5035E+00  0.0000E+00  2.1975E+02  2.1975E+02
 -2.4544E+00  0.0000E+00  2.1723E+02  2.1723E+02
 -2.4053E+00  0.0000E+00  2.0972E+02  2.0972E+02
 -2.3562E+00  0.0000E+00  2.0078E+02  2.0078E+02
 -2.3071E+00  0.0000E+00  1.9058E+02  1.9058E+02
 -2.2580E+00  0.0000E+00  1.8034E+02  1.8034E+02
 -2.2089E+00  0.0000E+00  1.7000E+02  1.7000E+02
 -2.1598E+00  0.0000E+00  1.5935E+02  1.5935E+02
 -2.1108E+00  0.0000E+00  1.5301E+02  1.5301E+02
 -2.0617E+00  0.0000E+00  1.5654E+02  1.5654E+02
 -2.0126E+00  0.0000E+00  1.6900E+02  1.6900E+02
 -1.9635E+00  0.0000E+00  1.8095E+02  1.8095E+02
 -1.9144E+00  0.0000E+00  1.8828E+02  1.8828E+02
 -1.8653E+00  0.0000E+00  1.9180E+02  1.9180E+02
 -1.8162E+00  0.0000E+00  1.9144E+02  1.9144E+02
 -1.7671E+00  0.0000E+00  1.8782E+02  1.8782E+02
 -1.7181E+00  0.0000E+00  1.8168E+02  1.8168E+02
 -1.6690E+00  0.0000E+00  1.7446E+02  1.7446E+02
 -1.6199E+00  0.0000E+00  1.6708E+02  1.6708E+02
 -1.5708E+00  0.0000E+00  1.5978E+02  1.5978E+02
 -1.5217E+00  0.0000E+00  1.5208E+02  1.5208E+02
 -1.4726E+00  0.0000E+00  1.4271E+02  1.4271E+02
 -1.4235E+00  0.0000E+00  1.3323E+02  1.3323E+02
 -1.3744E+00  0.0000E+00  1.2475E+02  1.2475E+02
 -1.3254E+00  0.0000E+00  1.1624E+02  1.1624E+02
 -1.2763E+00  0.0000E+00  1.0913E+02  1.0913E+02
 -1.2272E+00  0.0000E+00  1.0494E+02  1.0494E+02
 -1.1781E+00  0.0000E+00  1.0086E+02  1.0086E+02
 -1.1290E+00  0.0000E+00  9.5289E+01  9.5289E+01
 -1.0799E+00  0.0000E+00  8.9799E+01  8.9799E+01
 -1.0308E+00  0.0000E+00  8.3210E+01  8.3210E+01
 -9.8175E-01  0.0000E+00  7.4978E+01  7.4978E+01
 -9.3266E-01  0.0000E+00  7.3150E+01  7.3150E+01
 -8.8357E-01  0.0000E+00  8.3164E+01  8.3164E+01
 -8.3449E-01  0.0000E+00  1.0213E+02  1.0213E+02
 -7.8540E-01  0.0000E+00  1.2913E+02  1.2913E+02
 -7.3631E-01  0.0000E+00  1.6888E+02  1.6888E+02
 -6.8722E-01  0.0000E+00  2.2250E+02  2.2250E+02
 -6.3814E-01  0.0000E+00  2.8544E+02  2.8544E+02
 -5.8905E-01  0.0000E+00  3.6469E+02  3.6469E+02
 -5.3996E-01  0.0000E+00  4.7118E+02  4.7118E+02
 -4.9087E-01  0.0000E+00  6.0190E+02  6.0190E+02
 -4.4179E-01  0.0000E+00  7.3449E+02  7.3449E+02
 -3.9270E-01  0.0000E+00  8.4548E+02  8.4548E+02
 -3.4361E-01  0.0000E+00  9.2578E+02  9.2578E+02
 -2.9452E-01  0.0000E+00  9.8112E+02  9.8112E+02
 -2.4544E-01  0.0000E+00  1.0213E+03  1.0213E+03
 -1.9635E-01  0.0000E+00  1.0444E+03  1.0444E+03
 -1.4726E-01  0.0000E+00  1.0480E+03  1.0480E+03
 -9.8175E-02  0.0000E+00  1.0392E+03  1.0392E+03
 -4.9087E-02  0.0000E+00  1.0293E+03  1.0293E+03
  0.0000E+00  0.0000E+00  1.0256E+03  1.0256E+03
  4.9087E-02  0.0000E+00  1.0293E+03  1.0293E+03
  9.8175E-02  0.0000E+00  1.0393E+03  1.0393E+03
  1.4726E-01  0.0000E+00  1.0481E+03  1.0481E+03
  1.9635E-01  0.0000E+00  1.0444E+03  1.0444E+03
  2.4544E-01  0.0000E+00  1.0213E+03  1.0213E+03
  2.9452E-01  0.0000E+00  9.8118E+02  9.8118E+02
  3.4361E-01  0.0000E+00  9.2585E+02  9.2585E+02
  3.9270E-01  0.0000E+00  8.4557E+02  8.4557E+02
  4.4179E-01  0.0000E+00  7.3459E+02  7.3459E+02
  4.9087E-01  0.0000E+00  6.0200E+02  6.0200E+02
  5.3996E-01  0.0000E+00  4.7128E+02  4.7128E+02
  5.8905E-01  0.0000E+00  3.6478E+02  3.6478E+02
  6.3814E-01  0.0000E+00  2.8551E+02  2.8551E+02
  6.8722E-01  0.0000E+00  2.2255E+02  2.2255E+02
  7.3631E-01  0.0000E+00  1.6891E+02  1.6891E+02
  7.8540E-01  0.0000E+00  1.2913E+02  1.2913E+02
  8.3449E-01  0.0000E+00  1.0211E+02  1.0211E+02
  8.8357E-01  0.0000E+00  8.3139E+01  8.3139E+01
  9.3266E-01  0.0000E+00  7.3123E+01  7.3123E+01
  9.8175E-01  0.0000E+00  7.4958E+01  7.4958E+01
  1.0308E+00  0.0000E+00  8.3197E+01  8.3197E+01
  1.0799E+00  0.0000E+00  8.9788E+01  8.9788E+01
  1.1290E+00  0.0000E+00  9.5274E+01  9.5274E+01
  1.1781E+00  0.0000E+00  1.0084E+02  1.0084E+02
  1.2272E+00  0.0000E+00  1.0492E+02  1.0492E+02
  1.2763E+00  0.0000E+00  1.0910E+02  1.0910E+02
  1.3254E+00  0.0000E+00  1.1620E+02  1.1620E+02
  1.3744E+00  0.0000E+00  1.2470E+02  1.2470E+02
  1.4235E+00  0.0000E+00  1.3316E+02  1.3316E+02
  1.4726E+00  0.0000E+00  1.4263E+02  1.4263E+02
  1.5217E+00  0.0000E+00  1.5199E+02  1.5199E+02
  1.5708E+00  0.0000E+00  1.5968E+02  1.5968E+02
  1.6199E+00  0.0000E+00  1.6697E+02  1.6697E+02
  1.6690E+00  0.0000E+00  1.7433E+02  1.7433E+02
  1.7181E+00  0.0000E+00  1.8153E+02  1.8153E+02
  1.7671E+00  0.0000E+00  1.8766E+02  1.8766E+02
  1.8162E+00  0.0000E+00  1.9126E+02  1.9126E+02
  1.8653E+00  0.0000E+00  1.9161E+02  1.9161E+02
  1.9144E+00  0.0000E+00  1.8809E+02  1.8809E+02
  1.9635E+00  0.0000E+00  1.8074E+02  1.8074E+02
  2.0126E+00  0.0000E+00  1.6876E+02  1.6876E+02
  2.0617E+00  0.0000E+00  1.5627E+02  1.5627E+02
  2.1108E+00  0.0000E+00  1.5272E+02  1.5272E+02
  2.1598E+00  0.0000E+00  1.5905E+02  1.5905E+02
  2.2089E+00  0.0000E+00  1.6971E+02  1.6971E+02
  2.2580E+00  0.0000E+00  1.8004E+02  1.8004E+02
  2.3071E+00  0.0000E+00  1.9028E+02  1.9028E+02
  2.3562E+00  0.0000E+00  2.0048E+02  2.0048E+02
  2.4053E+00  0.0000E+00  2.0944E+02  2.0944E+02
  2.4544E+00  0.0000E+00  2.1694E+02  2.1694E+02
  2.5035E+00  0.0000E+00  2.1945E+02  2.1945E+02
  2.5525E+00  0.0000E+00  2.1580E+02  2.1580E+02
  2.6016E+00  0.0000E+00  2.0797E+02  2.0797E+02
  2.6507E+00  0.0000E+00  1.9573E+02  1.9573E+02
  2.6998E+00  0.0000E+00  1.7825E+02  1.7825E+02
  2.7489E+00  0.0000E+00  1.5830E+02  1.5830E+02
  2.7980E+00  0.0000E+00  1.3942E+02  1.3942E+02
  2.8471E+00  0.0000E+00  1.1966E+02  1.1966E+02
  2.8962E+00  0.0000E+00  1.0272E+02  1.0272E+02
  2.9452E+00  0.0000E+00  8.9754E+01  8.9754E+01
  2.9943E+00  0.0000E+00  8.0515E+01  8.0515E+01
  3.0434E+00  0.0000E+00  7.2786E+01  7.2786E+01
  3.0925E+00  0.0000E+00  7.0354E+01  7.0354E+01
