# CREATED BY GENE DIAGNOSTICS TOOL on Thu Oct 22 17:02:57 2020
# diag: zprofile, run(s): 0010, time window: 139-139.15(1 steps), species: ions
# original data path: /ptmp/jproll/critgrad/TEMgradn/W7X/bean/scanfiles0000/
# normalization: L_ref=1.65m
#
# variable A = phi
#  z/qR       <|A|>       <|A|²>^½    <|A²|-|A|²
 -3.1416E+00  0.0000E+00  1.6412E-01  1.6412E-01
 -3.0925E+00  0.0000E+00  1.5628E-01  1.5628E-01
 -3.0434E+00  0.0000E+00  1.4646E-01  1.4646E-01
 -2.9943E+00  0.0000E+00  1.4384E-01  1.4384E-01
 -2.9452E+00  0.0000E+00  1.4961E-01  1.4961E-01
 -2.8962E+00  0.0000E+00  1.5379E-01  1.5379E-01
 -2.8471E+00  0.0000E+00  1.5419E-01  1.5419E-01
 -2.7980E+00  0.0000E+00  1.5637E-01  1.5637E-01
 -2.7489E+00  0.0000E+00  1.5533E-01  1.5533E-01
 -2.6998E+00  0.0000E+00  1.5558E-01  1.5558E-01
 -2.6507E+00  0.0000E+00  1.5514E-01  1.5514E-01
 -2.6016E+00  0.0000E+00  1.4911E-01  1.4911E-01
 -2.5525E+00  0.0000E+00  1.4811E-01  1.4811E-01
 -2.5035E+00  0.0000E+00  1.4729E-01  1.4729E-01
 -2.4544E+00  0.0000E+00  1.4290E-01  1.4290E-01
 -2.4053E+00  0.0000E+00  1.3922E-01  1.3922E-01
 -2.3562E+00  0.0000E+00  1.3018E-01  1.3018E-01
 -2.3071E+00  0.0000E+00  1.1881E-01  1.1881E-01
 -2.2580E+00  0.0000E+00  1.0719E-01  1.0719E-01
 -2.2089E+00  0.0000E+00  9.6112E-02  9.6112E-02
 -2.1598E+00  0.0000E+00  8.5487E-02  8.5487E-02
 -2.1108E+00  0.0000E+00  7.5659E-02  7.5659E-02
 -2.0617E+00  0.0000E+00  6.7254E-02  6.7254E-02
 -2.0126E+00  0.0000E+00  6.1111E-02  6.1111E-02
 -1.9635E+00  0.0000E+00  5.7674E-02  5.7674E-02
 -1.9144E+00  0.0000E+00  5.5106E-02  5.5106E-02
 -1.8653E+00  0.0000E+00  5.3421E-02  5.3421E-02
 -1.8162E+00  0.0000E+00  5.5812E-02  5.5812E-02
 -1.7671E+00  0.0000E+00  5.6259E-02  5.6259E-02
 -1.7181E+00  0.0000E+00  5.6937E-02  5.6937E-02
 -1.6690E+00  0.0000E+00  6.1195E-02  6.1195E-02
 -1.6199E+00  0.0000E+00  6.2191E-02  6.2191E-02
 -1.5708E+00  0.0000E+00  6.3618E-02  6.3618E-02
 -1.5217E+00  0.0000E+00  6.5260E-02  6.5260E-02
 -1.4726E+00  0.0000E+00  6.4445E-02  6.4445E-02
 -1.4235E+00  0.0000E+00  6.5382E-02  6.5382E-02
 -1.3744E+00  0.0000E+00  6.4564E-02  6.4564E-02
 -1.3254E+00  0.0000E+00  6.3411E-02  6.3411E-02
 -1.2763E+00  0.0000E+00  6.4187E-02  6.4187E-02
 -1.2272E+00  0.0000E+00  6.1917E-02  6.1917E-02
 -1.1781E+00  0.0000E+00  6.0803E-02  6.0803E-02
 -1.1290E+00  0.0000E+00  6.0832E-02  6.0832E-02
 -1.0799E+00  0.0000E+00  6.2126E-02  6.2126E-02
 -1.0308E+00  0.0000E+00  6.3990E-02  6.3990E-02
 -9.8175E-01  0.0000E+00  6.5566E-02  6.5566E-02
 -9.3266E-01  0.0000E+00  6.7538E-02  6.7538E-02
 -8.8357E-01  0.0000E+00  6.8336E-02  6.8336E-02
 -8.3449E-01  0.0000E+00  6.8388E-02  6.8388E-02
 -7.8540E-01  0.0000E+00  6.6818E-02  6.6818E-02
 -7.3631E-01  0.0000E+00  6.5958E-02  6.5958E-02
 -6.8722E-01  0.0000E+00  6.5761E-02  6.5761E-02
 -6.3814E-01  0.0000E+00  6.4148E-02  6.4148E-02
 -5.8905E-01  0.0000E+00  6.4311E-02  6.4311E-02
 -5.3996E-01  0.0000E+00  6.3636E-02  6.3636E-02
 -4.9087E-01  0.0000E+00  6.1819E-02  6.1819E-02
 -4.4179E-01  0.0000E+00  6.2492E-02  6.2492E-02
 -3.9270E-01  0.0000E+00  6.4458E-02  6.4458E-02
 -3.4361E-01  0.0000E+00  6.7531E-02  6.7531E-02
 -2.9452E-01  0.0000E+00  7.2687E-02  7.2687E-02
 -2.4544E-01  0.0000E+00  7.6081E-02  7.6081E-02
 -1.9635E-01  0.0000E+00  8.1471E-02  8.1471E-02
 -1.4726E-01  0.0000E+00  8.5780E-02  8.5780E-02
 -9.8175E-02  0.0000E+00  8.8469E-02  8.8469E-02
 -4.9087E-02  0.0000E+00  9.3407E-02  9.3407E-02
  0.0000E+00  0.0000E+00  9.4333E-02  9.4333E-02
  4.9087E-02  0.0000E+00  9.3515E-02  9.3515E-02
  9.8175E-02  0.0000E+00  8.8664E-02  8.8664E-02
  1.4726E-01  0.0000E+00  8.6071E-02  8.6071E-02
  1.9635E-01  0.0000E+00  8.1787E-02  8.1787E-02
  2.4544E-01  0.0000E+00  7.6428E-02  7.6428E-02
  2.9452E-01  0.0000E+00  7.3054E-02  7.3054E-02
  3.4361E-01  0.0000E+00  6.7925E-02  6.7925E-02
  3.9270E-01  0.0000E+00  6.4901E-02  6.4901E-02
  4.4179E-01  0.0000E+00  6.2984E-02  6.2984E-02
  4.9087E-01  0.0000E+00  6.2368E-02  6.2368E-02
  5.3996E-01  0.0000E+00  6.4234E-02  6.4234E-02
  5.8905E-01  0.0000E+00  6.4943E-02  6.4943E-02
  6.3814E-01  0.0000E+00  6.4789E-02  6.4789E-02
  6.8722E-01  0.0000E+00  6.6362E-02  6.6362E-02
  7.3631E-01  0.0000E+00  6.6470E-02  6.6470E-02
  7.8540E-01  0.0000E+00  6.7211E-02  6.7211E-02
  8.3449E-01  0.0000E+00  6.8686E-02  6.8686E-02
  8.8357E-01  0.0000E+00  6.8558E-02  6.8558E-02
  9.3266E-01  0.0000E+00  6.7770E-02  6.7770E-02
  9.8175E-01  0.0000E+00  6.5868E-02  6.5868E-02
  1.0308E+00  0.0000E+00  6.4383E-02  6.4383E-02
  1.0799E+00  0.0000E+00  6.2625E-02  6.2625E-02
  1.1290E+00  0.0000E+00  6.1231E-02  6.1231E-02
  1.1781E+00  0.0000E+00  6.0924E-02  6.0924E-02
  1.2272E+00  0.0000E+00  6.1681E-02  6.1681E-02
  1.2763E+00  0.0000E+00  6.3669E-02  6.3669E-02
  1.3254E+00  0.0000E+00  6.2836E-02  6.2836E-02
  1.3744E+00  0.0000E+00  6.3833E-02  6.3833E-02
  1.4235E+00  0.0000E+00  6.4484E-02  6.4484E-02
  1.4726E+00  0.0000E+00  6.3324E-02  6.3324E-02
  1.5217E+00  0.0000E+00  6.3886E-02  6.3886E-02
  1.5708E+00  0.0000E+00  6.2006E-02  6.2006E-02
  1.6199E+00  0.0000E+00  6.0396E-02  6.0396E-02
  1.6690E+00  0.0000E+00  5.9242E-02  5.9242E-02
  1.7181E+00  0.0000E+00  5.4817E-02  5.4817E-02
  1.7671E+00  0.0000E+00  5.3834E-02  5.3834E-02
  1.8162E+00  0.0000E+00  5.3052E-02  5.3052E-02
  1.8653E+00  0.0000E+00  5.0302E-02  5.0302E-02
  1.9144E+00  0.0000E+00  5.1685E-02  5.1685E-02
  1.9635E+00  0.0000E+00  5.4315E-02  5.4315E-02
  2.0126E+00  0.0000E+00  5.8448E-02  5.8448E-02
  2.0617E+00  0.0000E+00  6.5761E-02  6.5761E-02
  2.1108E+00  0.0000E+00  7.5445E-02  7.5445E-02
  2.1598E+00  0.0000E+00  8.6398E-02  8.6398E-02
  2.2089E+00  0.0000E+00  9.7987E-02  9.7987E-02
  2.2580E+00  0.0000E+00  1.0986E-01  1.0986E-01
  2.3071E+00  0.0000E+00  1.2202E-01  1.2202E-01
  2.3562E+00  0.0000E+00  1.3370E-01  1.3370E-01
  2.4053E+00  0.0000E+00  1.4300E-01  1.4300E-01
  2.4544E+00  0.0000E+00  1.4678E-01  1.4678E-01
  2.5035E+00  0.0000E+00  1.5125E-01  1.5125E-01
  2.5525E+00  0.0000E+00  1.5216E-01  1.5216E-01
  2.6016E+00  0.0000E+00  1.5321E-01  1.5321E-01
  2.6507E+00  0.0000E+00  1.5932E-01  1.5932E-01
  2.6998E+00  0.0000E+00  1.5955E-01  1.5955E-01
  2.7489E+00  0.0000E+00  1.5886E-01  1.5886E-01
  2.7980E+00  0.0000E+00  1.5924E-01  1.5924E-01
  2.8471E+00  0.0000E+00  1.5620E-01  1.5620E-01
  2.8962E+00  0.0000E+00  1.5500E-01  1.5500E-01
  2.9452E+00  0.0000E+00  1.5008E-01  1.5008E-01
  2.9943E+00  0.0000E+00  1.4396E-01  1.4396E-01
  3.0434E+00  0.0000E+00  1.4767E-01  1.4767E-01
  3.0925E+00  0.0000E+00  1.5994E-01  1.5994E-01
