# CREATED BY GENE DIAGNOSTICS TOOL on Wed Nov 25 10:45:13 2020
# diag: zprofile, run(s): 0014, time window: 130-130.6905(4 steps), species: ions
# original data path: /ptmp/jproll/critgrad/TEMgradn/W7X/bean/scanfiles0000/
# normalization: L_ref=1.65m
#
# variable A = phi
#  z/qR       <|A|>       <|A|²>^½    <|A²|-|A|²
 -3.1416E+00  0.0000E+00  4.1583E+01  4.1583E+01
 -3.0925E+00  0.0000E+00  4.1783E+01  4.1783E+01
 -3.0434E+00  0.0000E+00  4.7105E+01  4.7105E+01
 -2.9943E+00  0.0000E+00  5.5959E+01  5.5959E+01
 -2.9452E+00  0.0000E+00  6.2135E+01  6.2135E+01
 -2.8962E+00  0.0000E+00  6.7277E+01  6.7277E+01
 -2.8471E+00  0.0000E+00  7.1278E+01  7.1278E+01
 -2.7980E+00  0.0000E+00  7.0487E+01  7.0487E+01
 -2.7489E+00  0.0000E+00  6.7316E+01  6.7316E+01
 -2.6998E+00  0.0000E+00  6.0581E+01  6.0581E+01
 -2.6507E+00  0.0000E+00  5.2877E+01  5.2877E+01
 -2.6016E+00  0.0000E+00  4.6500E+01  4.6500E+01
 -2.5525E+00  0.0000E+00  3.8358E+01  3.8358E+01
 -2.5035E+00  0.0000E+00  3.1082E+01  3.1082E+01
 -2.4544E+00  0.0000E+00  2.6087E+01  2.6087E+01
 -2.4053E+00  0.0000E+00  2.3208E+01  2.3208E+01
 -2.3562E+00  0.0000E+00  2.0558E+01  2.0558E+01
 -2.3071E+00  0.0000E+00  1.7891E+01  1.7891E+01
 -2.2580E+00  0.0000E+00  1.5561E+01  1.5561E+01
 -2.2089E+00  0.0000E+00  1.3628E+01  1.3628E+01
 -2.1598E+00  0.0000E+00  1.2206E+01  1.2206E+01
 -2.1108E+00  0.0000E+00  1.2578E+01  1.2578E+01
 -2.0617E+00  0.0000E+00  1.5773E+01  1.5773E+01
 -2.0126E+00  0.0000E+00  2.0625E+01  2.0625E+01
 -1.9635E+00  0.0000E+00  2.5774E+01  2.5774E+01
 -1.9144E+00  0.0000E+00  3.2300E+01  3.2300E+01
 -1.8653E+00  0.0000E+00  4.4199E+01  4.4199E+01
 -1.8162E+00  0.0000E+00  5.7254E+01  5.7254E+01
 -1.7671E+00  0.0000E+00  7.1872E+01  7.1872E+01
 -1.7181E+00  0.0000E+00  8.4383E+01  8.4383E+01
 -1.6690E+00  0.0000E+00  8.9451E+01  8.9451E+01
 -1.6199E+00  0.0000E+00  9.3503E+01  9.3503E+01
 -1.5708E+00  0.0000E+00  9.1332E+01  9.1332E+01
 -1.5217E+00  0.0000E+00  8.4323E+01  8.4323E+01
 -1.4726E+00  0.0000E+00  7.6957E+01  7.6957E+01
 -1.4235E+00  0.0000E+00  6.5443E+01  6.5443E+01
 -1.3744E+00  0.0000E+00  5.5040E+01  5.5040E+01
 -1.3254E+00  0.0000E+00  4.4547E+01  4.4547E+01
 -1.2763E+00  0.0000E+00  3.4749E+01  3.4749E+01
 -1.2272E+00  0.0000E+00  2.7958E+01  2.7958E+01
 -1.1781E+00  0.0000E+00  2.2993E+01  2.2993E+01
 -1.1290E+00  0.0000E+00  2.0221E+01  2.0221E+01
 -1.0799E+00  0.0000E+00  1.8658E+01  1.8658E+01
 -1.0308E+00  0.0000E+00  1.7281E+01  1.7281E+01
 -9.8175E-01  0.0000E+00  1.5707E+01  1.5707E+01
 -9.3266E-01  0.0000E+00  1.4725E+01  1.4725E+01
 -8.8357E-01  0.0000E+00  1.5118E+01  1.5118E+01
 -8.3449E-01  0.0000E+00  1.7231E+01  1.7231E+01
 -7.8540E-01  0.0000E+00  1.9826E+01  1.9826E+01
 -7.3631E-01  0.0000E+00  2.0797E+01  2.0797E+01
 -6.8722E-01  0.0000E+00  2.0176E+01  2.0176E+01
 -6.3814E-01  0.0000E+00  1.9404E+01  1.9404E+01
 -5.8905E-01  0.0000E+00  1.8285E+01  1.8285E+01
 -5.3996E-01  0.0000E+00  1.7448E+01  1.7448E+01
 -4.9087E-01  0.0000E+00  1.6556E+01  1.6556E+01
 -4.4179E-01  0.0000E+00  1.6437E+01  1.6437E+01
 -3.9270E-01  0.0000E+00  1.7282E+01  1.7282E+01
 -3.4361E-01  0.0000E+00  1.8668E+01  1.8668E+01
 -2.9452E-01  0.0000E+00  2.0401E+01  2.0401E+01
 -2.4544E-01  0.0000E+00  2.1594E+01  2.1594E+01
 -1.9635E-01  0.0000E+00  2.2779E+01  2.2779E+01
 -1.4726E-01  0.0000E+00  2.3827E+01  2.3827E+01
 -9.8175E-02  0.0000E+00  2.4320E+01  2.4320E+01
 -4.9087E-02  0.0000E+00  2.5594E+01  2.5594E+01
  0.0000E+00  0.0000E+00  2.5810E+01  2.5810E+01
  4.9087E-02  0.0000E+00  2.5535E+01  2.5535E+01
  9.8175E-02  0.0000E+00  2.4200E+01  2.4200E+01
  1.4726E-01  0.0000E+00  2.3649E+01  2.3649E+01
  1.9635E-01  0.0000E+00  2.2552E+01  2.2552E+01
  2.4544E-01  0.0000E+00  2.1335E+01  2.1335E+01
  2.9452E-01  0.0000E+00  2.0117E+01  2.0117E+01
  3.4361E-01  0.0000E+00  1.8378E+01  1.8378E+01
  3.9270E-01  0.0000E+00  1.6993E+01  1.6993E+01
  4.4179E-01  0.0000E+00  1.6151E+01  1.6151E+01
  4.9087E-01  0.0000E+00  1.6271E+01  1.6271E+01
  5.3996E-01  0.0000E+00  1.7162E+01  1.7162E+01
