# CREATED BY GENE DIAGNOSTICS TOOL on Fri Nov 13 11:14:44 2020
# diag: zprofile, run(s): 0042, time window: 146-146.08(1 steps), species: ions
# original data path: /ptmp/jproll/critgrad/TEMgradn/W7X/bean/scanfiles0000/
# normalization: L_ref=1.65m
#
# variable A = phi
#  z/qR       <|A|>       <|A|²>^½    <|A²|-|A|²
 -3.1416E+00  0.0000E+00  1.0907E-01  1.0907E-01
 -3.0925E+00  0.0000E+00  9.1676E-02  9.1676E-02
 -3.0434E+00  0.0000E+00  1.3349E-01  1.3349E-01
 -2.9943E+00  0.0000E+00  2.2350E-01  2.2350E-01
 -2.9452E+00  0.0000E+00  2.7926E-01  2.7926E-01
 -2.8962E+00  0.0000E+00  3.2690E-01  3.2690E-01
 -2.8471E+00  0.0000E+00  3.6856E-01  3.6856E-01
 -2.7980E+00  0.0000E+00  3.6098E-01  3.6098E-01
 -2.7489E+00  0.0000E+00  3.2912E-01  3.2912E-01
 -2.6998E+00  0.0000E+00  2.6659E-01  2.6659E-01
 -2.6507E+00  0.0000E+00  2.0783E-01  2.0783E-01
 -2.6016E+00  0.0000E+00  1.7469E-01  1.7469E-01
 -2.5525E+00  0.0000E+00  1.3405E-01  1.3405E-01
 -2.5035E+00  0.0000E+00  1.0777E-01  1.0777E-01
 -2.4544E+00  0.0000E+00  9.6003E-02  9.6003E-02
 -2.4053E+00  0.0000E+00  9.7778E-02  9.7778E-02
 -2.3562E+00  0.0000E+00  1.1084E-01  1.1084E-01
 -2.3071E+00  0.0000E+00  1.3086E-01  1.3086E-01
 -2.2580E+00  0.0000E+00  1.6132E-01  1.6132E-01
 -2.2089E+00  0.0000E+00  2.0542E-01  2.0542E-01
 -2.1598E+00  0.0000E+00  2.6150E-01  2.6150E-01
 -2.1108E+00  0.0000E+00  3.2954E-01  3.2954E-01
 -2.0617E+00  0.0000E+00  3.9612E-01  3.9612E-01
 -2.0126E+00  0.0000E+00  4.2411E-01  4.2411E-01
 -1.9635E+00  0.0000E+00  3.4288E-01  3.4288E-01
 -1.9144E+00  0.0000E+00  1.8866E-01  1.8866E-01
 -1.8653E+00  0.0000E+00  5.5495E-01  5.5495E-01
 -1.8162E+00  0.0000E+00  1.0012E+00  1.0012E+00
 -1.7671E+00  0.0000E+00  1.8243E+00  1.8243E+00
 -1.7181E+00  0.0000E+00  2.6158E+00  2.6158E+00
 -1.6690E+00  0.0000E+00  2.9033E+00  2.9033E+00
 -1.6199E+00  0.0000E+00  3.2331E+00  3.2331E+00
 -1.5708E+00  0.0000E+00  3.1620E+00  3.1620E+00
 -1.5217E+00  0.0000E+00  2.7767E+00  2.7767E+00
 -1.4726E+00  0.0000E+00  2.4606E+00  2.4606E+00
 -1.4235E+00  0.0000E+00  1.9064E+00  1.9064E+00
 -1.3744E+00  0.0000E+00  1.4813E+00  1.4813E+00
 -1.3254E+00  0.0000E+00  1.0651E+00  1.0651E+00
 -1.2763E+00  0.0000E+00  5.8569E-01  5.8569E-01
 -1.2272E+00  0.0000E+00  3.6493E-01  3.6493E-01
 -1.1781E+00  0.0000E+00  1.9748E-01  1.9748E-01
 -1.1290E+00  0.0000E+00  1.0724E-01  1.0724E-01
 -1.0799E+00  0.0000E+00  8.9484E-02  8.9484E-02
 -1.0308E+00  0.0000E+00  9.7422E-02  9.7422E-02
 -9.8175E-01  0.0000E+00  1.0338E-01  1.0338E-01
 -9.3266E-01  0.0000E+00  9.8197E-02  9.8197E-02
 -8.8357E-01  0.0000E+00  8.9279E-02  8.9279E-02
 -8.3449E-01  0.0000E+00  8.2172E-02  8.2172E-02
 -7.8540E-01  0.0000E+00  6.9907E-02  6.9907E-02
 -7.3631E-01  0.0000E+00  6.8926E-02  6.8926E-02
 -6.8722E-01  0.0000E+00  7.4027E-02  7.4027E-02
 -6.3814E-01  0.0000E+00  7.9531E-02  7.9531E-02
 -5.8905E-01  0.0000E+00  7.8696E-02  7.8696E-02
 -5.3996E-01  0.0000E+00  7.7654E-02  7.7654E-02
 -4.9087E-01  0.0000E+00  7.9884E-02  7.9884E-02
 -4.4179E-01  0.0000E+00  7.6545E-02  7.6545E-02
