# CREATED BY GENE DIAGNOSTICS TOOL on Sat Jan  9 16:16:58 2021
# diag: zprofile, run(s): 0001, time window: 379.1-379.168(1 steps), species: ions
# original data path: /ptmp/jproll/critgrad/TEMgradn/W7XLM/bean/scanfiles0002/
# normalization: L_ref=1.65m
#
# variable A = phi
#  z/qR       <|A|>       <|A|²>^½    <|A²|-|A|²
 -3.1416E+00  0.0000E+00  2.4236E-02  2.4236E-02
 -3.0925E+00  0.0000E+00  2.0663E-02  2.0663E-02
 -3.0434E+00  0.0000E+00  1.8175E-02  1.8175E-02
 -2.9943E+00  0.0000E+00  1.7775E-02  1.7775E-02
 -2.9452E+00  0.0000E+00  1.6196E-02  1.6196E-02
 -2.8962E+00  0.0000E+00  1.6458E-02  1.6458E-02
 -2.8471E+00  0.0000E+00  1.8107E-02  1.8107E-02
 -2.7980E+00  0.0000E+00  2.0101E-02  2.0101E-02
 -2.7489E+00  0.0000E+00  2.1439E-02  2.1439E-02
 -2.6998E+00  0.0000E+00  2.1171E-02  2.1171E-02
 -2.6507E+00  0.0000E+00  2.0345E-02  2.0345E-02
 -2.6016E+00  0.0000E+00  1.9793E-02  1.9793E-02
 -2.5525E+00  0.0000E+00  1.9275E-02  1.9275E-02
 -2.5035E+00  0.0000E+00  1.8889E-02  1.8889E-02
 -2.4544E+00  0.0000E+00  1.8458E-02  1.8458E-02
 -2.4053E+00  0.0000E+00  1.8867E-02  1.8867E-02
 -2.3562E+00  0.0000E+00  1.9362E-02  1.9362E-02
 -2.3071E+00  0.0000E+00  2.0044E-02  2.0044E-02
 -2.2580E+00  0.0000E+00  2.1712E-02  2.1712E-02
 -2.2089E+00  0.0000E+00  2.4055E-02  2.4055E-02
 -2.1598E+00  0.0000E+00  2.6309E-02  2.6309E-02
 -2.1108E+00  0.0000E+00  2.8355E-02  2.8355E-02
 -2.0617E+00  0.0000E+00  2.9899E-02  2.9899E-02
 -2.0126E+00  0.0000E+00  3.0975E-02  3.0975E-02
 -1.9635E+00  0.0000E+00  3.1726E-02  3.1726E-02
 -1.9144E+00  0.0000E+00  3.2101E-02  3.2101E-02
 -1.8653E+00  0.0000E+00  3.1765E-02  3.1765E-02
 -1.8162E+00  0.0000E+00  3.0941E-02  3.0941E-02
 -1.7671E+00  0.0000E+00  3.0610E-02  3.0610E-02
 -1.7181E+00  0.0000E+00  2.9678E-02  2.9678E-02
 -1.6690E+00  0.0000E+00  2.9168E-02  2.9168E-02
 -1.6199E+00  0.0000E+00  2.9764E-02  2.9764E-02
 -1.5708E+00  0.0000E+00  3.1138E-02  3.1138E-02
 -1.5217E+00  0.0000E+00  3.1959E-02  3.1959E-02
 -1.4726E+00  0.0000E+00  3.2922E-02  3.2922E-02
 -1.4235E+00  0.0000E+00  3.3787E-02  3.3787E-02
 -1.3744E+00  0.0000E+00  3.4372E-02  3.4372E-02
 -1.3254E+00  0.0000E+00  3.4610E-02  3.4610E-02
 -1.2763E+00  0.0000E+00  3.4170E-02  3.4170E-02
 -1.2272E+00  0.0000E+00  3.4393E-02  3.4393E-02
 -1.1781E+00  0.0000E+00  3.4456E-02  3.4456E-02
 -1.1290E+00  0.0000E+00  3.4327E-02  3.4327E-02
 -1.0799E+00  0.0000E+00  3.5137E-02  3.5137E-02
 -1.0308E+00  0.0000E+00  3.6085E-02  3.6085E-02
 -9.8175E-01  0.0000E+00  3.7293E-02  3.7293E-02
 -9.3266E-01  0.0000E+00  3.8660E-02  3.8660E-02
 -8.8357E-01  0.0000E+00  3.9520E-02  3.9520E-02
 -8.3449E-01  0.0000E+00  4.0491E-02  4.0491E-02
 -7.8540E-01  0.0000E+00  4.1159E-02  4.1159E-02
 -7.3631E-01  0.0000E+00  4.1837E-02  4.1837E-02
 -6.8722E-01  0.0000E+00  4.3038E-02  4.3038E-02
 -6.3814E-01  0.0000E+00  4.3025E-02  4.3025E-02
 -5.8905E-01  0.0000E+00  4.3015E-02  4.3015E-02
 -5.3996E-01  0.0000E+00  4.2945E-02  4.2945E-02
 -4.9087E-01  0.0000E+00  4.1971E-02  4.1971E-02
 -4.4179E-01  0.0000E+00  4.1427E-02  4.1427E-02
 -3.9270E-01  0.0000E+00  4.1462E-02  4.1462E-02
 -3.4361E-01  0.0000E+00  4.2172E-02  4.2172E-02
 -2.9452E-01  0.0000E+00  4.3303E-02  4.3303E-02
 -2.4544E-01  0.0000E+00  4.5369E-02  4.5369E-02
 -1.9635E-01  0.0000E+00  4.6492E-02  4.6492E-02
 -1.4726E-01  0.0000E+00  4.7282E-02  4.7282E-02
 -9.8175E-02  0.0000E+00  4.9121E-02  4.9121E-02
 -4.9087E-02  0.0000E+00  4.8524E-02  4.8524E-02
  0.0000E+00  0.0000E+00  4.8680E-02  4.8680E-02
  4.9087E-02  0.0000E+00  4.8280E-02  4.8280E-02
  9.8175E-02  0.0000E+00  4.8648E-02  4.8648E-02
  1.4726E-01  0.0000E+00  4.6569E-02  4.6569E-02
  1.9635E-01  0.0000E+00  4.5606E-02  4.5606E-02
  2.4544E-01  0.0000E+00  4.4314E-02  4.4314E-02
  2.9452E-01  0.0000E+00  4.2155E-02  4.2155E-02
  3.4361E-01  0.0000E+00  4.0981E-02  4.0981E-02
  3.9270E-01  0.0000E+00  4.0318E-02  4.0318E-02
  4.4179E-01  0.0000E+00  4.0378E-02  4.0378E-02
  4.9087E-01  0.0000E+00  4.1051E-02  4.1051E-02
  5.3996E-01  0.0000E+00  4.2365E-02  4.2365E-02
  5.8905E-01  0.0000E+00  4.2878E-02  4.2878E-02
  6.3814E-01  0.0000E+00  4.3129E-02  4.3129E-02
  6.8722E-01  0.0000E+00  4.3560E-02  4.3560E-02
  7.3631E-01  0.0000E+00  4.2987E-02  4.2987E-02
  7.8540E-01  0.0000E+00  4.2892E-02  4.2892E-02
  8.3449E-01  0.0000E+00  4.2977E-02  4.2977E-02
  8.8357E-01  0.0000E+00  4.2798E-02  4.2798E-02
  9.3266E-01  0.0000E+00  4.2624E-02  4.2624E-02
  9.8175E-01  0.0000E+00  4.1693E-02  4.1693E-02
  1.0308E+00  0.0000E+00  4.0630E-02  4.0630E-02
  1.0799E+00  0.0000E+00  3.9643E-02  3.9643E-02
  1.1290E+00  0.0000E+00  3.8570E-02  3.8570E-02
  1.1781E+00  0.0000E+00  3.8400E-02  3.8400E-02
  1.2272E+00  0.0000E+00  3.7863E-02  3.7863E-02
  1.2763E+00  0.0000E+00  3.7214E-02  3.7214E-02
  1.3254E+00  0.0000E+00  3.7180E-02  3.7180E-02
  1.3744E+00  0.0000E+00  3.6499E-02  3.6499E-02
  1.4235E+00  0.0000E+00  3.5426E-02  3.5426E-02
  1.4726E+00  0.0000E+00  3.4086E-02  3.4086E-02
