# CREATED BY GENE DIAGNOSTICS TOOL on Sat Jan  9 16:27:46 2021
# diag: zprofile, run(s): 0027, time window: 334-334.08(1 steps), species: ions
# original data path: /ptmp/jproll/critgrad/TEMgradn/W7XLM/bean/scanfiles0002/
# normalization: L_ref=1.65m
#
# variable A = phi
#  z/qR       <|A|>       <|A|²>^½    <|A²|-|A|²
 -3.1416E+00  0.0000E+00  4.2185E-04  4.2185E-04
 -3.0925E+00  0.0000E+00  4.0328E-04  4.0328E-04
 -3.0434E+00  0.0000E+00  3.7513E-04  3.7513E-04
 -2.9943E+00  0.0000E+00  3.6075E-04  3.6075E-04
 -2.9452E+00  0.0000E+00  3.2967E-04  3.2967E-04
 -2.8962E+00  0.0000E+00  2.9372E-04  2.9372E-04
 -2.8471E+00  0.0000E+00  2.7592E-04  2.7592E-04
 -2.7980E+00  0.0000E+00  2.5356E-04  2.5356E-04
 -2.7489E+00  0.0000E+00  2.4189E-04  2.4189E-04
 -2.6998E+00  0.0000E+00  2.4327E-04  2.4327E-04
 -2.6507E+00  0.0000E+00  2.5462E-04  2.5462E-04
 -2.6016E+00  0.0000E+00  2.6034E-04  2.6034E-04
 -2.5525E+00  0.0000E+00  2.5431E-04  2.5431E-04
 -2.5035E+00  0.0000E+00  2.5817E-04  2.5817E-04
 -2.4544E+00  0.0000E+00  2.6526E-04  2.6526E-04
 -2.4053E+00  0.0000E+00  2.7853E-04  2.7853E-04
 -2.3562E+00  0.0000E+00  2.9117E-04  2.9117E-04
 -2.3071E+00  0.0000E+00  3.0131E-04  3.0131E-04
 -2.2580E+00  0.0000E+00  3.1924E-04  3.1924E-04
 -2.2089E+00  0.0000E+00  3.4207E-04  3.4207E-04
 -2.1598E+00  0.0000E+00  3.6855E-04  3.6855E-04
 -2.1108E+00  0.0000E+00  3.9841E-04  3.9841E-04
 -2.0617E+00  0.0000E+00  4.3184E-04  4.3184E-04
 -2.0126E+00  0.0000E+00  4.6756E-04  4.6756E-04
 -1.9635E+00  0.0000E+00  5.0697E-04  5.0697E-04
 -1.9144E+00  0.0000E+00  5.4659E-04  5.4659E-04
 -1.8653E+00  0.0000E+00  5.8335E-04  5.8335E-04
 -1.8162E+00  0.0000E+00  6.2188E-04  6.2188E-04
 -1.7671E+00  0.0000E+00  6.7606E-04  6.7606E-04
 -1.7181E+00  0.0000E+00  7.2870E-04  7.2870E-04
 -1.6690E+00  0.0000E+00  7.6714E-04  7.6714E-04
 -1.6199E+00  0.0000E+00  7.7985E-04  7.7985E-04
 -1.5708E+00  0.0000E+00  7.5101E-04  7.5101E-04
 -1.5217E+00  0.0000E+00  7.3942E-04  7.3942E-04
 -1.4726E+00  0.0000E+00  7.1441E-04  7.1441E-04
 -1.4235E+00  0.0000E+00  6.7183E-04  6.7183E-04
 -1.3744E+00  0.0000E+00  6.2813E-04  6.2813E-04
 -1.3254E+00  0.0000E+00  5.9064E-04  5.9064E-04
 -1.2763E+00  0.0000E+00  5.8693E-04  5.8693E-04
 -1.2272E+00  0.0000E+00  5.5446E-04  5.5446E-04
 -1.1781E+00  0.0000E+00  5.4038E-04  5.4038E-04
 -1.1290E+00  0.0000E+00  5.4725E-04  5.4725E-04
 -1.0799E+00  0.0000E+00  5.4610E-04  5.4610E-04
 -1.0308E+00  0.0000E+00  5.4770E-04  5.4770E-04
 -9.8175E-01  0.0000E+00  5.4844E-04  5.4844E-04
 -9.3266E-01  0.0000E+00  5.7126E-04  5.7126E-04
 -8.8357E-01  0.0000E+00  5.9632E-04  5.9632E-04
 -8.3449E-01  0.0000E+00  6.2523E-04  6.2523E-04
 -7.8540E-01  0.0000E+00  6.5179E-04  6.5179E-04
