# CREATED BY GENE DIAGNOSTICS TOOL on Fri Nov 20 16:38:20 2020
# diag: zprofile, run(s): 0008, time window: 62-62.2985(2 steps), species: ions
# original data path: /ptmp/jproll/critgrad/TEMgradn/W7XSC/bean/scanfiles0002/
# normalization: L_ref=1.65m
#
# variable A = phi
#  z/qR       <|A|>       <|A|²>^½    <|A²|-|A|²
 -3.1416E+00  0.0000E+00  3.0897E+02  3.0897E+02
 -3.0925E+00  0.0000E+00  2.7513E+02  2.7513E+02
 -3.0434E+00  0.0000E+00  2.4570E+02  2.4570E+02
 -2.9943E+00  0.0000E+00  2.4674E+02  2.4674E+02
 -2.9452E+00  0.0000E+00  2.2599E+02  2.2599E+02
 -2.8962E+00  0.0000E+00  2.2872E+02  2.2872E+02
 -2.8471E+00  0.0000E+00  2.3689E+02  2.3689E+02
 -2.7980E+00  0.0000E+00  2.3540E+02  2.3540E+02
 -2.7489E+00  0.0000E+00  2.4323E+02  2.4323E+02
 -2.6998E+00  0.0000E+00  2.5185E+02  2.5185E+02
 -2.6507E+00  0.0000E+00  2.6902E+02  2.6902E+02
 -2.6016E+00  0.0000E+00  2.6937E+02  2.6937E+02
 -2.5525E+00  0.0000E+00  2.7821E+02  2.7821E+02
 -2.5035E+00  0.0000E+00  2.8183E+02  2.8183E+02
 -2.4544E+00  0.0000E+00  2.7768E+02  2.7768E+02
 -2.4053E+00  0.0000E+00  2.7497E+02  2.7497E+02
 -2.3562E+00  0.0000E+00  2.6245E+02  2.6245E+02
 -2.3071E+00  0.0000E+00  2.5216E+02  2.5216E+02
 -2.2580E+00  0.0000E+00  2.4228E+02  2.4228E+02
 -2.2089E+00  0.0000E+00  2.3343E+02  2.3343E+02
 -2.1598E+00  0.0000E+00  2.2400E+02  2.2400E+02
 -2.1108E+00  0.0000E+00  2.1737E+02  2.1737E+02
 -2.0617E+00  0.0000E+00  2.1199E+02  2.1199E+02
 -2.0126E+00  0.0000E+00  2.0904E+02  2.0904E+02
 -1.9635E+00  0.0000E+00  2.0799E+02  2.0799E+02
 -1.9144E+00  0.0000E+00  2.0964E+02  2.0964E+02
 -1.8653E+00  0.0000E+00  2.0695E+02  2.0695E+02
 -1.8162E+00  0.0000E+00  2.1178E+02  2.1178E+02
 -1.7671E+00  0.0000E+00  2.4003E+02  2.4003E+02
 -1.7181E+00  0.0000E+00  2.4526E+02  2.4526E+02
 -1.6690E+00  0.0000E+00  2.5087E+02  2.5087E+02
 -1.6199E+00  0.0000E+00  2.6912E+02  2.6912E+02
 -1.5708E+00  0.0000E+00  2.7103E+02  2.7103E+02
 -1.5217E+00  0.0000E+00  2.9758E+02  2.9758E+02
 -1.4726E+00  0.0000E+00  3.0442E+02  3.0442E+02
 -1.4235E+00  0.0000E+00  3.2232E+02  3.2232E+02
 -1.3744E+00  0.0000E+00  3.1914E+02  3.1914E+02
 -1.3254E+00  0.0000E+00  3.2026E+02  3.2026E+02
 -1.2763E+00  0.0000E+00  3.2633E+02  3.2633E+02
 -1.2272E+00  0.0000E+00  3.1287E+02  3.1287E+02
 -1.1781E+00  0.0000E+00  3.1939E+02  3.1939E+02
 -1.1290E+00  0.0000E+00  3.1672E+02  3.1672E+02
 -1.0799E+00  0.0000E+00  3.1977E+02  3.1977E+02
 -1.0308E+00  0.0000E+00  3.1653E+02  3.1653E+02
 -9.8175E-01  0.0000E+00  3.1298E+02  3.1298E+02
 -9.3266E-01  0.0000E+00  3.1599E+02  3.1599E+02
 -8.8357E-01  0.0000E+00  3.1249E+02  3.1249E+02
 -8.3449E-01  0.0000E+00  3.0907E+02  3.0907E+02
 -7.8540E-01  0.0000E+00  2.9728E+02  2.9728E+02
 -7.3631E-01  0.0000E+00  2.8731E+02  2.8731E+02
 -6.8722E-01  0.0000E+00  2.9058E+02  2.9058E+02
 -6.3814E-01  0.0000E+00  2.8384E+02  2.8384E+02
 -5.8905E-01  0.0000E+00  2.8998E+02  2.8998E+02
