# CREATED BY GENE DIAGNOSTICS TOOL on Wed Nov 25 10:41:00 2020
# diag: zprofile, run(s): 0032, time window: 1350-1354.5735(19 steps), species: ions
# original data path: /ptmp/jproll/critgrad/TEMgradn/W7XSC/bean/scanfiles0002/
# normalization: L_ref=1.65m
#
# variable A = phi
#  z/qR       <|A|>       <|A|²>^½    <|A²|-|A|²
 -3.1416E+00  0.0000E+00  8.6672E-02  8.6672E-02
 -3.0925E+00  0.0000E+00  8.5331E-02  8.5331E-02
 -3.0434E+00  0.0000E+00  7.6906E-02  7.6906E-02
 -2.9943E+00  0.0000E+00  6.7338E-02  6.7338E-02
 -2.9452E+00  0.0000E+00  5.5655E-02  5.5655E-02
 -2.8962E+00  0.0000E+00  4.4113E-02  4.4113E-02
 -2.8471E+00  0.0000E+00  3.2516E-02  3.2516E-02
 -2.7980E+00  0.0000E+00  2.2113E-02  2.2113E-02
 -2.7489E+00  0.0000E+00  1.5657E-02  1.5657E-02
 -2.6998E+00  0.0000E+00  2.0206E-02  2.0206E-02
 -2.6507E+00  0.0000E+00  2.9789E-02  2.9789E-02
 -2.6016E+00  0.0000E+00  3.5799E-02  3.5799E-02
 -2.5525E+00  0.0000E+00  3.8816E-02  3.8816E-02
 -2.5035E+00  0.0000E+00  4.1745E-02  4.1745E-02
 -2.4544E+00  0.0000E+00  4.5520E-02  4.5520E-02
 -2.4053E+00  0.0000E+00  5.1752E-02  5.1752E-02
 -2.3562E+00  0.0000E+00  5.8875E-02  5.8875E-02
 -2.3071E+00  0.0000E+00  6.6400E-02  6.6400E-02
 -2.2580E+00  0.0000E+00  7.3528E-02  7.3528E-02
 -2.2089E+00  0.0000E+00  7.9392E-02  7.9392E-02
 -2.1598E+00  0.0000E+00  8.2963E-02  8.2963E-02
 -2.1108E+00  0.0000E+00  8.2557E-02  8.2557E-02
 -2.0617E+00  0.0000E+00  7.5302E-02  7.5302E-02
 -2.0126E+00  0.0000E+00  5.7965E-02  5.7965E-02
 -1.9635E+00  0.0000E+00  3.7082E-02  3.7082E-02
 -1.9144E+00  0.0000E+00  5.6556E-02  5.6556E-02
 -1.8653E+00  0.0000E+00  1.0016E-01  1.0016E-01
 -1.8162E+00  0.0000E+00  1.2189E-01  1.2189E-01
 -1.7671E+00  0.0000E+00  1.1157E-01  1.1157E-01
 -1.7181E+00  0.0000E+00  7.8142E-02  7.8142E-02
 -1.6690E+00  0.0000E+00  3.8674E-02  3.8674E-02
 -1.6199E+00  0.0000E+00  3.5639E-02  3.5639E-02
 -1.5708E+00  0.0000E+00  5.1593E-02  5.1593E-02
 -1.5217E+00  0.0000E+00  6.0067E-02  6.0067E-02
 -1.4726E+00  0.0000E+00  5.8272E-02  5.8272E-02
 -1.4235E+00  0.0000E+00  5.1390E-02  5.1390E-02
 -1.3744E+00  0.0000E+00  4.2860E-02  4.2860E-02
 -1.3254E+00  0.0000E+00  3.5793E-02  3.5793E-02
 -1.2763E+00  0.0000E+00  4.1899E-02  4.1899E-02
 -1.2272E+00  0.0000E+00  6.6139E-02  6.6139E-02
 -1.1781E+00  0.0000E+00  1.0398E-01  1.0398E-01
 -1.1290E+00  0.0000E+00  1.4177E-01  1.4177E-01
 -1.0799E+00  0.0000E+00  1.7591E-01  1.7591E-01
 -1.0308E+00  0.0000E+00  2.0542E-01  2.0542E-01
 -9.8175E-01  0.0000E+00  2.2338E-01  2.2338E-01
 -9.3266E-01  0.0000E+00  2.3703E-01  2.3703E-01
 -8.8357E-01  0.0000E+00  2.4379E-01  2.4379E-01
 -8.3449E-01  0.0000E+00  2.3346E-01  2.3346E-01
 -7.8540E-01  0.0000E+00  1.9605E-01  1.9605E-01
 -7.3631E-01  0.0000E+00  1.2541E-01  1.2541E-01
 -6.8722E-01  0.0000E+00  4.5368E-02  4.5368E-02
 -6.3814E-01  0.0000E+00  9.2405E-02  9.2405E-02
 -5.8905E-01  0.0000E+00  2.3106E-01  2.3106E-01
 -5.3996E-01  0.0000E+00  4.4073E-01  4.4073E-01
 -4.9087E-01  0.0000E+00  6.8935E-01  6.8935E-01
 -4.4179E-01  0.0000E+00  9.1157E-01  9.1157E-01
 -3.9270E-01  0.0000E+00  1.0650E+00  1.0650E+00
 -3.4361E-01  0.0000E+00  1.1374E+00  1.1374E+00
 -2.9452E-01  0.0000E+00  1.2267E+00  1.2267E+00
 -2.4544E-01  0.0000E+00  1.3653E+00  1.3653E+00
 -1.9635E-01  0.0000E+00  1.6243E+00  1.6243E+00
 -1.4726E-01  0.0000E+00  1.9499E+00  1.9499E+00
 -9.8175E-02  0.0000E+00  2.2385E+00  2.2385E+00
 -4.9087E-02  0.0000E+00  2.4725E+00  2.4725E+00
  0.0000E+00  0.0000E+00  2.5480E+00  2.5480E+00
  4.9087E-02  0.0000E+00  2.4726E+00  2.4726E+00
  9.8175E-02  0.0000E+00  2.2387E+00  2.2387E+00
  1.4726E-01  0.0000E+00  1.9502E+00  1.9502E+00
  1.9635E-01  0.0000E+00  1.6248E+00  1.6248E+00
  2.4544E-01  0.0000E+00  1.3659E+00  1.3659E+00
  2.9452E-01  0.0000E+00  1.2273E+00  1.2273E+00
  3.4361E-01  0.0000E+00  1.1380E+00  1.1380E+00
  3.9270E-01  0.0000E+00  1.0655E+00  1.0655E+00
  4.4179E-01  0.0000E+00  9.1201E-01  9.1201E-01
  4.9087E-01  0.0000E+00  6.8969E-01  6.8969E-01
  5.3996E-01  0.0000E+00  4.4097E-01  4.4097E-01
  5.8905E-01  0.0000E+00  2.3121E-01  2.3121E-01
  6.3814E-01  0.0000E+00  9.2497E-02  9.2497E-02
  6.8722E-01  0.0000E+00  4.5516E-02  4.5516E-02
  7.3631E-01  0.0000E+00  1.2559E-01  1.2559E-01
  7.8540E-01  0.0000E+00  1.9630E-01  1.9630E-01
  8.3449E-01  0.0000E+00  2.3374E-01  2.3374E-01
  8.8357E-01  0.0000E+00  2.4406E-01  2.4406E-01
  9.3266E-01  0.0000E+00  2.3726E-01  2.3726E-01
  9.8175E-01  0.0000E+00  2.2354E-01  2.2354E-01
  1.0308E+00  0.0000E+00  2.0550E-01  2.0550E-01
  1.0799E+00  0.0000E+00  1.7592E-01  1.7592E-01
  1.1290E+00  0.0000E+00  1.4171E-01  1.4171E-01
  1.1781E+00  0.0000E+00  1.0387E-01  1.0387E-01
  1.2272E+00  0.0000E+00  6.6017E-02  6.6017E-02
  1.2763E+00  0.0000E+00  4.1824E-02  4.1824E-02
  1.3254E+00  0.0000E+00  3.5828E-02  3.5828E-02
  1.3744E+00  0.0000E+00  4.2983E-02  4.2983E-02
  1.4235E+00  0.0000E+00  5.1605E-02  5.1605E-02
  1.4726E+00  0.0000E+00  5.8526E-02  5.8526E-02
  1.5217E+00  0.0000E+00  6.0253E-02  6.0253E-02
  1.5708E+00  0.0000E+00  5.1554E-02  5.1554E-02
  1.6199E+00  0.0000E+00  3.5215E-02  3.5215E-02
  1.6690E+00  0.0000E+00  3.8438E-02  3.8438E-02
  1.7181E+00  0.0000E+00  7.8464E-02  7.8464E-02
  1.7671E+00  0.0000E+00  1.1227E-01  1.1227E-01
