# CREATED BY GENE DIAGNOSTICS TOOL on Fri Nov 20 16:43:28 2020
# diag: zprofile, run(s): 0043, time window: 50-61(46 steps), species: ions
# original data path: /ptmp/jproll/critgrad/TEMgradn/W7XSC/bean/scanfiles0002/
# normalization: L_ref=1.65m
#
# variable A = phi
#  z/qR       <|A|>       <|A|²>^½    <|A²|-|A|²
 -3.1416E+00  0.0000E+00  7.8622E+06  7.8622E+06
 -3.0925E+00  0.0000E+00  7.7348E+06  7.7348E+06
 -3.0434E+00  0.0000E+00  6.9413E+06  6.9413E+06
 -2.9943E+00  0.0000E+00  6.0838E+06  6.0838E+06
 -2.9452E+00  0.0000E+00  4.9934E+06  4.9934E+06
 -2.8962E+00  0.0000E+00  3.9245E+06  3.9245E+06
 -2.8471E+00  0.0000E+00  2.8719E+06  2.8719E+06
 -2.7980E+00  0.0000E+00  1.9690E+06  1.9690E+06
 -2.7489E+00  0.0000E+00  1.4870E+06  1.4870E+06
 -2.6998E+00  0.0000E+00  2.0481E+06  2.0481E+06
 -2.6507E+00  0.0000E+00  3.0496E+06  3.0496E+06
 -2.6016E+00  0.0000E+00  3.6924E+06  3.6924E+06
 -2.5525E+00  0.0000E+00  4.0394E+06  4.0394E+06
 -2.5035E+00  0.0000E+00  4.3449E+06  4.3449E+06
 -2.4544E+00  0.0000E+00  4.6617E+06  4.6617E+06
 -2.4053E+00  0.0000E+00  5.1688E+06  5.1688E+06
 -2.3562E+00  0.0000E+00  5.7288E+06  5.7288E+06
 -2.3071E+00  0.0000E+00  6.3242E+06  6.3242E+06
 -2.2580E+00  0.0000E+00  6.8814E+06  6.8814E+06
 -2.2089E+00  0.0000E+00  7.2998E+06  7.2998E+06
 -2.1598E+00  0.0000E+00  7.4759E+06  7.4759E+06
 -2.1108E+00  0.0000E+00  7.2643E+06  7.2643E+06
 -2.0617E+00  0.0000E+00  6.3956E+06  6.3956E+06
 -2.0126E+00  0.0000E+00  4.4600E+06  4.4600E+06
 -1.9635E+00  0.0000E+00  1.8349E+06  1.8349E+06
 -1.9144E+00  0.0000E+00  5.0853E+06  5.0853E+06
 -1.8653E+00  0.0000E+00  1.0077E+07  1.0077E+07
 -1.8162E+00  0.0000E+00  1.2481E+07  1.2481E+07
 -1.7671E+00  0.0000E+00  1.1472E+07  1.1472E+07
 -1.7181E+00  0.0000E+00  8.0771E+06  8.0771E+06
 -1.6690E+00  0.0000E+00  4.0338E+06  4.0338E+06
 -1.6199E+00  0.0000E+00  3.7399E+06  3.7399E+06
 -1.5708E+00  0.0000E+00  5.3432E+06  5.3432E+06
 -1.5217E+00  0.0000E+00  6.3305E+06  6.3305E+06
